				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
回家	教育	同學	上學	0.721	0.487	0.376	0.493	0.219	0.218	0.199
回家	教育	壓力	上學	0.675	0.487	0.376	0.348	0.219	0.161	0.157
教育	放假	車子	上學	0.637	0.376	0.372	0.39	0.201	0.138	0.163
求知	放假	車子	上學	0.627	0.302	0.372	0.39	0.214	0.061	0.163
求知	公車	壓力	上學	0.612	0.302	0.395	0.348	0.135	0.114	0.184
快樂	回家	教育	上學	0.592	0.408	0.487	0.376	0.249	0.211	0.219
教育	無聊	車子	上學	0.586	0.376	0.351	0.39	0.155	0.138	0.237
快樂	教育	車子	上學	0.577	0.408	0.376	0.39	0.211	0.248	0.138
教育	放假	壓力	上學	0.53	0.376	0.372	0.348	0.201	0.157	0.208
求知	無聊	車子	上學	0.518	0.302	0.351	0.39	0.227	0.061	0.237
知識	公車	放假	上學	0.515	0.327	0.395	0.372	0.207	0.137	0.235
老師	求知	放假	上學	0.488	0.47	0.302	0.372	0.217	0.225	0.214
公車	放假	壓力	上學	0.488	0.395	0.372	0.348	0.235	0.184	0.208
求知	放假	壓力	上學	0.487	0.302	0.372	0.348	0.214	0.114	0.208
求知	公車	放假	上學	0.485	0.302	0.395	0.372	0.135	0.214	0.235
