				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
溼	流星	哭泣	下雨	0.616	0.292	0.262	0.389	0.021	0.106	0.199
撐傘	悶	天空	下雨	0.602	0.471	0.298	0.424	0.245	0.187	0.158
積水	流星	哭泣	下雨	0.599	0.4	0.262	0.389	0.092	0.161	0.199
潮溼	流星	哭泣	下雨	0.571	0.367	0.262	0.389	0.036	0.212	0.199
雨傘	潮溼	哭泣	下雨	0.543	0.394	0.367	0.389	0.226	0.169	0.212
潮溼	傘	哭泣	下雨	0.529	0.367	0.368	0.389	0.249	0.212	0.134
傘	水	哭泣	下雨	0.52	0.368	0.318	0.389	0.205	0.134	0.215
烏雲	水	哭泣	下雨	0.512	0.368	0.318	0.389	0.144	0.204	0.215
潮溼	傘	流星	下雨	0.508	0.367	0.368	0.262	0.249	0.036	0.204
撐傘	流星	水	下雨	0.497	0.471	0.262	0.318	0.172	0.179	0.203
雨傘	討厭	水	下雨	0.494	0.394	0.308	0.318	0.206	0.239	0.081
積水	水	哭泣	下雨	0.487	0.4	0.318	0.389	0.244	0.161	0.215
討厭	流星	水	下雨	0.484	0.308	0.262	0.318	0.12	0.081	0.203
傘	流星	哭泣	下雨	0.481	0.368	0.262	0.389	0.204	0.134	0.199
雨傘	水	哭泣	下雨	0.477	0.394	0.318	0.389	0.239	0.169	0.215
太陽	積水	哭泣	下雨	0.475	0.272	0.4	0.389	0.225	0.2	0.161
雨傘	悶	哭泣	下雨	0.474	0.394	0.298	0.389	0.211	0.169	0.227
討厭	傘	水	下雨	0.463	0.308	0.368	0.318	0.245	0.081	0.205
撐傘	悶	水	下雨	0.46	0.471	0.298	0.318	0.245	0.179	0.203
積水	流星	水	下雨	0.441	0.4	0.262	0.318	0.092	0.244	0.203
討厭	傘	流星	下雨	0.369	0.308	0.368	0.262	0.245	0.12	0.204
太陽	水	哭泣	下雨	0.365	0.272	0.318	0.389	0.199	0.2	0.215
悶	水	哭泣	下雨	0.36	0.298	0.318	0.389	0.203	0.227	0.215
雨傘	悶	水	下雨	0.357	0.394	0.298	0.318	0.211	0.239	0.203
流星	水	哭泣	下雨	0.351	0.262	0.318	0.389	0.203	0.199	0.215
傘	流星	水	下雨	0.335	0.368	0.262	0.318	0.204	0.205	0.203
太陽	積水	水	下雨	0.322	0.272	0.4	0.318	0.225	0.199	0.244
