				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
外星人	生存	眾多	人類	0.732	0.473	0.38	0.361	0.204	0.121	0.157
外星人	滅亡	眾多	人類	0.695	0.473	0.446	0.361	0.23	0.121	0.234
生物	聰明	和平	人類	0.687	0.471	0.387	0.346	0.163	0.228	0.126
外星人	聰明	生存	人類	0.686	0.473	0.387	0.38	0.185	0.204	0.164
猴子	文明	眾多	人類	0.661	0.333	0.472	0.361	0.216	0.147	0.144
猴子	滅亡	世界	人類	0.632	0.333	0.446	0.449	0.171	0.214	0.211
生物	滅亡	眾多	人類	0.628	0.471	0.446	0.361	0.197	0.219	0.234
聰明	和平	考古	人類	0.605	0.387	0.346	0.319	0.126	0.115	0.206
猴子	邪惡	文明	人類	0.603	0.333	0.435	0.472	0.206	0.216	0.216
猴子	生命	眾多	人類	0.603	0.333	0.421	0.361	0.225	0.147	0.141
猴子	滅亡	考古	人類	0.597	0.333	0.446	0.319	0.171	0.186	0.145
生物	和平	眾多	人類	0.59	0.471	0.346	0.361	0.228	0.219	0.141
猴子	滅亡	眾多	人類	0.589	0.333	0.446	0.361	0.171	0.147	0.234
男人	和平	眾多	人類	0.585	0.305	0.346	0.361	0.181	0.106	0.141
猴子	邪惡	考古	人類	0.583	0.333	0.435	0.319	0.206	0.186	0.113
邪惡	和平	考古	人類	0.578	0.435	0.346	0.319	0.203	0.113	0.206
滅亡	男人	眾多	人類	0.577	0.446	0.305	0.361	0.196	0.234	0.106
猴子	邪惡	生存	人類	0.575	0.333	0.435	0.38	0.206	0.198	0.17
猴子	生存	眾多	人類	0.573	0.333	0.38	0.361	0.198	0.147	0.157
滅亡	考古	眾多	人類	0.56	0.446	0.319	0.361	0.145	0.234	0.187
智慧	滅亡	世界	人類	0.559	0.342	0.446	0.449	0.225	0.243	0.211
猴子	邪惡	生命	人類	0.547	0.333	0.435	0.421	0.206	0.225	0.212
男人	生存	眾多	人類	0.541	0.305	0.38	0.361	0.243	0.106	0.157
猴子	和平	眾多	人類	0.511	0.333	0.346	0.361	0.242	0.147	0.141
智慧	滅亡	眾多	人類	0.499	0.342	0.446	0.361	0.225	0.192	0.234
猴子	考古	眾多	人類	0.494	0.333	0.319	0.361	0.186	0.147	0.187
和平	考古	眾多	人類	0.492	0.346	0.319	0.361	0.206	0.141	0.187
智慧	猴子	滅亡	人類	0.491	0.342	0.333	0.446	0.235	0.225	0.171
猴子	邪惡	和平	人類	0.463	0.333	0.435	0.346	0.206	0.242	0.203
智慧	猴子	眾多	人類	0.463	0.342	0.333	0.361	0.235	0.192	0.147
智慧	猴子	世界	人類	0.431	0.342	0.333	0.449	0.235	0.243	0.214
猴子	和平	考古	人類	0.365	0.333	0.346	0.319	0.242	0.186	0.206
