				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
痛	處理	血液	傷口	0.788	0.387	0.448	0.338	0.108	0.171	0.107
細菌	車禍	痛	傷口	0.708	0.463	0.419	0.387	0.223	0.111	0.228
感染	處理	刀子	傷口	0.705	0.391	0.448	0.355	0.232	0.174	0.085
細菌	痛	破洞	傷口	0.687	0.463	0.387	0.346	0.111	0.153	0.246
消毒	車禍	鹽巴	傷口	0.679	0.408	0.419	0.429	0.161	0.219	0.198
疼痛	處理	破洞	傷口	0.674	0.464	0.448	0.346	0.165	0.246	0.175
感染	破洞	鹽巴	傷口	0.671	0.391	0.346	0.429	0.242	0.096	0.157
車禍	血液	鹽巴	傷口	0.671	0.419	0.338	0.429	0.165	0.198	0.153
細菌	破洞	痛苦	傷口	0.667	0.463	0.346	0.317	0.153	0.146	0.161
處理	刀子	破洞	傷口	0.661	0.448	0.355	0.346	0.085	0.175	0.229
處理	血液	破洞	傷口	0.657	0.448	0.338	0.346	0.107	0.175	0.194
痛	處理	破洞	傷口	0.653	0.387	0.448	0.346	0.108	0.246	0.175
疼痛	破洞	鹽巴	傷口	0.65	0.464	0.346	0.429	0.246	0.187	0.157
疼痛	細菌	破洞	傷口	0.649	0.464	0.463	0.346	0.226	0.246	0.153
痛	血液	鹽巴	傷口	0.644	0.387	0.338	0.429	0.171	0.187	0.153
血	處理	破洞	傷口	0.638	0.295	0.448	0.346	0.099	0.178	0.175
惡化	血液	鹽巴	傷口	0.634	0.386	0.338	0.429	0.171	0.195	0.153
血	車禍	鹽巴	傷口	0.629	0.295	0.419	0.429	0.115	0.201	0.198
處理	破洞	痛苦	傷口	0.626	0.448	0.346	0.317	0.175	0.149	0.161
惡化	痛	鹽巴	傷口	0.624	0.386	0.387	0.429	0.197	0.195	0.187
車禍	痛	鹽巴	傷口	0.623	0.419	0.387	0.429	0.228	0.198	0.187
血	惡化	鹽巴	傷口	0.621	0.295	0.386	0.429	0.093	0.201	0.195
處理	血液	痛苦	傷口	0.618	0.448	0.338	0.317	0.107	0.149	0.229
惡化	破洞	鹽巴	傷口	0.618	0.386	0.346	0.429	0.192	0.195	0.157
消毒	惡化	鹽巴	傷口	0.615	0.408	0.386	0.429	0.195	0.219	0.195
細菌	車禍	刀子	傷口	0.613	0.463	0.419	0.355	0.223	0.241	0.161
血液	破洞	鹽巴	傷口	0.609	0.338	0.346	0.429	0.194	0.153	0.157
血	細菌	車禍	傷口	0.601	0.295	0.463	0.419	0.238	0.115	0.223
破洞	鹽巴	痛苦	傷口	0.596	0.346	0.429	0.317	0.157	0.161	0.178
細菌	車禍	痛苦	傷口	0.589	0.463	0.419	0.317	0.223	0.146	0.242
消毒	破洞	鹽巴	傷口	0.586	0.408	0.346	0.429	0.222	0.219	0.157
車禍	痛	血液	傷口	0.58	0.419	0.387	0.338	0.228	0.165	0.171
血	處理	痛苦	傷口	0.578	0.295	0.448	0.317	0.099	0.235	0.149
痛	破洞	鹽巴	傷口	0.573	0.387	0.346	0.429	0.246	0.187	0.157
惡化	痛	血液	傷口	0.572	0.386	0.387	0.338	0.197	0.171	0.171
血	惡化	破洞	傷口	0.564	0.295	0.386	0.346	0.093	0.178	0.192
惡化	刀子	破洞	傷口	0.55	0.386	0.355	0.346	0.117	0.192	0.229
車禍	鹽巴	痛苦	傷口	0.548	0.419	0.429	0.317	0.198	0.242	0.178
細菌	刀子	破洞	傷口	0.542	0.463	0.355	0.346	0.241	0.153	0.229
感染	處理	破洞	傷口	0.537	0.391	0.448	0.346	0.232	0.242	0.175
血	細菌	破洞	傷口	0.536	0.295	0.463	0.346	0.238	0.178	0.153
血	破洞	鹽巴	傷口	0.534	0.295	0.346	0.429	0.178	0.201	0.157
消毒	惡化	破洞	傷口	0.532	0.408	0.386	0.346	0.195	0.222	0.192
血液	鹽巴	痛苦	傷口	0.524	0.338	0.429	0.317	0.153	0.229	0.178
惡化	血液	破洞	傷口	0.513	0.386	0.338	0.346	0.171	0.192	0.194
惡化	痛	破洞	傷口	0.485	0.386	0.387	0.346	0.197	0.192	0.246
痛	血液	破洞	傷口	0.46	0.387	0.338	0.346	0.171	0.246	0.194
血	細菌	痛苦	傷口	0.457	0.295	0.463	0.317	0.238	0.235	0.146
感染	刀子	破洞	傷口	0.447	0.391	0.355	0.346	0.174	0.242	0.229
血	車禍	痛苦	傷口	0.44	0.295	0.419	0.317	0.115	0.235	0.242
車禍	血液	痛苦	傷口	0.438	0.419	0.338	0.317	0.165	0.242	0.229
血	鹽巴	痛苦	傷口	0.428	0.295	0.429	0.317	0.201	0.235	0.178
血液	破洞	痛苦	傷口	0.416	0.338	0.346	0.317	0.194	0.229	0.161
血	破洞	痛苦	傷口	0.384	0.295	0.346	0.317	0.178	0.235	0.161
