				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
幼稚園	單純	老人	兒童	0.65	0.457	0.299	0.399	0.195	0.202	0.109
安全	幼稚園	老人	兒童	0.618	0.283	0.457	0.399	0.131	0.188	0.202
安全	少年	遊樂園	兒童	0.607	0.283	0.432	0.488	0.171	0.206	0.218
少年	單純	遊樂園	兒童	0.59	0.432	0.299	0.488	0.198	0.218	0.213
安全	幼稚園	單純	兒童	0.566	0.283	0.457	0.299	0.131	0.147	0.195
父母	單純	遊樂園	兒童	0.563	0.369	0.299	0.488	0.142	0.239	0.213
可愛	成人	安全	兒童	0.559	0.421	0.48	0.283	0.213	0.199	0.213
安全	歡笑	少年	兒童	0.556	0.283	0.382	0.432	0.138	0.171	0.231
安全	無知	遊樂園	兒童	0.553	0.283	0.386	0.488	0.175	0.206	0.222
成人	安全	快樂	兒童	0.548	0.48	0.283	0.423	0.213	0.225	0.201
幼稚園	單純	虐待	兒童	0.546	0.457	0.299	0.347	0.195	0.246	0.116
安全	快樂	老人	兒童	0.542	0.283	0.423	0.399	0.201	0.188	0.174
安全	單純	老人	兒童	0.537	0.283	0.299	0.399	0.147	0.188	0.109
安全	快樂	少年	兒童	0.536	0.283	0.423	0.432	0.201	0.171	0.229
大人	安全	快樂	兒童	0.529	0.326	0.283	0.423	0.141	0.161	0.201
可愛	安全	老人	兒童	0.524	0.421	0.283	0.399	0.199	0.191	0.188
安全	歡笑	老人	兒童	0.523	0.283	0.382	0.399	0.138	0.188	0.214
純真	安全	老人	兒童	0.517	0.425	0.283	0.399	0.199	0.203	0.188
安全	單純	遊樂園	兒童	0.504	0.283	0.299	0.488	0.147	0.206	0.213
安全	少年	單純	兒童	0.496	0.283	0.432	0.299	0.171	0.147	0.198
幼小	單純	遊樂園	兒童	0.495	0.345	0.299	0.488	0.21	0.214	0.213
父母	安全	遊樂園	兒童	0.494	0.369	0.283	0.488	0.2	0.239	0.206
大人	單純	虐待	兒童	0.494	0.326	0.299	0.347	0.126	0.236	0.116
大人	安全	單純	兒童	0.494	0.326	0.283	0.299	0.141	0.126	0.147
大人	安全	歡笑	兒童	0.486	0.326	0.283	0.382	0.141	0.225	0.138
可愛	父母	安全	兒童	0.486	0.421	0.369	0.283	0.187	0.199	0.2
大人	快樂	虐待	兒童	0.484	0.326	0.423	0.347	0.161	0.236	0.214
大人	遊戲	虐待	兒童	0.473	0.326	0.445	0.347	0.172	0.236	0.236
純真	父母	安全	兒童	0.469	0.425	0.369	0.283	0.209	0.199	0.2
安全	幼稚園	虐待	兒童	0.467	0.283	0.457	0.347	0.131	0.241	0.246
成人	安全	單純	兒童	0.465	0.48	0.283	0.299	0.213	0.236	0.147
安全	無知	老人	兒童	0.465	0.283	0.386	0.399	0.175	0.188	0.239
父母	安全	歡笑	兒童	0.465	0.369	0.283	0.382	0.2	0.23	0.138
父母	安全	單純	兒童	0.462	0.369	0.283	0.299	0.2	0.142	0.147
少年	單純	遊玩	兒童	0.46	0.432	0.299	0.336	0.198	0.196	0.213
父母	安全	快樂	兒童	0.452	0.369	0.283	0.423	0.2	0.222	0.201
大人	純真	安全	兒童	0.452	0.326	0.425	0.283	0.242	0.141	0.199
幼稚園	單純	遊玩	兒童	0.445	0.457	0.299	0.336	0.195	0.239	0.213
大人	純真	虐待	兒童	0.445	0.326	0.425	0.347	0.242	0.236	0.174
純真	安全	虐待	兒童	0.44	0.425	0.283	0.347	0.199	0.174	0.241
安全	單純	虐待	兒童	0.424	0.283	0.299	0.347	0.147	0.241	0.116
安全	歡笑	虐待	兒童	0.414	0.283	0.382	0.347	0.138	0.241	0.217
安全	快樂	虐待	兒童	0.397	0.283	0.423	0.347	0.201	0.241	0.214
大人	歡笑	虐待	兒童	0.375	0.326	0.382	0.347	0.225	0.236	0.217
可愛	安全	虐待	兒童	0.363	0.421	0.283	0.347	0.199	0.247	0.241
大人	安全	虐待	兒童	0.336	0.326	0.283	0.347	0.141	0.236	0.241
