				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
溜滑梯	樹	場所	公園	0.673	0.285	0.402	0.424	0.085	0.119	0.233
玩耍	綠色	銅像	公園	0.597	0.34	0.362	0.39	0.093	0.179	0.223
溜滑梯	綠色	場所	公園	0.578	0.285	0.362	0.424	0.139	0.119	0.235
約會	溜滑梯	綠色	公園	0.562	0.395	0.285	0.362	0.101	0.24	0.139
椅子	樹	場所	公園	0.544	0.266	0.402	0.424	0.153	0.161	0.233
老人	樹	場所	公園	0.534	0.253	0.402	0.424	0.154	0.157	0.233
老人	約會	綠色	公園	0.534	0.253	0.395	0.362	0.12	0.116	0.24
老人	約會	溜滑梯	公園	0.533	0.253	0.395	0.285	0.12	0.179	0.101
老人	綠色	場所	公園	0.531	0.253	0.362	0.424	0.116	0.157	0.235
休閒	溜滑梯	銅像	公園	0.527	0.485	0.285	0.39	0.184	0.228	0.221
鞦韆	綠色	銅像	公園	0.525	0.313	0.362	0.39	0.158	0.16	0.223
休憩	盪鞦韆	銅像	公園	0.524	0.309	0.332	0.39	0.117	0.198	0.192
樹	溜狗	場所	公園	0.523	0.402	0.281	0.424	0.1	0.233	0.25
花草	盪鞦韆	場所	公園	0.523	0.304	0.332	0.424	0.144	0.199	0.195
休憩	溜滑梯	樹	公園	0.522	0.309	0.285	0.402	0.234	0.153	0.085
老人	溜滑梯	樹	公園	0.521	0.253	0.285	0.402	0.179	0.154	0.085
約會	溜滑梯	花草	公園	0.518	0.395	0.285	0.304	0.101	0.165	0.2
休閒	花草	銅像	公園	0.513	0.485	0.304	0.39	0.234	0.228	0.205
約會	溜滑梯	銅像	公園	0.508	0.395	0.285	0.39	0.101	0.241	0.221
老人	溜滑梯	場所	公園	0.507	0.253	0.285	0.424	0.179	0.157	0.119
休憩	盪鞦韆	綠色	公園	0.505	0.309	0.332	0.362	0.117	0.179	0.201
溜滑梯	花草	場所	公園	0.495	0.285	0.304	0.424	0.2	0.119	0.199
溜狗	綠色	銅像	公園	0.494	0.281	0.362	0.39	0.148	0.168	0.223
老人	盪鞦韆	場所	公園	0.493	0.253	0.332	0.424	0.164	0.157	0.195
盪鞦韆	綠色	場所	公園	0.487	0.332	0.362	0.424	0.201	0.195	0.235
花草	盪鞦韆	銅像	公園	0.486	0.304	0.332	0.39	0.144	0.205	0.192
