				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
大樓	家庭	色狼	公寓	0.767	0.42	0.374	0.362	0.103	0.134	0.151
大樓	居住	色狼	公寓	0.754	0.42	0.445	0.362	0.196	0.134	0.143
大廈	住宿	同居	公寓	0.752	0.418	0.477	0.41	0.196	0.112	0.246
大樓	住宿	同居	公寓	0.739	0.42	0.477	0.41	0.227	0.095	0.246
大廈	居住	色狼	公寓	0.733	0.418	0.445	0.362	0.178	0.171	0.143
住宿	高樓	同居	公寓	0.712	0.477	0.385	0.41	0.172	0.246	0.141
高樓	家庭	色狼	公寓	0.709	0.385	0.374	0.362	0.134	0.127	0.151
大廈	家庭	色狼	公寓	0.707	0.418	0.374	0.362	0.125	0.171	0.151
住宿	高樓	色狼	公寓	0.693	0.477	0.385	0.362	0.172	0.232	0.127
樓層	同居	家	公寓	0.689	0.364	0.41	0.254	0.077	0.08	0.182
樓梯	住宿	同居	公寓	0.687	0.342	0.477	0.41	0.179	0.118	0.246
電梯	住宿	同居	公寓	0.669	0.389	0.477	0.41	0.235	0.126	0.246
高樓	住所	色狼	公寓	0.668	0.385	0.46	0.362	0.201	0.127	0.211
大樓	住宿	色狼	公寓	0.666	0.42	0.477	0.362	0.227	0.134	0.232
大廈	同居	家	公寓	0.661	0.418	0.41	0.254	0.112	0.128	0.182
大廈	住宿	色狼	公寓	0.659	0.418	0.477	0.362	0.196	0.171	0.232
居住	色狼	陽台	公寓	0.652	0.445	0.362	0.401	0.143	0.205	0.208
大樓	同居	家	公寓	0.651	0.42	0.41	0.254	0.095	0.156	0.182
居住	樓層	色狼	公寓	0.637	0.445	0.364	0.362	0.22	0.143	0.172
大廈	窄小	同居	公寓	0.635	0.418	0.27	0.41	0.115	0.112	0.238
大樓	窄小	同居	公寓	0.625	0.42	0.27	0.41	0.142	0.095	0.238
大廈	家庭	窄小	公寓	0.622	0.418	0.374	0.27	0.125	0.115	0.2
大樓	家庭	窄小	公寓	0.618	0.42	0.374	0.27	0.103	0.142	0.2
樓梯	居住	色狼	公寓	0.614	0.342	0.445	0.362	0.149	0.243	0.143
住家	高樓	色狼	公寓	0.607	0.463	0.385	0.362	0.247	0.228	0.127
樓梯	同居	家	公寓	0.607	0.342	0.41	0.254	0.118	0.1	0.182
大廈	住宿	窄小	公寓	0.606	0.418	0.477	0.27	0.196	0.115	0.249
住宿	同居	隔間	公寓	0.603	0.477	0.41	0.26	0.246	0.176	0.123
樓梯	租金	家	公寓	0.59	0.342	0.492	0.254	0.185	0.1	0.213
大廈	髒亂	同居	公寓	0.584	0.418	0.287	0.41	0.243	0.112	0.178
樓層	窄小	同居	公寓	0.581	0.364	0.27	0.41	0.148	0.077	0.238
樓層	住所	色狼	公寓	0.581	0.364	0.46	0.362	0.223	0.172	0.211
電梯	同居	家	公寓	0.578	0.389	0.41	0.254	0.126	0.167	0.182
大樓	窄小	色狼	公寓	0.57	0.42	0.27	0.362	0.142	0.134	0.206
電梯	髒亂	同居	公寓	0.57	0.389	0.287	0.41	0.213	0.126	0.178
家庭	樓層	色狼	公寓	0.567	0.374	0.364	0.362	0.21	0.151	0.172
大樓	色狼	家	公寓	0.565	0.42	0.362	0.254	0.134	0.156	0.18
住宿	高樓	窄小	公寓	0.562	0.477	0.385	0.27	0.172	0.249	0.149
大廈	窄小	色狼	公寓	0.559	0.418	0.27	0.362	0.115	0.171	0.206
大廈	窄小	家	公寓	0.555	0.418	0.27	0.254	0.115	0.128	0.144
大廈	色狼	家	公寓	0.555	0.418	0.362	0.254	0.171	0.128	0.18
高樓	同居	隔間	公寓	0.551	0.385	0.41	0.26	0.141	0.241	0.123
大樓	住宿	窄小	公寓	0.55	0.42	0.477	0.27	0.227	0.142	0.249
高樓	同居	家	公寓	0.549	0.385	0.41	0.254	0.141	0.177	0.182
陽台	同居	家	公寓	0.548	0.401	0.41	0.254	0.165	0.17	0.182
樓層	色狼	家	公寓	0.547	0.364	0.362	0.254	0.172	0.08	0.18
租金	陽台	家	公寓	0.547	0.492	0.401	0.254	0.216	0.213	0.17
高樓	家庭	窄小	公寓	0.545	0.385	0.374	0.27	0.134	0.149	0.2
住宿	鄰居	窄小	公寓	0.539	0.477	0.318	0.27	0.154	0.249	0.123
高樓	窄小	同居	公寓	0.536	0.385	0.27	0.41	0.149	0.141	0.238
住宿	鄰居	色狼	公寓	0.536	0.477	0.318	0.362	0.154	0.232	0.236
高樓	窄小	色狼	公寓	0.535	0.385	0.27	0.362	0.149	0.127	0.206
住宿	高樓	隔間	公寓	0.534	0.477	0.385	0.26	0.172	0.176	0.241
電梯	租金	家	公寓	0.529	0.389	0.492	0.254	0.226	0.167	0.213
樓梯	住宿	色狼	公寓	0.527	0.342	0.477	0.362	0.179	0.243	0.232
高樓	家庭	隔間	公寓	0.526	0.385	0.374	0.26	0.134	0.241	0.119
高樓	色狼	家	公寓	0.517	0.385	0.362	0.254	0.127	0.177	0.18
租金	窄小	陽台	公寓	0.517	0.492	0.27	0.401	0.238	0.216	0.192
租金	高樓	窄小	公寓	0.515	0.492	0.385	0.27	0.245	0.238	0.149
樓層	窄小	家	公寓	0.515	0.364	0.27	0.254	0.148	0.08	0.144
居住	色狼	隔間	公寓	0.509	0.445	0.362	0.26	0.143	0.171	0.244
大廈	髒亂	家庭	公寓	0.509	0.418	0.287	0.374	0.243	0.125	0.203
大樓	窄小	家	公寓	0.502	0.42	0.27	0.254	0.142	0.156	0.144
電梯	窄小	同居	公寓	0.498	0.389	0.27	0.41	0.207	0.126	0.238
租金	高樓	家	公寓	0.496	0.492	0.385	0.254	0.245	0.213	0.177
樓梯	家庭	色狼	公寓	0.495	0.342	0.374	0.362	0.189	0.243	0.151
