				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
小狗	保護	非洲	動物	0.751	0.426	0.392	0.345	0.127	0.188	0.096
愛護	生物	馬	動物	0.735	0.428	0.476	0.365	0.205	0.217	0.113
生物	獸性	馬	動物	0.734	0.476	0.362	0.365	0.168	0.113	0.188
保護	生物	馬	動物	0.73	0.392	0.476	0.365	0.226	0.164	0.113
小狗	保護	馬	動物	0.715	0.426	0.392	0.365	0.127	0.176	0.164
狗	保護	非洲	動物	0.71	0.372	0.392	0.345	0.074	0.23	0.096
狗	保護	生物	動物	0.709	0.372	0.392	0.476	0.074	0.231	0.226
狗	愛護	生物	動物	0.7	0.372	0.428	0.476	0.14	0.231	0.205
小狗	愛護	非洲	動物	0.7	0.426	0.428	0.345	0.228	0.188	0.083
愛護	生物	木柵	動物	0.699	0.428	0.476	0.264	0.205	0.156	0.108
狗	愛護	非洲	動物	0.692	0.372	0.428	0.345	0.14	0.23	0.083
小狗	自然	馬	動物	0.691	0.426	0.337	0.365	0.207	0.176	0.054
可愛	生物	木柵	動物	0.691	0.477	0.476	0.264	0.211	0.207	0.108
愛護	非洲	木柵	動物	0.687	0.428	0.345	0.264	0.083	0.156	0.11
保護	獸性	兔子	動物	0.681	0.392	0.362	0.421	0.215	0.106	0.173
生命	獸性	馬	動物	0.681	0.28	0.362	0.365	0.105	0.033	0.188
小狗	保護	獸性	動物	0.674	0.426	0.392	0.362	0.127	0.163	0.215
愛護	非洲	貓	動物	0.674	0.428	0.345	0.412	0.083	0.221	0.208
愛護	生物	獸性	動物	0.673	0.428	0.476	0.362	0.205	0.221	0.168
愛護	非洲	獸性	動物	0.667	0.428	0.345	0.362	0.083	0.221	0.164
保護	非洲	貓	動物	0.666	0.392	0.345	0.412	0.096	0.18	0.208
愛護	生物	貓	動物	0.663	0.428	0.476	0.412	0.205	0.221	0.228
保育	獸性	馬	動物	0.663	0.401	0.362	0.365	0.146	0.131	0.188
生物	木柵	獸性	動物	0.657	0.476	0.264	0.362	0.108	0.168	0.169
自然	獸性	馬	動物	0.657	0.337	0.362	0.365	0.165	0.054	0.188
保護	生物	貓	動物	0.646	0.392	0.476	0.412	0.226	0.18	0.228
愛護	獸性	兔子	動物	0.638	0.428	0.362	0.421	0.221	0.18	0.173
