				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
人物	日本	童心	卡通	0.672	0.441	0.291	0.355	0.152	0.127	0.135
電視	人物	童心	卡通	0.665	0.383	0.441	0.355	0.235	0.152	0.127
可愛	人物	日本	卡通	0.633	0.477	0.441	0.291	0.233	0.19	0.152
人物	日本	唐老鴨	卡通	0.631	0.441	0.291	0.452	0.152	0.249	0.151
兒童	日本	好笑	卡通	0.6	0.372	0.291	0.355	0.189	0.039	0.19
人物	休閒	日本	卡通	0.599	0.441	0.282	0.291	0.17	0.152	0.092
人物	休閒	幼稚	卡通	0.588	0.441	0.282	0.331	0.17	0.172	0.124
兒童	人物	日本	卡通	0.586	0.372	0.441	0.291	0.175	0.189	0.152
兒童	人物	幼稚	卡通	0.585	0.372	0.441	0.331	0.175	0.211	0.172
人物	休閒	童心	卡通	0.585	0.441	0.282	0.355	0.17	0.127	0.196
人物	唐老鴨	幼稚	卡通	0.585	0.441	0.452	0.331	0.249	0.172	0.217
人物	日本	幼稚	卡通	0.582	0.441	0.291	0.331	0.152	0.172	0.156
人物	休閒	小朋友	卡通	0.576	0.441	0.282	0.388	0.17	0.203	0.161
日本	好笑	唐老鴨	卡通	0.572	0.291	0.355	0.452	0.19	0.151	0.184
電視	人物	幼稚	卡通	0.572	0.383	0.441	0.331	0.235	0.176	0.172
影片	休閒	幼稚	卡通	0.565	0.37	0.282	0.331	0.082	0.211	0.124
人物	日本	童稚	卡通	0.563	0.441	0.291	0.315	0.152	0.205	0.126
人物	日本	小朋友	卡通	0.563	0.441	0.291	0.388	0.152	0.203	0.201
影片	休閒	童稚	卡通	0.557	0.37	0.282	0.315	0.082	0.215	0.113
有趣	日本	唐老鴨	卡通	0.557	0.349	0.291	0.452	0.18	0.203	0.151
休閒	日本	童稚	卡通	0.556	0.282	0.291	0.315	0.092	0.113	0.126
電視	人物	童稚	卡通	0.551	0.383	0.441	0.315	0.235	0.149	0.205
人物	休閒	童稚	卡通	0.55	0.441	0.282	0.315	0.17	0.205	0.113
日本	唐老鴨	幼稚	卡通	0.549	0.291	0.452	0.331	0.151	0.156	0.217
電視	人物	小朋友	卡通	0.548	0.383	0.441	0.388	0.235	0.226	0.203
兒童	有趣	日本	卡通	0.548	0.372	0.349	0.291	0.094	0.189	0.18
小孩	人物	唐老鴨	卡通	0.545	0.333	0.441	0.452	0.201	0.231	0.249
影片	唐老鴨	幼稚	卡通	0.542	0.37	0.452	0.331	0.182	0.211	0.217
電視	童心	好笑	卡通	0.541	0.383	0.355	0.355	0.152	0.175	0.226
影片	休閒	童心	卡通	0.539	0.37	0.282	0.355	0.082	0.19	0.196
日本	趣味	唐老鴨	卡通	0.535	0.291	0.396	0.452	0.214	0.151	0.239
休閒	日本	幼稚	卡通	0.531	0.282	0.291	0.331	0.092	0.124	0.156
小孩	人物	日本	卡通	0.528	0.333	0.441	0.291	0.201	0.183	0.152
日本	童心	圖畫	卡通	0.527	0.291	0.355	0.337	0.135	0.125	0.194
電視	日本	童心	卡通	0.527	0.383	0.291	0.355	0.215	0.152	0.135
童心	好笑	音樂	卡通	0.519	0.355	0.355	0.297	0.226	0.172	0.089
電視	人物	日本	卡通	0.513	0.383	0.441	0.291	0.235	0.215	0.152
小孩	日本	唐老鴨	卡通	0.51	0.333	0.291	0.452	0.183	0.231	0.151
日本	好笑	音樂	卡通	0.507	0.291	0.355	0.297	0.19	0.156	0.089
休閒	日本	小朋友	卡通	0.506	0.282	0.291	0.388	0.092	0.161	0.201
休閒	日本	童心	卡通	0.504	0.282	0.291	0.355	0.092	0.196	0.135
小孩	人物	休閒	卡通	0.503	0.333	0.441	0.282	0.201	0.183	0.17
電視	日本	童稚	卡通	0.499	0.383	0.291	0.315	0.215	0.149	0.126
休閒	日本	好笑	卡通	0.497	0.282	0.291	0.355	0.092	0.149	0.19
日本	童心	音樂	卡通	0.478	0.291	0.355	0.297	0.135	0.156	0.172
日本	音樂	幼稚	卡通	0.472	0.291	0.297	0.331	0.156	0.156	0.134
電視	有趣	日本	卡通	0.47	0.383	0.349	0.291	0.158	0.215	0.18
日本	好笑	圖畫	卡通	0.466	0.291	0.355	0.337	0.19	0.125	0.201
電視	日本	幼稚	卡通	0.459	0.383	0.291	0.331	0.215	0.176	0.156
日本	音樂	童稚	卡通	0.454	0.291	0.297	0.315	0.156	0.126	0.166
日本	童心	好笑	卡通	0.45	0.291	0.355	0.355	0.135	0.19	0.226
電視	日本	好笑	卡通	0.45	0.383	0.291	0.355	0.215	0.175	0.19
小孩	休閒	日本	卡通	0.448	0.333	0.282	0.291	0.183	0.183	0.092
電視	日本	趣味	卡通	0.447	0.383	0.291	0.396	0.215	0.195	0.214
兒童	日本	幼稚	卡通	0.437	0.372	0.291	0.331	0.189	0.211	0.156
日本	圖畫	幼稚	卡通	0.437	0.291	0.337	0.331	0.125	0.156	0.24
電視	童年	日本	卡通	0.434	0.383	0.333	0.291	0.194	0.215	0.164
有趣	日本	音樂	卡通	0.434	0.349	0.291	0.297	0.18	0.166	0.156
可愛	日本	戲劇	卡通	0.433	0.477	0.291	0.252	0.19	0.237	0.159
小孩	日本	圖畫	卡通	0.432	0.333	0.291	0.337	0.183	0.22	0.125
童心	好笑	電影	卡通	0.43	0.355	0.355	0.326	0.226	0.181	0.2
童年	影片	休閒	卡通	0.427	0.333	0.37	0.282	0.229	0.248	0.082
童心	好笑	圖畫	卡通	0.425	0.355	0.355	0.337	0.226	0.194	0.201
小孩	日本	音樂	卡通	0.423	0.333	0.291	0.297	0.183	0.158	0.156
休閒	童心	好笑	卡通	0.421	0.282	0.355	0.355	0.196	0.149	0.226
電視	日本	小朋友	卡通	0.42	0.383	0.291	0.388	0.215	0.226	0.201
兒童	影片	幼稚	卡通	0.419	0.372	0.37	0.331	0.231	0.211	0.211
日本	小朋友	音樂	卡通	0.416	0.291	0.388	0.297	0.201	0.156	0.202
日本	戲劇	童稚	卡通	0.41	0.291	0.252	0.315	0.159	0.126	0.163
日本	童心	戲劇	卡通	0.405	0.291	0.355	0.252	0.135	0.159	0.198
童年	休閒	日本	卡通	0.402	0.333	0.282	0.291	0.248	0.164	0.092
童年	日本	音樂	卡通	0.394	0.333	0.291	0.297	0.164	0.206	0.156
日本	戲劇	幼稚	卡通	0.381	0.291	0.252	0.331	0.159	0.156	0.179
日本	好笑	戲劇	卡通	0.368	0.291	0.355	0.252	0.19	0.159	0.181
有趣	日本	戲劇	卡通	0.36	0.349	0.291	0.252	0.18	0.193	0.159
童心	好笑	戲劇	卡通	0.357	0.355	0.355	0.252	0.226	0.198	0.181
日本	小朋友	戲劇	卡通	0.347	0.291	0.388	0.252	0.201	0.159	0.224
童年	日本	戲劇	卡通	0.341	0.333	0.291	0.252	0.164	0.212	0.159
小孩	日本	戲劇	卡通	0.326	0.333	0.291	0.252	0.183	0.209	0.159
