				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
難過	死亡	繃帶	受傷	0.751	0.476	0.47	0.404	0.192	0.208	0.2
難過	休息	死亡	受傷	0.675	0.476	0.316	0.47	0.217	0.192	0.178
救護車	難過	意外	受傷	0.662	0.397	0.476	0.375	0.219	0.133	0.235
救護車	打架	難過	受傷	0.628	0.397	0.389	0.476	0.19	0.219	0.226
難過	意外	繃帶	受傷	0.625	0.476	0.375	0.404	0.235	0.208	0.187
休息	死亡	繃帶	受傷	0.625	0.316	0.47	0.404	0.178	0.188	0.2
痛	救護車	意外	受傷	0.613	0.364	0.397	0.375	0.168	0.221	0.133
打架	難過	繃帶	受傷	0.611	0.389	0.476	0.404	0.226	0.225	0.208
醫院	休息	死亡	受傷	0.588	0.404	0.316	0.47	0.207	0.218	0.178
難過	休息	繃帶	受傷	0.584	0.476	0.316	0.404	0.217	0.208	0.188
流血	休息	危險	受傷	0.577	0.449	0.316	0.411	0.242	0.234	0.123
救護車	難過	休息	受傷	0.576	0.397	0.476	0.316	0.219	0.178	0.217
休息	死亡	藥水	受傷	0.572	0.316	0.47	0.319	0.178	0.176	0.18
痛	意外	醫生	受傷	0.57	0.364	0.375	0.351	0.221	0.204	0.094
醫院	痛	意外	受傷	0.57	0.404	0.364	0.375	0.206	0.146	0.221
休息	繃帶	心痛	受傷	0.565	0.316	0.404	0.374	0.188	0.168	0.174
休息	死亡	醫生	受傷	0.563	0.316	0.47	0.351	0.178	0.21	0.187
醫院	休息	心痛	受傷	0.535	0.404	0.316	0.374	0.207	0.184	0.168
痛	意外	藥水	受傷	0.532	0.364	0.375	0.319	0.221	0.206	0.098
救護車	休息	意外	受傷	0.528	0.397	0.316	0.375	0.178	0.133	0.249
救護車	休息	心痛	受傷	0.524	0.397	0.316	0.374	0.178	0.218	0.168
休息	藥水	心痛	受傷	0.522	0.316	0.319	0.374	0.176	0.168	0.144
休息	醫生	心痛	受傷	0.515	0.316	0.351	0.374	0.21	0.168	0.148
痛	意外	繃帶	受傷	0.502	0.364	0.375	0.404	0.221	0.231	0.187
痛苦	救護車	打架	受傷	0.496	0.279	0.397	0.389	0.142	0.237	0.19
醫院	休息	意外	受傷	0.492	0.404	0.316	0.375	0.207	0.146	0.249
疼痛	救護車	意外	受傷	0.491	0.33	0.397	0.375	0.232	0.246	0.133
流血	休息	繃帶	受傷	0.49	0.449	0.316	0.404	0.242	0.25	0.188
休息	意外	醫生	受傷	0.489	0.316	0.375	0.351	0.249	0.21	0.094
休息	意外	藥水	受傷	0.487	0.316	0.375	0.319	0.249	0.176	0.098
休息	意外	繃帶	受傷	0.47	0.316	0.375	0.404	0.249	0.188	0.187
流血	休息	醫生	受傷	0.466	0.449	0.316	0.351	0.242	0.198	0.21
難過	休息	意外	受傷	0.466	0.476	0.316	0.375	0.217	0.235	0.249
痛苦	打架	醫生	受傷	0.444	0.279	0.389	0.351	0.237	0.192	0.146
流血	休息	藥水	受傷	0.427	0.449	0.316	0.319	0.242	0.24	0.176
痛苦	打架	繃帶	受傷	0.42	0.279	0.389	0.404	0.237	0.19	0.225
醫院	痛苦	打架	受傷	0.417	0.404	0.279	0.389	0.197	0.222	0.237
痛苦	打架	藥水	受傷	0.341	0.279	0.389	0.319	0.237	0.213	0.197
