				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
筷子	三餐	高興	吃飯	0.823	0.347	0.32	0.445	0.194	0.084	0.01
筷子	滿足	喝茶	吃飯	0.794	0.347	0.395	0.462	0.033	0.223	0.154
媽媽	生存	喝茶	吃飯	0.79	0.484	0.262	0.462	0.069	0.145	0.203
媽媽	生存	中午	吃飯	0.766	0.484	0.262	0.403	0.069	0.208	0.105
媽媽	飽足	喝茶	吃飯	0.752	0.484	0.397	0.462	0.234	0.145	0.212
生存	高興	中午	吃飯	0.726	0.262	0.445	0.403	0.114	0.105	0.165
三餐	高興	喝茶	吃飯	0.726	0.32	0.445	0.462	0.01	0.25	0.241
生存	高興	晚餐	吃飯	0.721	0.262	0.445	0.475	0.114	0.204	0.143
碗筷	生存	高興	吃飯	0.72	0.371	0.262	0.445	0.123	0.121	0.114
三餐	高興	肚子	吃飯	0.717	0.32	0.445	0.323	0.01	0.154	0.206
三餐	生存	高興	吃飯	0.715	0.32	0.262	0.445	0.187	0.01	0.114
筷子	高興	喝茶	吃飯	0.705	0.347	0.445	0.462	0.084	0.223	0.241
饑餓	團圓	喝茶	吃飯	0.702	0.41	0.37	0.462	0.224	0.12	0.196
饑餓	補充	喝茶	吃飯	0.696	0.41	0.352	0.462	0.219	0.12	0.19
媽媽	三餐	喝茶	吃飯	0.693	0.484	0.32	0.462	0.179	0.145	0.25
筷子	滿足	三餐	吃飯	0.69	0.347	0.395	0.32	0.033	0.194	0.145
自助餐	補充	農夫	吃飯	0.684	0.383	0.352	0.328	0.069	0.136	0.174
饑餓	筷子	喝茶	吃飯	0.682	0.41	0.347	0.462	0.194	0.12	0.223
快樂	餐桌	補充	吃飯	0.665	0.372	0.347	0.352	0.142	0.228	0.035
筷子	生存	高興	吃飯	0.663	0.347	0.262	0.445	0.192	0.084	0.114
媽媽	生存	午餐	吃飯	0.662	0.484	0.262	0.428	0.069	0.208	0.233
碗筷	肚子	補充	吃飯	0.658	0.371	0.323	0.352	0.219	0.102	0.067
碗筷	補充	農夫	吃飯	0.655	0.371	0.352	0.328	0.102	0.118	0.174
生存	高興	自助餐	吃飯	0.655	0.262	0.445	0.383	0.114	0.22	0.101
生存	高興	午餐	吃飯	0.653	0.262	0.445	0.428	0.114	0.233	0.134
媽媽	生存	飽足	吃飯	0.645	0.484	0.262	0.397	0.069	0.234	0.195
媽媽	飽足	中午	吃飯	0.641	0.484	0.397	0.403	0.234	0.208	0.201
媽媽	生存	自助餐	吃飯	0.641	0.484	0.262	0.383	0.069	0.199	0.22
自助餐	家人	補充	吃飯	0.638	0.383	0.306	0.352	0.24	0.069	0.095
餐桌	補充	農夫	吃飯	0.634	0.347	0.352	0.328	0.035	0.182	0.174
