				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
肺癌	禁止	傷身	吸煙	0.718	0.452	0.329	0.357	0.101	0.186	0.132
肺癌	禁止	惡臭	吸煙	0.699	0.452	0.329	0.281	0.101	0.201	0.061
癌症	禁止	打火機	吸煙	0.68	0.352	0.329	0.419	0.105	0.175	0.139
肺癌	禁止	可惡	吸煙	0.632	0.452	0.329	0.29	0.101	0.165	0.174
肺	禁止	傷身	吸煙	0.625	0.309	0.329	0.357	0.082	0.155	0.132
肺	禁止	打火機	吸煙	0.623	0.309	0.329	0.419	0.082	0.212	0.139
肺癌	禁止	厭惡	吸煙	0.62	0.452	0.329	0.314	0.101	0.162	0.212
禁止	打火機	肺病	吸煙	0.614	0.329	0.419	0.277	0.139	0.108	0.163
健康	禁止	打火機	吸煙	0.606	0.302	0.329	0.419	0.209	0.095	0.139
禁止	打火機	傷身	吸煙	0.599	0.329	0.419	0.357	0.139	0.132	0.234
禁止	男人	惡臭	吸煙	0.589	0.329	0.32	0.281	0.064	0.061	0.215
討厭	癌症	打火機	吸煙	0.589	0.338	0.352	0.419	0.117	0.228	0.175
癌症	禁止	傷身	吸煙	0.579	0.352	0.329	0.357	0.105	0.221	0.132
禁止	惡臭	傷身	吸煙	0.577	0.329	0.281	0.357	0.061	0.132	0.196
健康	討厭	打火機	吸煙	0.57	0.302	0.338	0.419	0.165	0.095	0.228
癌症	禁止	惡臭	吸煙	0.57	0.352	0.329	0.281	0.105	0.226	0.061
肺	禁止	惡臭	吸煙	0.568	0.309	0.329	0.281	0.082	0.207	0.061
禁止	男人	傷身	吸煙	0.568	0.329	0.32	0.357	0.064	0.132	0.241
肺	禁止	厭惡	吸煙	0.565	0.309	0.329	0.314	0.082	0.092	0.212
健康	打火機	拒絕	吸煙	0.562	0.302	0.419	0.318	0.095	0.161	0.22
肺癌	拒絕	傷身	吸煙	0.558	0.452	0.318	0.357	0.138	0.186	0.244
喝酒	肺	可惡	吸煙	0.553	0.477	0.309	0.29	0.246	0.152	0.125
禁止	打火機	生病	吸煙	0.548	0.329	0.419	0.257	0.139	0.238	0.079
肺	禁止	可惡	吸煙	0.547	0.309	0.329	0.29	0.082	0.125	0.174
肺	打火機	厭惡	吸煙	0.542	0.309	0.419	0.314	0.212	0.092	0.196
健康	打火機	厭惡	吸煙	0.538	0.302	0.419	0.314	0.095	0.206	0.196
癌症	打火機	拒絕	吸煙	0.537	0.352	0.419	0.318	0.175	0.157	0.22
癌症	打火機	厭惡	吸煙	0.536	0.352	0.419	0.314	0.175	0.178	0.196
禁止	咳嗽	傷身	吸煙	0.534	0.329	0.379	0.357	0.216	0.132	0.182
肺	可惡	吸毒	吸煙	0.527	0.309	0.29	0.418	0.125	0.245	0.121
肺	厭惡	吸毒	吸煙	0.526	0.309	0.314	0.418	0.092	0.245	0.178
禁止	咳嗽	打火機	吸煙	0.523	0.329	0.379	0.419	0.216	0.139	0.248
喝酒	污染	打火機	吸煙	0.521	0.477	0.251	0.419	0.215	0.23	0.179
肺	拒絕	吸毒	吸煙	0.518	0.309	0.318	0.418	0.111	0.245	0.171
喝酒	肺	打火機	吸煙	0.516	0.477	0.309	0.419	0.246	0.23	0.212
禁止	男人	肺病	吸煙	0.516	0.329	0.32	0.277	0.064	0.108	0.238
禁止	打火機	厭惡	吸煙	0.515	0.329	0.419	0.314	0.139	0.212	0.196
禁止	肺病	傷身	吸煙	0.515	0.329	0.277	0.357	0.108	0.132	0.207
討厭	肺	吸毒	吸煙	0.508	0.338	0.309	0.418	0.13	0.182	0.245
癌症	禁止	可惡	吸煙	0.507	0.352	0.329	0.29	0.105	0.185	0.174
肺癌	惡臭	傷身	吸煙	0.506	0.452	0.281	0.357	0.201	0.186	0.196
肺	打火機	拒絕	吸煙	0.502	0.309	0.419	0.318	0.212	0.111	0.22
禁止	男人	可惡	吸煙	0.501	0.329	0.32	0.29	0.064	0.174	0.2
癌症	禁止	厭惡	吸煙	0.5	0.352	0.329	0.314	0.105	0.178	0.212
癌症	打火機	傷身	吸煙	0.498	0.352	0.419	0.357	0.175	0.221	0.234
討厭	肺	打火機	吸煙	0.496	0.338	0.309	0.419	0.13	0.228	0.212
有害	打火機	拒絕	吸煙	0.494	0.394	0.419	0.318	0.195	0.222	0.22
禁止	惡臭	肺病	吸煙	0.494	0.329	0.281	0.277	0.061	0.108	0.224
有害	打火機	肺病	吸煙	0.491	0.394	0.419	0.277	0.195	0.24	0.163
咳嗽	打火機	傷身	吸煙	0.491	0.379	0.419	0.357	0.248	0.182	0.234
肺癌	拒絕	惡臭	吸煙	0.487	0.452	0.318	0.281	0.138	0.201	0.224
肺	打火機	傷身	吸煙	0.484	0.309	0.419	0.357	0.212	0.155	0.234
有害	肺	打火機	吸煙	0.482	0.394	0.309	0.419	0.232	0.195	0.212
打火機	生病	厭惡	吸煙	0.478	0.419	0.257	0.314	0.079	0.196	0.236
禁止	男人	厭惡	吸煙	0.478	0.329	0.32	0.314	0.064	0.212	0.209
肺	拒絕	傷身	吸煙	0.474	0.309	0.318	0.357	0.111	0.155	0.244
喝酒	肺	惡臭	吸煙	0.473	0.477	0.309	0.281	0.246	0.141	0.207
討厭	打火機	肺病	吸煙	0.471	0.338	0.419	0.277	0.228	0.172	0.163
有害	肺	拒絕	吸煙	0.456	0.394	0.309	0.318	0.232	0.222	0.111
咳嗽	打火機	拒絕	吸煙	0.453	0.379	0.419	0.318	0.248	0.195	0.22
打火機	厭惡	肺病	吸煙	0.452	0.419	0.314	0.277	0.196	0.163	0.199
咳嗽	打火機	厭惡	吸煙	0.45	0.379	0.419	0.314	0.248	0.218	0.196
打火機	肺病	傷身	吸煙	0.448	0.419	0.277	0.357	0.163	0.234	0.207
有害	拒絕	男人	吸煙	0.441	0.394	0.318	0.32	0.222	0.178	0.191
咳嗽	拒絕	傷身	吸煙	0.433	0.379	0.318	0.357	0.195	0.182	0.244
污染	打火機	傷身	吸煙	0.425	0.251	0.419	0.357	0.179	0.188	0.234
健康	禁止	可惡	吸煙	0.417	0.302	0.329	0.29	0.209	0.12	0.174
健康	禁止	惡臭	吸煙	0.416	0.302	0.329	0.281	0.209	0.225	0.061
禁止	可惡	肺病	吸煙	0.414	0.329	0.29	0.277	0.174	0.108	0.2
喝酒	污染	可惡	吸煙	0.407	0.477	0.251	0.29	0.215	0.152	0.244
禁止	惡臭	生病	吸煙	0.406	0.329	0.281	0.257	0.061	0.238	0.161
癌症	拒絕	傷身	吸煙	0.405	0.352	0.318	0.357	0.157	0.221	0.244
污染	男人	傷身	吸煙	0.401	0.251	0.32	0.357	0.098	0.188	0.241
禁止	厭惡	肺病	吸煙	0.4	0.329	0.314	0.277	0.212	0.108	0.199
污染	拒絕	男人	吸煙	0.398	0.251	0.318	0.32	0.201	0.098	0.191
打火機	拒絕	傷身	吸煙	0.395	0.419	0.318	0.357	0.22	0.234	0.244
拒絕	惡臭	吸毒	吸煙	0.391	0.318	0.281	0.418	0.224	0.171	0.231
打火機	拒絕	肺病	吸煙	0.391	0.419	0.318	0.277	0.22	0.163	0.24
肺	惡臭	傷身	吸煙	0.389	0.309	0.281	0.357	0.207	0.155	0.196
污染	打火機	拒絕	吸煙	0.386	0.251	0.419	0.318	0.179	0.201	0.22
禁止	咳嗽	厭惡	吸煙	0.375	0.329	0.379	0.314	0.216	0.212	0.218
污染	打火機	厭惡	吸煙	0.372	0.251	0.419	0.314	0.179	0.236	0.196
肺	拒絕	惡臭	吸煙	0.366	0.309	0.318	0.281	0.111	0.207	0.224
禁止	咳嗽	可惡	吸煙	0.36	0.329	0.379	0.29	0.216	0.174	0.248
討厭	污染	打火機	吸煙	0.355	0.338	0.251	0.419	0.245	0.228	0.179
癌症	惡臭	傷身	吸煙	0.347	0.352	0.281	0.357	0.226	0.221	0.196
癌症	拒絕	惡臭	吸煙	0.344	0.352	0.318	0.281	0.157	0.226	0.224
污染	男人	厭惡	吸煙	0.342	0.251	0.32	0.314	0.098	0.236	0.209
有害	男人	肺病	吸煙	0.334	0.394	0.32	0.277	0.178	0.24	0.238
肺	惡臭	吸毒	吸煙	0.325	0.309	0.281	0.418	0.207	0.245	0.231
污染	男人	可惡	吸煙	0.319	0.251	0.32	0.29	0.098	0.244	0.2
拒絕	男人	傷身	吸煙	0.318	0.318	0.32	0.357	0.191	0.244	0.241
健康	禁止	厭惡	吸煙	0.318	0.302	0.329	0.314	0.209	0.206	0.212
男人	惡臭	傷身	吸煙	0.305	0.32	0.281	0.357	0.215	0.241	0.196
污染	拒絕	傷身	吸煙	0.292	0.251	0.318	0.357	0.201	0.188	0.244
禁止	生病	可惡	吸煙	0.292	0.329	0.257	0.29	0.238	0.174	0.172
拒絕	惡臭	傷身	吸煙	0.291	0.318	0.281	0.357	0.224	0.244	0.196
健康	拒絕	惡臭	吸煙	0.291	0.302	0.318	0.281	0.161	0.225	0.224
拒絕	男人	惡臭	吸煙	0.288	0.318	0.32	0.281	0.191	0.224	0.215
惡臭	肺病	傷身	吸煙	0.288	0.281	0.277	0.357	0.224	0.196	0.207
有害	拒絕	肺病	吸煙	0.287	0.394	0.318	0.277	0.222	0.24	0.24
男人	肺病	傷身	吸煙	0.267	0.32	0.277	0.357	0.238	0.241	0.207
男人	厭惡	肺病	吸煙	0.265	0.32	0.314	0.277	0.209	0.238	0.199
拒絕	肺病	傷身	吸煙	0.261	0.318	0.277	0.357	0.24	0.244	0.207
男人	可惡	肺病	吸煙	0.249	0.32	0.29	0.277	0.2	0.238	0.2
拒絕	男人	肺病	吸煙	0.246	0.318	0.32	0.277	0.191	0.24	0.238
禁止	生病	厭惡	吸煙	0.213	0.329	0.257	0.314	0.238	0.212	0.236
男人	惡臭	肺病	吸煙	0.2	0.32	0.281	0.277	0.215	0.238	0.224
拒絕	惡臭	肺病	吸煙	0.188	0.318	0.281	0.277	0.224	0.24	0.224
