				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
香濃	睡眠	巴西	咖啡	0.716	0.453	0.366	0.26	0.177	0.115	0.072
提神	巴西	品嚐	咖啡	0.687	0.482	0.26	0.269	0.072	0.195	0.058
熬夜	茶葉	浪漫	咖啡	0.679	0.32	0.437	0.295	0.152	0.143	0.079
失眠	香濃	巴西	咖啡	0.671	0.358	0.453	0.26	0.183	0.102	0.115
苦澀	睡眠	巴西	咖啡	0.66	0.343	0.366	0.26	0.107	0.132	0.072
睡眠	巴西	品嚐	咖啡	0.65	0.366	0.26	0.269	0.072	0.116	0.058
睡眠	茶葉	巴西	咖啡	0.649	0.366	0.437	0.26	0.231	0.072	0.112
苦	茶葉	浪漫	咖啡	0.643	0.297	0.437	0.295	0.163	0.145	0.079
提神	蛋糕	巴西	咖啡	0.639	0.482	0.43	0.26	0.227	0.072	0.235
熬夜	香濃	巴西	咖啡	0.62	0.32	0.453	0.26	0.147	0.151	0.115
飲料	失眠	巴西	咖啡	0.619	0.455	0.358	0.26	0.208	0.146	0.102
失眠	巴西	品嚐	咖啡	0.615	0.358	0.26	0.269	0.102	0.113	0.058
失眠	茶葉	巴西	咖啡	0.609	0.358	0.437	0.26	0.233	0.102	0.112
熬夜	茶葉	巴西	咖啡	0.603	0.32	0.437	0.26	0.152	0.151	0.112
糖	情調	睡眠	咖啡	0.599	0.452	0.317	0.366	0.121	0.215	0.2
糖	情調	巴西	咖啡	0.597	0.452	0.317	0.26	0.121	0.226	0.085
情調	睡眠	巴西	咖啡	0.587	0.317	0.366	0.26	0.2	0.085	0.072
熬夜	香濃	浪漫	咖啡	0.586	0.32	0.453	0.295	0.147	0.143	0.191
糖	睡眠	品嚐	咖啡	0.583	0.452	0.366	0.269	0.215	0.172	0.116
苦	飲料	浪漫	咖啡	0.577	0.297	0.455	0.295	0.175	0.145	0.15
熬夜	飲料	浪漫	咖啡	0.577	0.32	0.455	0.295	0.201	0.143	0.15
睡眠	茶葉	浪漫	咖啡	0.572	0.366	0.437	0.295	0.231	0.216	0.079
茶葉	巴西	浪漫	咖啡	0.571	0.437	0.26	0.295	0.112	0.079	0.231
糖	睡眠	巴西	咖啡	0.566	0.452	0.366	0.26	0.215	0.226	0.072
熬夜	情調	巴西	咖啡	0.561	0.32	0.317	0.26	0.1	0.151	0.085
苦	香濃	睡眠	咖啡	0.548	0.297	0.453	0.366	0.224	0.168	0.177
苦	睡眠	茶葉	咖啡	0.538	0.297	0.366	0.437	0.168	0.163	0.231
熬夜	飲料	巴西	咖啡	0.538	0.32	0.455	0.26	0.201	0.151	0.146
提神	巴西	浪漫	咖啡	0.535	0.482	0.26	0.295	0.072	0.2	0.231
提神	蛋糕	品嚐	咖啡	0.53	0.482	0.43	0.269	0.227	0.195	0.229
香濃	睡眠	浪漫	咖啡	0.529	0.453	0.366	0.295	0.177	0.191	0.216
糖	巴西	品嚐	咖啡	0.525	0.452	0.26	0.269	0.226	0.172	0.058
情調	失眠	巴西	咖啡	0.519	0.317	0.358	0.26	0.23	0.085	0.102
失眠	悠閒	巴西	咖啡	0.517	0.358	0.27	0.26	0.18	0.102	0.09
蛋糕	悠閒	巴西	咖啡	0.514	0.43	0.27	0.26	0.122	0.235	0.09
熬夜	情調	蛋糕	咖啡	0.513	0.32	0.317	0.43	0.1	0.231	0.224
糖	悠閒	巴西	咖啡	0.506	0.452	0.27	0.26	0.16	0.226	0.09
苦	茶葉	巴西	咖啡	0.503	0.297	0.437	0.26	0.163	0.217	0.112
美酒	失眠	巴西	咖啡	0.501	0.442	0.358	0.26	0.233	0.224	0.102
熬夜	蛋糕	悠閒	咖啡	0.5	0.32	0.43	0.27	0.231	0.168	0.122
睡眠	悠閒	巴西	咖啡	0.5	0.366	0.27	0.26	0.236	0.072	0.09
糖	品嚐	浪漫	咖啡	0.499	0.452	0.269	0.295	0.172	0.185	0.159
熬夜	巴西	品嚐	咖啡	0.498	0.32	0.26	0.269	0.151	0.143	0.058
糖	睡眠	浪漫	咖啡	0.497	0.452	0.366	0.295	0.215	0.185	0.216
提神	品嚐	浪漫	咖啡	0.492	0.482	0.269	0.295	0.195	0.2	0.159
苦	香濃	浪漫	咖啡	0.485	0.297	0.453	0.295	0.224	0.145	0.191
飲料	巴西	浪漫	咖啡	0.484	0.455	0.26	0.295	0.146	0.15	0.231
苦	蛋糕	悠閒	咖啡	0.481	0.297	0.43	0.27	0.224	0.171	0.122
糖	睡眠	悠閒	咖啡	0.477	0.452	0.366	0.27	0.215	0.16	0.236
苦	情調	睡眠	咖啡	0.476	0.297	0.317	0.366	0.137	0.168	0.2
苦	飲料	巴西	咖啡	0.476	0.297	0.455	0.26	0.175	0.217	0.146
