				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
明星	抒發	嗓子	唱歌	0.685	0.33	0.334	0.479	0.062	0.178	0.217
明星	放鬆	嗓子	唱歌	0.647	0.33	0.278	0.479	0.085	0.178	0.176
明星	嗓子	發洩	唱歌	0.624	0.33	0.479	0.329	0.178	0.124	0.211
明星	優美	嗓子	唱歌	0.622	0.33	0.286	0.479	0.118	0.178	0.176
愉快	喉嚨	歌曲	唱歌	0.621	0.294	0.265	0.477	0.085	0.149	0.181
愉快	喉嚨	唱片	唱歌	0.619	0.294	0.265	0.378	0.085	0.113	0.119
愉快	明星	嗓子	唱歌	0.613	0.294	0.33	0.479	0.132	0.179	0.178
愉快	喉嚨	明星	唱歌	0.611	0.294	0.265	0.33	0.085	0.132	0.061
明星	動聽	宣洩	唱歌	0.607	0.33	0.37	0.363	0.135	0.146	0.174
麥克風	愉快	明星	唱歌	0.596	0.386	0.294	0.33	0.072	0.209	0.132
明星	興趣	嗓子	唱歌	0.588	0.33	0.289	0.479	0.188	0.178	0.144
快樂	明星	嗓子	唱歌	0.586	0.275	0.33	0.479	0.173	0.147	0.178
比賽	流行	嗓子	唱歌	0.579	0.38	0.265	0.479	0.179	0.232	0.133
流行	嗓子	歡樂	唱歌	0.577	0.265	0.479	0.27	0.133	0.171	0.133
喉嚨	明星	心情	唱歌	0.575	0.265	0.33	0.361	0.061	0.126	0.194
愉快	明星	聲音	唱歌	0.572	0.294	0.33	0.353	0.132	0.125	0.147
流行	嗓子	發洩	唱歌	0.567	0.265	0.479	0.329	0.133	0.161	0.211
流行	抒發	嗓子	唱歌	0.564	0.265	0.334	0.479	0.162	0.133	0.217
愉快	娛樂	嗓子	唱歌	0.558	0.294	0.317	0.479	0.203	0.179	0.151
明星	嗓子	歡樂	唱歌	0.557	0.33	0.479	0.27	0.178	0.211	0.133
明星	心情	嗓子	唱歌	0.555	0.33	0.361	0.479	0.194	0.178	0.242
喉嚨	明星	宣洩	唱歌	0.554	0.265	0.33	0.363	0.061	0.197	0.146
明星	優美	宣洩	唱歌	0.553	0.33	0.286	0.363	0.118	0.146	0.162
明星	動聽	放鬆	唱歌	0.553	0.33	0.37	0.278	0.135	0.085	0.205
快樂	流行	嗓子	唱歌	0.548	0.275	0.265	0.479	0.19	0.147	0.133
開心	流行	嗓子	唱歌	0.548	0.276	0.265	0.479	0.185	0.154	0.133
心情	興趣	嗓子	唱歌	0.546	0.361	0.289	0.479	0.198	0.242	0.144
愉快	明星	抒發	唱歌	0.54	0.294	0.33	0.334	0.132	0.224	0.062
愉快	唱片	抒發	唱歌	0.537	0.294	0.378	0.334	0.113	0.224	0.132
興趣	流行	嗓子	唱歌	0.536	0.289	0.265	0.479	0.22	0.144	0.133
愉快	比賽	唱片	唱歌	0.535	0.294	0.38	0.378	0.208	0.113	0.195
心情	娛樂	嗓子	唱歌	0.535	0.361	0.317	0.479	0.23	0.242	0.151
