				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
分貝	吵	工程	噪音	0.753	0.447	0.453	0.285	0.228	0.115	0.088
安靜	喇叭	公害	噪音	0.739	0.433	0.357	0.436	0.192	0.111	0.183
分貝	惱人	工地	噪音	0.719	0.447	0.368	0.327	0.239	0.1	0.084
分貝	吵	工地	噪音	0.705	0.447	0.453	0.327	0.228	0.1	0.194
煩躁	唱歌	公害	噪音	0.681	0.33	0.348	0.436	0.154	0.124	0.155
煩躁	喇叭	公害	噪音	0.68	0.33	0.357	0.436	0.136	0.124	0.183
惱人	唱歌	公害	噪音	0.659	0.368	0.348	0.436	0.104	0.234	0.155
吵	耳聾	工地	噪音	0.633	0.453	0.335	0.327	0.195	0.194	0.093
分貝	工程	惱人	噪音	0.623	0.447	0.285	0.368	0.115	0.239	0.122
安靜	垃圾	喇叭	噪音	0.618	0.433	0.389	0.357	0.134	0.192	0.234
惱人	耳聾	工地	噪音	0.616	0.368	0.335	0.327	0.237	0.084	0.093
安靜	耳聾	垃圾	噪音	0.616	0.433	0.335	0.389	0.245	0.134	0.163
吵	耳聾	車輛	噪音	0.614	0.453	0.335	0.284	0.195	0.04	0.223
音樂	吵	工地	噪音	0.612	0.286	0.453	0.327	0.095	0.165	0.194
安靜	工程	喇叭	噪音	0.612	0.433	0.285	0.357	0.076	0.192	0.195
安靜	車輛	公害	噪音	0.605	0.433	0.284	0.436	0.214	0.111	0.223
吵	工程	耳聾	噪音	0.596	0.453	0.285	0.335	0.088	0.195	0.194
安靜	耳聾	工地	噪音	0.592	0.433	0.335	0.327	0.245	0.165	0.093
分貝	飛機	垃圾	噪音	0.587	0.447	0.273	0.389	0.232	0.123	0.168
分貝	飛機	公害	噪音	0.587	0.447	0.273	0.436	0.232	0.194	0.145
分貝	惱人	公害	噪音	0.584	0.447	0.368	0.436	0.239	0.194	0.234
惱人	工地	喇叭	噪音	0.58	0.368	0.327	0.357	0.084	0.195	0.193
惱人	車輛	唱歌	噪音	0.571	0.368	0.284	0.348	0.2	0.104	0.125
安靜	工地	喇叭	噪音	0.567	0.433	0.327	0.357	0.165	0.192	0.193
飛機	唱歌	公害	噪音	0.565	0.273	0.348	0.436	0.193	0.145	0.155
車輛	唱歌	公害	噪音	0.565	0.284	0.348	0.436	0.125	0.223	0.155
車子	唱歌	公害	噪音	0.564	0.279	0.348	0.436	0.17	0.174	0.155
惱人	喇叭	公害	噪音	0.549	0.368	0.357	0.436	0.195	0.234	0.183
安靜	工程	耳聾	噪音	0.539	0.433	0.285	0.335	0.076	0.245	0.194
飛機	喇叭	公害	噪音	0.535	0.273	0.357	0.436	0.203	0.145	0.183
工程	惱人	唱歌	噪音	0.535	0.285	0.368	0.348	0.122	0.24	0.104
車子	吵	工程	噪音	0.535	0.279	0.453	0.285	0.197	0.196	0.088
安靜	垃圾	車輛	噪音	0.529	0.433	0.389	0.284	0.134	0.214	0.229
煩躁	工程	喇叭	噪音	0.528	0.33	0.285	0.357	0.113	0.136	0.195
分貝	飛機	工地	噪音	0.512	0.447	0.273	0.327	0.232	0.1	0.204
煩躁	工地	喇叭	噪音	0.511	0.33	0.327	0.357	0.174	0.136	0.193
分貝	飛機	吵	噪音	0.51	0.447	0.273	0.453	0.232	0.228	0.203
工程	惱人	喇叭	噪音	0.498	0.285	0.368	0.357	0.122	0.195	0.195
吵	工程	馬路	噪音	0.495	0.453	0.285	0.287	0.088	0.223	0.217
車子	惱人	唱歌	噪音	0.49	0.279	0.368	0.348	0.231	0.17	0.104
煩躁	垃圾	喇叭	噪音	0.487	0.33	0.389	0.357	0.219	0.136	0.234
飛機	吵	工程	噪音	0.483	0.273	0.453	0.285	0.203	0.237	0.088
車子	耳聾	垃圾	噪音	0.479	0.279	0.335	0.389	0.196	0.165	0.163
車子	吵	耳聾	噪音	0.478	0.279	0.453	0.335	0.197	0.196	0.195
煩躁	工程	唱歌	噪音	0.456	0.33	0.285	0.348	0.113	0.154	0.24
飛機	吵	工地	噪音	0.452	0.273	0.453	0.327	0.203	0.204	0.194
飛機	惱人	公害	噪音	0.451	0.273	0.368	0.436	0.248	0.145	0.234
煩躁	垃圾	唱歌	噪音	0.45	0.33	0.389	0.348	0.219	0.154	0.244
飛機	耳聾	垃圾	噪音	0.447	0.273	0.335	0.389	0.22	0.168	0.163
飛機	惱人	唱歌	噪音	0.445	0.273	0.368	0.348	0.248	0.193	0.104
車子	惱人	公害	噪音	0.444	0.279	0.368	0.436	0.231	0.174	0.234
飛機	吵	耳聾	噪音	0.443	0.273	0.453	0.335	0.203	0.22	0.195
車子	垃圾	唱歌	噪音	0.436	0.279	0.389	0.348	0.165	0.17	0.244
工程	惱人	耳聾	噪音	0.435	0.285	0.368	0.335	0.122	0.194	0.237
飛機	惱人	工地	噪音	0.432	0.273	0.368	0.327	0.248	0.204	0.084
惱人	車輛	公害	噪音	0.431	0.368	0.284	0.436	0.2	0.234	0.223
垃圾	車輛	唱歌	噪音	0.422	0.389	0.284	0.348	0.229	0.244	0.125
分貝	飛機	工程	噪音	0.422	0.447	0.273	0.285	0.232	0.115	0.237
飛機	耳聾	工地	噪音	0.418	0.273	0.335	0.327	0.22	0.204	0.093
耳鳴	馬路	公害	噪音	0.416	0.394	0.287	0.436	0.236	0.245	0.221
飛機	垃圾	喇叭	噪音	0.414	0.273	0.389	0.357	0.168	0.203	0.234
飛機	垃圾	唱歌	噪音	0.405	0.273	0.389	0.348	0.168	0.193	0.244
耳聾	垃圾	車輛	噪音	0.394	0.335	0.389	0.284	0.163	0.223	0.229
車子	工程	惱人	噪音	0.382	0.279	0.285	0.368	0.196	0.231	0.122
安靜	耳聾	車輛	噪音	0.371	0.433	0.335	0.284	0.245	0.214	0.223
分貝	飛機	惱人	噪音	0.369	0.447	0.273	0.368	0.232	0.239	0.248
飛機	工地	喇叭	噪音	0.357	0.273	0.327	0.357	0.204	0.203	0.193
飛機	惱人	喇叭	噪音	0.352	0.273	0.368	0.357	0.248	0.203	0.195
工程	耳鳴	馬路	噪音	0.328	0.285	0.394	0.287	0.185	0.217	0.236
惱人	耳聾	車輛	噪音	0.327	0.368	0.335	0.284	0.237	0.2	0.223
飛機	工程	惱人	噪音	0.319	0.273	0.285	0.368	0.237	0.248	0.122
車子	惱人	耳聾	噪音	0.317	0.279	0.368	0.335	0.231	0.196	0.237
車子	工程	耳聾	噪音	0.313	0.279	0.285	0.335	0.196	0.196	0.194
車子	工程	唱歌	噪音	0.306	0.279	0.285	0.348	0.196	0.17	0.24
飛機	工程	喇叭	噪音	0.28	0.273	0.285	0.357	0.237	0.203	0.195
飛機	惱人	耳聾	噪音	0.271	0.273	0.368	0.335	0.248	0.22	0.237
飛機	工程	耳聾	噪音	0.243	0.273	0.285	0.335	0.237	0.22	0.194
飛機	工程	唱歌	噪音	0.237	0.273	0.285	0.348	0.237	0.193	0.24
