				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
波斯	毛巾	禮堂	地毯	0.837	0.388	0.452	0.251	0.098	0.027	0.129
波斯	舒服	禮堂	地毯	0.724	0.388	0.295	0.251	0.098	0.027	0.085
波斯	毛巾	婚禮	地毯	0.724	0.388	0.452	0.324	0.098	0.145	0.196
波斯	吸塵器	舒服	地毯	0.722	0.388	0.38	0.295	0.085	0.098	0.157
波斯	沙發	保暖	地毯	0.714	0.388	0.446	0.283	0.109	0.089	0.206
波斯	保暖	禮堂	地毯	0.711	0.388	0.283	0.251	0.089	0.027	0.095
波斯	吸塵器	禮堂	地毯	0.709	0.388	0.38	0.251	0.085	0.027	0.199
波斯	毛巾	教堂	地毯	0.699	0.388	0.452	0.382	0.098	0.197	0.229
波斯	舒適	毛巾	地毯	0.695	0.388	0.258	0.452	0.067	0.098	0.237
波斯	吸塵器	教堂	地毯	0.689	0.388	0.38	0.382	0.085	0.197	0.18
毛巾	婚禮	阿拉伯	地毯	0.686	0.452	0.324	0.327	0.196	0.1	0.121
波斯	教堂	灰塵	地毯	0.671	0.388	0.382	0.371	0.197	0.112	0.161
毛巾	禮堂	阿拉伯	地毯	0.666	0.452	0.251	0.327	0.129	0.1	0.135
吸塵器	教堂	毛	地毯	0.663	0.38	0.382	0.308	0.18	0.142	0.085
婚禮	阿拉丁	毛	地毯	0.656	0.324	0.346	0.308	0.211	0.039	0.071
波斯貓	毛巾	阿拉伯	地毯	0.656	0.324	0.452	0.327	0.207	0.14	0.1
波斯	舒適	教堂	地毯	0.654	0.388	0.258	0.382	0.067	0.197	0.111
教堂	灰塵	毛	地毯	0.653	0.382	0.371	0.308	0.161	0.085	0.161
波斯	保暖	灰塵	地毯	0.653	0.388	0.283	0.371	0.089	0.112	0.187
沙發	阿拉丁	毛	地毯	0.648	0.446	0.346	0.308	0.215	0.166	0.071
波斯	舒服	婚禮	地毯	0.645	0.388	0.295	0.324	0.098	0.145	0.118
波斯	柔軟	教堂	地毯	0.644	0.388	0.314	0.382	0.153	0.197	0.091
波斯	沙發	毛	地毯	0.644	0.388	0.446	0.308	0.109	0.223	0.166
教堂	阿拉丁	毛	地毯	0.641	0.382	0.346	0.308	0.238	0.085	0.071
波斯	禮堂	灰塵	地毯	0.639	0.388	0.251	0.371	0.027	0.112	0.232
波斯	毛巾	豪華	地毯	0.637	0.388	0.452	0.298	0.098	0.187	0.215
羊毛	灰塵	阿拉丁	地毯	0.637	0.47	0.371	0.346	0.178	0.203	0.169
波斯	保暖	婚禮	地毯	0.636	0.388	0.283	0.324	0.089	0.145	0.124
舒服	羊毛	禮堂	地毯	0.633	0.295	0.47	0.251	0.21	0.085	0.088
波斯	舒服	教堂	地毯	0.633	0.388	0.295	0.382	0.098	0.197	0.137
舒適	教堂	毛	地毯	0.63	0.258	0.382	0.308	0.111	0.122	0.085
波斯	吸塵器	毛	地毯	0.625	0.388	0.38	0.308	0.085	0.223	0.142
波斯	禮堂	毛	地毯	0.624	0.388	0.251	0.308	0.027	0.223	0.073
灰塵	阿拉丁	毛	地毯	0.623	0.371	0.346	0.308	0.169	0.161	0.071
波斯	舒服	灰塵	地毯	0.614	0.388	0.295	0.371	0.098	0.112	0.229
婚禮	阿拉伯	毛	地毯	0.612	0.324	0.327	0.308	0.121	0.039	0.186
波斯	婚禮	毛	地毯	0.612	0.388	0.324	0.308	0.145	0.223	0.039
波斯	客廳	保暖	地毯	0.611	0.388	0.397	0.283	0.161	0.089	0.206
波斯	毛球	禮堂	地毯	0.61	0.388	0.287	0.251	0.202	0.027	0.088
沙發	羊毛	阿拉丁	地毯	0.609	0.446	0.47	0.346	0.236	0.215	0.203
波斯	保暖	教堂	地毯	0.607	0.388	0.283	0.382	0.089	0.197	0.16
舒服	婚禮	毛	地毯	0.607	0.295	0.324	0.308	0.118	0.162	0.039
舒適	阿拉丁	毛	地毯	0.606	0.258	0.346	0.308	0.112	0.122	0.071
吸塵器	阿拉丁	毛	地毯	0.603	0.38	0.346	0.308	0.217	0.142	0.071
保暖	灰塵	阿拉伯	地毯	0.601	0.283	0.371	0.327	0.187	0.108	0.085
教堂	灰塵	阿拉伯	地毯	0.6	0.382	0.371	0.327	0.161	0.234	0.085
舒服	教堂	毛	地毯	0.6	0.295	0.382	0.308	0.137	0.162	0.085
毛巾	教堂	阿拉伯	地毯	0.599	0.452	0.382	0.327	0.229	0.1	0.234
吸塵器	羊毛	禮堂	地毯	0.598	0.38	0.47	0.251	0.217	0.199	0.088
舒服	羊毛	婚禮	地毯	0.597	0.295	0.47	0.324	0.21	0.118	0.163
舒服	阿拉丁	毛	地毯	0.597	0.295	0.346	0.308	0.117	0.162	0.071
舒服	波斯貓	教堂	地毯	0.596	0.295	0.324	0.382	0.129	0.137	0.138
沙發	保暖	阿拉伯	地毯	0.595	0.446	0.283	0.327	0.206	0.147	0.108
柔軟	教堂	毛	地毯	0.594	0.314	0.382	0.308	0.091	0.234	0.085
羊毛	禮堂	灰塵	地毯	0.594	0.47	0.251	0.371	0.088	0.178	0.232
波斯	客廳	毛	地毯	0.588	0.388	0.397	0.308	0.161	0.223	0.12
柔軟	教堂	阿拉丁	地毯	0.587	0.314	0.382	0.346	0.091	0.127	0.238
波斯	紅色	毛巾	地毯	0.587	0.388	0.261	0.452	0.209	0.098	0.207
波斯	毛球	沙發	地毯	0.585	0.388	0.287	0.446	0.202	0.109	0.226
波斯貓	毛巾	教堂	地毯	0.585	0.324	0.452	0.382	0.207	0.138	0.229
波斯	舒服	客廳	地毯	0.584	0.388	0.295	0.397	0.098	0.161	0.236
波斯	婚禮	灰塵	地毯	0.583	0.388	0.324	0.371	0.145	0.112	0.242
紅色	舒服	阿拉丁	地毯	0.583	0.261	0.295	0.346	0.091	0.111	0.117
吸塵器	舒服	教堂	地毯	0.582	0.38	0.295	0.382	0.157	0.18	0.137
羊毛	婚禮	灰塵	地毯	0.582	0.47	0.324	0.371	0.163	0.178	0.242
保暖	婚禮	阿拉伯	地毯	0.581	0.283	0.324	0.327	0.124	0.108	0.121
沙發	阿拉伯	毛	地毯	0.581	0.446	0.327	0.308	0.147	0.166	0.186
舒服	羊毛	阿拉丁	地毯	0.58	0.295	0.47	0.346	0.21	0.117	0.203
舒服	客廳	羊毛	地毯	0.579	0.295	0.397	0.47	0.236	0.21	0.136
羊毛	禮堂	阿拉丁	地毯	0.578	0.47	0.251	0.346	0.088	0.203	0.199
婚禮	灰塵	阿拉伯	地毯	0.574	0.324	0.371	0.327	0.242	0.121	0.085
波斯	教堂	毛	地毯	0.573	0.388	0.382	0.308	0.197	0.223	0.085
灰塵	阿拉伯	毛	地毯	0.573	0.371	0.327	0.308	0.085	0.161	0.186
紅色	保暖	阿拉丁	地毯	0.572	0.261	0.283	0.346	0.121	0.111	0.086
波斯	灰塵	毛	地毯	0.569	0.388	0.371	0.308	0.112	0.223	0.161
沙發	保暖	阿拉丁	地毯	0.569	0.446	0.283	0.346	0.206	0.215	0.086
舒服	婚禮	阿拉伯	地毯	0.567	0.295	0.324	0.327	0.118	0.139	0.121
羊毛	婚禮	阿拉丁	地毯	0.563	0.47	0.324	0.346	0.163	0.203	0.211
禮堂	阿拉丁	毛	地毯	0.561	0.251	0.346	0.308	0.199	0.073	0.071
吸塵器	舒服	羊毛	地毯	0.56	0.38	0.295	0.47	0.157	0.217	0.21
婚禮	灰塵	毛	地毯	0.56	0.324	0.371	0.308	0.242	0.039	0.161
紅色	羊毛	阿拉丁	地毯	0.56	0.261	0.47	0.346	0.203	0.111	0.203
吸塵器	羊毛	阿拉丁	地毯	0.559	0.38	0.47	0.346	0.217	0.217	0.203
保暖	灰塵	阿拉丁	地毯	0.558	0.283	0.371	0.346	0.187	0.086	0.169
紅色	毛巾	阿拉丁	地毯	0.556	0.261	0.452	0.346	0.207	0.111	0.185
紅色	舒服	教堂	地毯	0.551	0.261	0.295	0.382	0.091	0.159	0.137
舒適	羊毛	阿拉丁	地毯	0.549	0.258	0.47	0.346	0.21	0.112	0.203
波斯	吸塵器	紅色	地毯	0.548	0.388	0.38	0.261	0.085	0.209	0.187
毛巾	阿拉伯	豪華	地毯	0.547	0.452	0.327	0.298	0.1	0.215	0.215
波斯	吸塵器	毛球	地毯	0.546	0.388	0.38	0.287	0.085	0.202	0.222
波斯	紅色	舒服	地毯	0.546	0.388	0.261	0.295	0.209	0.098	0.091
阿拉丁	毛	豪華	地毯	0.545	0.346	0.308	0.298	0.071	0.204	0.131
波斯	舒適	毛	地毯	0.541	0.388	0.258	0.308	0.067	0.223	0.122
舒適	毛巾	阿拉伯	地毯	0.54	0.258	0.452	0.327	0.237	0.159	0.1
舒服	灰塵	阿拉伯	地毯	0.539	0.295	0.371	0.327	0.229	0.139	0.085
舒服	波斯貓	阿拉伯	地毯	0.537	0.295	0.324	0.327	0.129	0.139	0.14
毛巾	禮堂	阿拉丁	地毯	0.536	0.452	0.251	0.346	0.129	0.185	0.199
柔軟	阿拉丁	毛	地毯	0.536	0.314	0.346	0.308	0.127	0.234	0.071
柔軟	教堂	阿拉伯	地毯	0.534	0.314	0.382	0.327	0.091	0.165	0.234
舒服	禮堂	毛	地毯	0.533	0.295	0.251	0.308	0.085	0.162	0.073
保暖	婚禮	阿拉丁	地毯	0.532	0.283	0.324	0.346	0.124	0.086	0.211
教堂	灰塵	阿拉丁	地毯	0.531	0.382	0.371	0.346	0.161	0.238	0.169
舒服	教堂	阿拉丁	地毯	0.53	0.295	0.382	0.346	0.137	0.117	0.238
毛巾	婚禮	阿拉丁	地毯	0.53	0.452	0.324	0.346	0.196	0.185	0.211
毛巾	教堂	阿拉丁	地毯	0.529	0.452	0.382	0.346	0.229	0.185	0.238
吸塵器	舒服	阿拉丁	地毯	0.529	0.38	0.295	0.346	0.157	0.217	0.117
保暖	教堂	灰塵	地毯	0.529	0.283	0.382	0.371	0.16	0.187	0.161
保暖	教堂	阿拉丁	地毯	0.527	0.283	0.382	0.346	0.16	0.086	0.238
舒適	教堂	阿拉丁	地毯	0.526	0.258	0.382	0.346	0.111	0.112	0.238
吸塵器	禮堂	毛	地毯	0.525	0.38	0.251	0.308	0.199	0.142	0.073
波斯貓	毛巾	禮堂	地毯	0.523	0.324	0.452	0.251	0.207	0.169	0.129
保暖	禮堂	阿拉伯	地毯	0.522	0.283	0.251	0.327	0.095	0.108	0.135
紅色	舒服	羊毛	地毯	0.522	0.261	0.295	0.47	0.091	0.203	0.21
舒適	毛巾	阿拉丁	地毯	0.522	0.258	0.452	0.346	0.237	0.112	0.185
毛球	沙發	阿拉伯	地毯	0.522	0.287	0.446	0.327	0.226	0.165	0.147
波斯	毛球	客廳	地毯	0.522	0.388	0.287	0.397	0.202	0.161	0.187
波斯貓	教堂	阿拉伯	地毯	0.521	0.324	0.382	0.327	0.138	0.14	0.234
舒服	教堂	灰塵	地毯	0.52	0.295	0.382	0.371	0.137	0.229	0.161
