				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
日本	晃動	火山	地震	0.718	0.28	0.271	0.471	0.01	0.23	0.064
搖晃	日本	火山	地震	0.699	0.332	0.28	0.471	0.035	0.12	0.23
死亡	搖晃	火山	地震	0.682	0.35	0.332	0.471	0.127	0.225	0.12
房屋	晃動	火山	地震	0.682	0.376	0.271	0.471	0.132	0.24	0.064
死亡	晃動	火山	地震	0.678	0.35	0.271	0.471	0.125	0.225	0.064
死亡	搖晃	日本	地震	0.677	0.35	0.332	0.28	0.127	0.123	0.035
日本	毀壞	火山	地震	0.66	0.28	0.282	0.471	0.019	0.23	0.124
天災	日本	房子	地震	0.654	0.476	0.28	0.31	0.166	0.166	0.08
搖晃	房屋	火山	地震	0.651	0.332	0.376	0.471	0.169	0.12	0.24
搖晃	日本	房屋	地震	0.644	0.332	0.28	0.376	0.035	0.169	0.14
日本	房屋	晃動	地震	0.644	0.28	0.376	0.271	0.14	0.01	0.132
死亡	日本	晃動	地震	0.643	0.35	0.28	0.271	0.123	0.125	0.01
災難	日本	房子	地震	0.63	0.478	0.28	0.31	0.195	0.163	0.08
搖晃	日本	傷亡	地震	0.619	0.332	0.28	0.362	0.035	0.225	0.096
天災	日本	房屋	地震	0.619	0.476	0.28	0.376	0.166	0.206	0.14
日本	房子	傷亡	地震	0.618	0.28	0.31	0.362	0.08	0.096	0.159
搖晃	傷亡	火山	地震	0.612	0.332	0.362	0.471	0.225	0.12	0.21
晃動	可怕	火山	地震	0.611	0.271	0.329	0.471	0.158	0.064	0.238
搖晃	日本	房子	地震	0.61	0.332	0.28	0.31	0.035	0.198	0.08
搖晃	可怕	火山	地震	0.606	0.332	0.329	0.471	0.169	0.12	0.238
日本	房子	晃動	地震	0.602	0.28	0.31	0.271	0.08	0.01	0.169
災難	日本	房屋	地震	0.595	0.478	0.28	0.376	0.195	0.204	0.14
房屋	害怕	火山	地震	0.592	0.376	0.261	0.471	0.144	0.24	0.132
搖晃	火山	恐慌	地震	0.589	0.332	0.471	0.324	0.12	0.243	0.176
日本	桌子	崩塌	地震	0.58	0.28	0.255	0.434	0.156	0.042	0.191
日本	傷亡	火山	地震	0.578	0.28	0.362	0.471	0.096	0.23	0.21
天災	房屋	害怕	地震	0.578	0.476	0.376	0.261	0.206	0.185	0.144
晃動	害怕	火山	地震	0.57	0.271	0.261	0.471	0.237	0.064	0.132
害怕	傷亡	火山	地震	0.567	0.261	0.362	0.471	0.185	0.132	0.21
房屋	火山	恐慌	地震	0.565	0.376	0.471	0.324	0.24	0.19	0.176
日本	房子	破壞	地震	0.565	0.28	0.31	0.261	0.08	0.049	0.158
搖晃	害怕	火山	地震	0.564	0.332	0.261	0.471	0.248	0.12	0.132
天災	房屋	恐慌	地震	0.564	0.476	0.376	0.324	0.206	0.216	0.19
日本	破壞	火山	地震	0.563	0.28	0.261	0.471	0.049	0.23	0.171
日本	房子	毀壞	地震	0.545	0.28	0.31	0.282	0.08	0.019	0.228
毀壞	火山	恐慌	地震	0.539	0.282	0.471	0.324	0.124	0.238	0.176
颱風	桌子	恐慌	地震	0.534	0.4	0.255	0.324	0.15	0.144	0.151
颱風	房屋	恐慌	地震	0.532	0.4	0.376	0.324	0.234	0.144	0.19
日本	毀滅	房子	地震	0.525	0.28	0.294	0.31	0.084	0.08	0.194
災難	房屋	害怕	地震	0.524	0.478	0.376	0.261	0.204	0.244	0.144
日本	房屋	破壞	地震	0.524	0.28	0.376	0.261	0.14	0.049	0.205
死亡	日本	火山	地震	0.524	0.35	0.28	0.471	0.123	0.225	0.23
颱風	桌子	崩塌	地震	0.523	0.4	0.255	0.434	0.15	0.225	0.191
日本	毀滅	房屋	地震	0.519	0.28	0.294	0.376	0.084	0.14	0.207
日本	房屋	火山	地震	0.517	0.28	0.376	0.471	0.14	0.23	0.24
日本	桌子	傷亡	地震	0.515	0.28	0.255	0.362	0.156	0.096	0.13
日本	桌子	毀壞	地震	0.511	0.28	0.255	0.282	0.156	0.019	0.13
死亡	搖晃	颱風	地震	0.51	0.35	0.332	0.4	0.127	0.197	0.248
搖晃	房屋	可怕	地震	0.51	0.332	0.376	0.329	0.169	0.169	0.19
搖晃	日本	可怕	地震	0.509	0.332	0.28	0.329	0.035	0.169	0.229
房屋	可怕	火山	地震	0.508	0.376	0.329	0.471	0.19	0.24	0.238
毀壞	可怕	火山	地震	0.508	0.282	0.329	0.471	0.212	0.124	0.238
火災	日本	桌子	地震	0.504	0.452	0.28	0.255	0.148	0.178	0.156
死亡	日本	房子	地震	0.503	0.35	0.28	0.31	0.123	0.234	0.08
天災	日本	桌子	地震	0.5	0.476	0.28	0.255	0.166	0.188	0.156
天災	桌子	恐慌	地震	0.5	0.476	0.255	0.324	0.188	0.216	0.151
日本	毀滅	火山	地震	0.499	0.28	0.294	0.471	0.084	0.23	0.232
天災	房子	恐慌	地震	0.499	0.476	0.31	0.324	0.166	0.216	0.23
颱風	房屋	害怕	地震	0.497	0.4	0.376	0.261	0.234	0.163	0.144
颱風	房屋	可怕	地震	0.496	0.4	0.376	0.329	0.234	0.185	0.19
房屋	晃動	可怕	地震	0.496	0.376	0.271	0.329	0.132	0.19	0.158
房屋	破壞	火山	地震	0.492	0.376	0.261	0.471	0.205	0.24	0.171
日本	晃動	可怕	地震	0.483	0.28	0.271	0.329	0.01	0.229	0.158
天災	日本	恐慌	地震	0.482	0.476	0.28	0.324	0.166	0.216	0.216
死亡	日本	破壞	地震	0.479	0.35	0.28	0.261	0.123	0.241	0.049
死亡	颱風	晃動	地震	0.477	0.35	0.4	0.271	0.197	0.125	0.222
災難	日本	桌子	地震	0.477	0.478	0.28	0.255	0.195	0.184	0.156
天災	房子	害怕	地震	0.465	0.476	0.31	0.261	0.166	0.185	0.232
毀滅	房屋	火山	地震	0.462	0.294	0.376	0.471	0.207	0.232	0.24
死亡	颱風	桌子	地震	0.46	0.35	0.4	0.255	0.197	0.198	0.15
搖晃	颱風	可怕	地震	0.46	0.332	0.4	0.329	0.248	0.169	0.185
颱風	房屋	晃動	地震	0.459	0.4	0.376	0.271	0.234	0.222	0.132
搖晃	颱風	房屋	地震	0.457	0.332	0.4	0.376	0.248	0.169	0.234
日本	火山	恐慌	地震	0.454	0.28	0.471	0.324	0.23	0.216	0.176
日本	桌子	破壞	地震	0.453	0.28	0.255	0.261	0.156	0.049	0.138
天災	日本	害怕	地震	0.452	0.476	0.28	0.261	0.166	0.185	0.213
颱風	桌子	可怕	地震	0.446	0.4	0.255	0.329	0.15	0.185	0.203
死亡	破壞	火山	地震	0.446	0.35	0.261	0.471	0.241	0.225	0.171
搖晃	日本	恐慌	地震	0.443	0.332	0.28	0.324	0.035	0.243	0.216
日本	害怕	火山	地震	0.437	0.28	0.261	0.471	0.213	0.23	0.132
颱風	房子	恐慌	地震	0.436	0.4	0.31	0.324	0.224	0.144	0.23
颱風	晃動	可怕	地震	0.435	0.4	0.271	0.329	0.222	0.185	0.158
日本	房屋	恐慌	地震	0.434	0.28	0.376	0.324	0.14	0.216	0.19
死亡	搖晃	房子	地震	0.434	0.35	0.332	0.31	0.127	0.234	0.198
