				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
臭	紙屑	分類	垃圾	0.682	0.435	0.395	0.334	0.239	0.09	0.153
臭	食物	分類	垃圾	0.68	0.435	0.41	0.334	0.215	0.09	0.194
臭味	亂丟	分類	垃圾	0.659	0.386	0.496	0.334	0.242	0.093	0.223
臭	焚化爐	分類	垃圾	0.656	0.435	0.429	0.334	0.203	0.09	0.25
臭	焚化爐	清除	垃圾	0.641	0.435	0.429	0.404	0.203	0.224	0.201
臭	食物	清除	垃圾	0.635	0.435	0.41	0.404	0.215	0.224	0.175
紙屑	蟑螂	分類	垃圾	0.612	0.395	0.393	0.334	0.243	0.153	0.114
紙屑	食物	分類	垃圾	0.608	0.395	0.41	0.334	0.184	0.153	0.194
紙屑	食物	清除	垃圾	0.606	0.395	0.41	0.404	0.184	0.244	0.175
臭	紙屑	食物	垃圾	0.601	0.435	0.395	0.41	0.239	0.215	0.184
臭	塑膠袋	分類	垃圾	0.596	0.435	0.314	0.334	0.227	0.09	0.17
丟棄	焚化爐	蟑螂	垃圾	0.593	0.343	0.429	0.393	0.247	0.077	0.247
臭	丟棄	焚化爐	垃圾	0.587	0.435	0.343	0.429	0.17	0.203	0.247
臭	丟棄	食物	垃圾	0.577	0.435	0.343	0.41	0.17	0.215	0.225
污染	蒼蠅	分類	垃圾	0.575	0.455	0.338	0.334	0.205	0.194	0.153
臭	塑膠袋	清除	垃圾	0.559	0.435	0.314	0.404	0.227	0.224	0.143
焚化爐	清除	蟑螂	垃圾	0.552	0.429	0.404	0.393	0.201	0.247	0.225
焚化爐	蟑螂	分類	垃圾	0.545	0.429	0.393	0.334	0.247	0.25	0.114
臭	紙屑	清除	垃圾	0.527	0.435	0.395	0.404	0.239	0.224	0.244
骯髒	蟑螂	分類	垃圾	0.522	0.374	0.393	0.334	0.236	0.229	0.114
塑膠袋	蟑螂	分類	垃圾	0.515	0.314	0.393	0.334	0.241	0.17	0.114
塑膠袋	清除	蟑螂	垃圾	0.501	0.314	0.404	0.393	0.143	0.241	0.225
紙屑	清除	蟑螂	垃圾	0.48	0.395	0.404	0.393	0.244	0.243	0.225
骯髒	食物	分類	垃圾	0.45	0.374	0.41	0.334	0.245	0.229	0.194
