				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
西瓜	流汗	季節	夏天	0.604	0.338	0.389	0.474	0.176	0.214	0.207
流汗	季節	冰棒	夏天	0.546	0.389	0.474	0.337	0.207	0.246	0.2
游泳	季節	冰棒	夏天	0.535	0.394	0.474	0.337	0.241	0.229	0.2
冰淇淋	流汗	季節	夏天	0.533	0.346	0.389	0.474	0.224	0.245	0.207
游泳	悶熱	冰棒	夏天	0.509	0.394	0.425	0.337	0.241	0.229	0.176
冰淇淋	蚊子	季節	夏天	0.506	0.346	0.395	0.474	0.228	0.245	0.236
游泳	冰棒	燥熱	夏天	0.504	0.394	0.337	0.328	0.229	0.139	0.187
冰淇淋	流汗	海邊	夏天	0.465	0.346	0.389	0.346	0.224	0.212	0.18
西瓜	游泳池	季節	夏天	0.457	0.338	0.296	0.474	0.205	0.214	0.232
西瓜	悶熱	游泳池	夏天	0.44	0.338	0.425	0.296	0.201	0.205	0.212
游泳	熱	冰棒	夏天	0.427	0.394	0.294	0.337	0.13	0.229	0.239
流汗	冰棒	海邊	夏天	0.427	0.389	0.337	0.346	0.246	0.18	0.219
太陽	冰淇淋	流汗	夏天	0.421	0.301	0.346	0.389	0.173	0.217	0.224
太陽	西瓜	流汗	夏天	0.414	0.301	0.338	0.389	0.221	0.217	0.176
冰淇淋	蚊子	海邊	夏天	0.4	0.346	0.395	0.346	0.228	0.212	0.247
西瓜	海灘	流汗	夏天	0.398	0.338	0.26	0.389	0.248	0.176	0.165
游泳	太陽	冰棒	夏天	0.396	0.394	0.301	0.337	0.202	0.229	0.205
熱	冰淇淋	蚊子	夏天	0.383	0.294	0.346	0.395	0.199	0.225	0.228
冰淇淋	海灘	流汗	夏天	0.376	0.346	0.26	0.389	0.229	0.224	0.165
海灘	流汗	冰棒	夏天	0.376	0.26	0.389	0.337	0.165	0.199	0.246
太陽	流汗	冰棒	夏天	0.358	0.301	0.389	0.337	0.217	0.205	0.246
西瓜	熱	游泳池	夏天	0.341	0.338	0.294	0.296	0.235	0.205	0.147
流汗	泳裝	冰棒	夏天	0.313	0.389	0.268	0.337	0.196	0.246	0.238
太陽	西瓜	游泳池	夏天	0.289	0.301	0.338	0.296	0.221	0.219	0.205
泳裝	冰棒	燥熱	夏天	0.264	0.268	0.337	0.328	0.238	0.244	0.187
