				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
船	高山	蔚藍	大海	0.72	0.383	0.384	0.489	0.189	0.168	0.178
船	無邊	高山	大海	0.707	0.383	0.396	0.384	0.08	0.189	0.187
帆船	無垠	小河	大海	0.695	0.407	0.452	0.423	0.15	0.23	0.206
廣闊	船	高山	大海	0.684	0.308	0.383	0.384	0.015	0.187	0.189
遼闊	帆船	小河	大海	0.65	0.438	0.407	0.423	0.161	0.227	0.23
無邊	帆船	小河	大海	0.649	0.396	0.407	0.423	0.173	0.174	0.23
藍色	船	高山	大海	0.647	0.367	0.383	0.384	0.138	0.16	0.189
船	高山	深遂	大海	0.645	0.383	0.384	0.388	0.189	0.098	0.222
貝殼	深遂	水	大海	0.643	0.4	0.388	0.336	0.198	0.153	0.13
廣闊	帆船	小河	大海	0.638	0.308	0.407	0.423	0.095	0.174	0.23
船	天空	無窮	大海	0.636	0.383	0.454	0.275	0.193	0.1	0.184
海鷗	深遂	水	大海	0.632	0.274	0.388	0.336	0.152	0.083	0.13
寬廣	帆船	小河	大海	0.626	0.321	0.407	0.423	0.084	0.211	0.23
船	寬廣	高山	大海	0.624	0.383	0.321	0.384	0.058	0.189	0.216
海鷗	神秘	小河	大海	0.619	0.274	0.281	0.423	0.037	0.113	0.209
無邊	海鷗	小河	大海	0.616	0.396	0.274	0.423	0.189	0.174	0.113
鯨魚	深遂	水	大海	0.614	0.418	0.388	0.336	0.197	0.2	0.13
藍天	船	無窮	大海	0.609	0.41	0.383	0.275	0.131	0.228	0.1
海鷗	無垠	水	大海	0.607	0.274	0.452	0.336	0.242	0.083	0.129
船	深遂	故鄉	大海	0.606	0.383	0.388	0.307	0.098	0.166	0.208
深遂	海灘	水	大海	0.604	0.388	0.43	0.336	0.231	0.13	0.188
無邊	海鷗	水	大海	0.604	0.396	0.274	0.336	0.189	0.129	0.083
貝殼	高山	深遂	大海	0.602	0.4	0.384	0.388	0.149	0.198	0.222
海鷗	神秘	水	大海	0.602	0.274	0.281	0.336	0.037	0.083	0.169
寬廣	海鷗	水	大海	0.601	0.321	0.274	0.336	0.105	0.141	0.083
無邊	高山	帆船	大海	0.6	0.396	0.384	0.407	0.187	0.173	0.227
深遂	水	漁船	大海	0.598	0.388	0.336	0.344	0.13	0.173	0.167
船	高山	無窮	大海	0.596	0.383	0.384	0.275	0.189	0.1	0.156
魚	高山	深遂	大海	0.594	0.294	0.384	0.388	0.119	0.129	0.222
藍天	船	神秘	大海	0.593	0.41	0.383	0.281	0.131	0.166	0.185
廣闊	高山	帆船	大海	0.589	0.308	0.384	0.407	0.187	0.095	0.227
寬廣	海鷗	小河	大海	0.589	0.321	0.274	0.423	0.105	0.211	0.113
海鷗	無垠	小河	大海	0.587	0.274	0.452	0.423	0.242	0.113	0.206
寬廣	高山	帆船	大海	0.585	0.321	0.384	0.407	0.216	0.084	0.227
高山	深遂	海灘	大海	0.584	0.384	0.388	0.43	0.222	0.164	0.231
船	寬廣	海鷗	大海	0.582	0.383	0.321	0.274	0.058	0.233	0.105
無邊	海鷗	高山	大海	0.579	0.396	0.274	0.384	0.189	0.187	0.098
海鷗	水	遙遠	大海	0.578	0.274	0.336	0.332	0.083	0.219	0.061
深遂	水	故鄉	大海	0.574	0.388	0.336	0.307	0.13	0.208	0.118
船	高山	遙遠	大海	0.574	0.383	0.384	0.332	0.189	0.092	0.244
海鷗	生命	小河	大海	0.573	0.274	0.278	0.423	0.072	0.113	0.217
遼闊	船	生命	大海	0.573	0.438	0.383	0.278	0.107	0.19	0.231
船	神秘	蔚藍	大海	0.572	0.383	0.281	0.489	0.185	0.168	0.228
海鷗	高山	深遂	大海	0.572	0.274	0.384	0.388	0.098	0.152	0.222
鯨魚	高山	深遂	大海	0.571	0.418	0.384	0.388	0.199	0.197	0.222
寬廣	海鷗	帆船	大海	0.571	0.321	0.274	0.407	0.105	0.084	0.242
船	深遂	藍	大海	0.571	0.383	0.388	0.28	0.098	0.204	0.178
藍色	帆船	小河	大海	0.571	0.367	0.407	0.423	0.227	0.169	0.23
船	蔚藍	生命	大海	0.57	0.383	0.489	0.278	0.168	0.231	0.182
高山	深遂	漁船	大海	0.568	0.384	0.388	0.344	0.222	0.152	0.173
水	遙遠	漁船	大海	0.566	0.336	0.332	0.344	0.061	0.167	0.217
廣闊	船	生命	大海	0.563	0.308	0.383	0.278	0.015	0.16	0.231
船	海鷗	深遂	大海	0.561	0.383	0.274	0.388	0.233	0.098	0.152
海鷗	高山	神秘	大海	0.561	0.274	0.384	0.281	0.098	0.037	0.242
廣闊	海鷗	小河	大海	0.561	0.308	0.274	0.423	0.156	0.174	0.113
船	無垠	生命	大海	0.561	0.383	0.452	0.278	0.129	0.231	0.193
廣闊	船	海鷗	大海	0.561	0.308	0.383	0.274	0.015	0.156	0.233
廣闊	海鷗	水	大海	0.561	0.308	0.274	0.336	0.156	0.118	0.083
寬廣	海鷗	高山	大海	0.559	0.321	0.274	0.384	0.105	0.216	0.098
鯨魚	寬廣	水	大海	0.558	0.418	0.321	0.336	0.175	0.2	0.141
