				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
藍	翱翔	地面	天空	0.805	0.334	0.492	0.397	0.165	0.054	0.2
藍色	翱翔	地面	天空	0.72	0.349	0.492	0.397	0.204	0.114	0.2
藍色	翱翔	下雨	天空	0.714	0.349	0.492	0.424	0.204	0.107	0.239
藍	翱翔	下雨	天空	0.714	0.334	0.492	0.424	0.165	0.133	0.239
藍	翱翔	地上	天空	0.696	0.334	0.492	0.344	0.165	0.083	0.226
藍色	下雨	光明	天空	0.687	0.349	0.424	0.333	0.107	0.177	0.134
藍	光明	地面	天空	0.667	0.334	0.333	0.397	0.176	0.054	0.168
藍	美好	地面	天空	0.665	0.334	0.324	0.397	0.146	0.054	0.19
藍	星星	地面	天空	0.654	0.334	0.447	0.397	0.234	0.054	0.237
藍	歌曲	地面	天空	0.652	0.334	0.28	0.397	0.144	0.054	0.161
藍	下雨	光明	天空	0.649	0.334	0.424	0.333	0.133	0.176	0.134
飛機	下雨	光明	天空	0.649	0.281	0.424	0.333	0.215	0.04	0.134
翱翔	下雨	光明	天空	0.648	0.492	0.424	0.333	0.239	0.229	0.134
藍色	下雨	自由	天空	0.642	0.349	0.424	0.291	0.107	0.168	0.147
藍色	翱翔	地上	天空	0.636	0.349	0.492	0.344	0.204	0.119	0.226
藍	自由	地面	天空	0.633	0.334	0.291	0.397	0.137	0.054	0.198
藍	下雨	自由	天空	0.632	0.334	0.424	0.291	0.133	0.137	0.147
翱翔	光明	地面	天空	0.626	0.492	0.333	0.397	0.229	0.2	0.168
翱翔	歌曲	地面	天空	0.622	0.492	0.28	0.397	0.185	0.2	0.161
藍色	光明	地面	天空	0.62	0.349	0.333	0.397	0.177	0.114	0.168
翱翔	下雨	明亮	天空	0.618	0.492	0.424	0.366	0.239	0.199	0.226
雲	星星	寬廣	天空	0.613	0.35	0.447	0.31	0.212	0.182	0.1
藍	翱翔	歌曲	天空	0.612	0.334	0.492	0.28	0.165	0.144	0.185
雲	星星	寬闊	天空	0.611	0.35	0.447	0.304	0.212	0.176	0.103
藍色	美好	地面	天空	0.609	0.349	0.324	0.397	0.157	0.114	0.19
藍	地上	歌曲	天空	0.607	0.334	0.344	0.28	0.083	0.144	0.124
藍色	歌曲	地面	天空	0.603	0.349	0.28	0.397	0.147	0.114	0.161
藍	翱翔	明亮	天空	0.6	0.334	0.492	0.366	0.165	0.229	0.199
飛翔	下雨	明亮	天空	0.598	0.411	0.424	0.366	0.211	0.166	0.226
遼闊	星星	地面	天空	0.596	0.432	0.447	0.397	0.2	0.244	0.237
飛翔	下雨	光明	天空	0.595	0.411	0.424	0.333	0.211	0.229	0.134
藍	翱翔	光明	天空	0.591	0.334	0.492	0.333	0.165	0.176	0.229
