				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
天空	熱力	眼鏡	太陽	0.715	0.408	0.392	0.447	0.169	0.178	0.184
光明	熱	行星	太陽	0.702	0.308	0.386	0.33	0.108	0.099	0.115
熱力	眼鏡	星星	太陽	0.696	0.392	0.447	0.39	0.184	0.127	0.221
熱	天空	眼鏡	太陽	0.688	0.386	0.408	0.447	0.148	0.227	0.178
熱	眼鏡	星星	太陽	0.687	0.386	0.447	0.39	0.227	0.088	0.221
熾熱	白天	眼鏡	太陽	0.687	0.411	0.301	0.447	0.162	0.198	0.112
光明	熱	恆星	太陽	0.685	0.308	0.386	0.467	0.108	0.185	0.183
熱	白天	眼鏡	太陽	0.675	0.386	0.301	0.447	0.121	0.227	0.112
白雲	行星	火熱	太陽	0.672	0.341	0.33	0.27	0.116	0.135	0.017
白天	熱力	眼鏡	太陽	0.669	0.301	0.392	0.447	0.173	0.112	0.184
熱	白天	行星	太陽	0.663	0.386	0.301	0.33	0.121	0.115	0.119
熱	白雲	行星	太陽	0.662	0.386	0.341	0.33	0.164	0.115	0.116
光明	熱力	眼鏡	太陽	0.659	0.308	0.392	0.447	0.14	0.162	0.184
能量	白雲	眼鏡	太陽	0.653	0.27	0.341	0.447	0.065	0.118	0.222
天空	熾熱	眼鏡	太陽	0.653	0.408	0.411	0.447	0.237	0.178	0.198
熾熱	眼鏡	星星	太陽	0.65	0.411	0.447	0.39	0.198	0.179	0.221
光明	炎熱	行星	太陽	0.643	0.308	0.422	0.33	0.169	0.099	0.149
光明	熱	眼鏡	太陽	0.643	0.308	0.386	0.447	0.108	0.162	0.227
白天	行星	火熱	太陽	0.641	0.301	0.33	0.27	0.119	0.123	0.017
天空	火熱	眼鏡	太陽	0.64	0.408	0.27	0.447	0.122	0.178	0.184
熱情	白雲	行星	太陽	0.639	0.329	0.341	0.33	0.121	0.125	0.116
明亮	熱力	眼鏡	太陽	0.636	0.294	0.392	0.447	0.102	0.21	0.184
