				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
平權	朋友	胸部	女性	0.585	0.348	0.365	0.408	0.143	0.155	0.238
母親	平等	胸部	女性	0.583	0.337	0.295	0.408	0.07	0.233	0.153
平權	朋友	子宮	女性	0.555	0.348	0.365	0.355	0.143	0.219	0.151
同胞	平權	胸部	女性	0.515	0.366	0.348	0.408	0.221	0.231	0.155
主義	同胞	胸部	女性	0.496	0.32	0.366	0.408	0.199	0.167	0.231
我	平權	胸部	女性	0.495	0.274	0.348	0.408	0.135	0.245	0.155
主義	朋友	胸部	女性	0.494	0.32	0.365	0.408	0.193	0.167	0.238
母親	平權	胸部	女性	0.487	0.337	0.348	0.408	0.218	0.233	0.155
弱者	異性	裙子	女性	0.471	0.333	0.369	0.345	0.172	0.179	0.225
母親	平等	裙子	女性	0.47	0.337	0.295	0.345	0.07	0.248	0.189
平等	朋友	子宮	女性	0.464	0.295	0.365	0.355	0.226	0.174	0.151
同胞	愛情	胸部	女性	0.457	0.366	0.269	0.408	0.15	0.231	0.205
平等	朋友	胸部	女性	0.451	0.295	0.365	0.408	0.226	0.153	0.238
平權	弱者	胸部	女性	0.449	0.348	0.333	0.408	0.241	0.155	0.244
美麗	平權	朋友	女性	0.44	0.258	0.348	0.365	0.204	0.184	0.143
同胞	平等	胸部	女性	0.436	0.366	0.295	0.408	0.249	0.231	0.153
弱勢	朋友	胸部	女性	0.431	0.263	0.365	0.408	0.196	0.171	0.238
美麗	同胞	平權	女性	0.429	0.258	0.366	0.348	0.118	0.204	0.221
衣服	同胞	平權	女性	0.423	0.307	0.366	0.348	0.212	0.165	0.221
母親	弱者	胸部	女性	0.417	0.337	0.333	0.408	0.184	0.233	0.244
同胞	平權	裙子	女性	0.416	0.366	0.348	0.345	0.221	0.194	0.228
美麗	衣服	同胞	女性	0.416	0.258	0.307	0.366	0.185	0.118	0.212
溫柔	平權	朋友	女性	0.414	0.283	0.348	0.365	0.208	0.231	0.143
衣服	平權	子宮	女性	0.414	0.307	0.348	0.355	0.165	0.212	0.219
衣服	同胞	愛情	女性	0.41	0.307	0.366	0.269	0.212	0.17	0.15
同胞	愛情	裙子	女性	0.409	0.366	0.269	0.345	0.15	0.194	0.227
母親	自尊	胸部	女性	0.406	0.337	0.335	0.408	0.191	0.233	0.25
平等	異性	裙子	女性	0.405	0.295	0.369	0.345	0.189	0.189	0.225
母親	弱者	裙子	女性	0.404	0.337	0.333	0.345	0.184	0.248	0.179
同胞	弱勢	胸部	女性	0.398	0.366	0.263	0.408	0.236	0.231	0.171
溫柔	同胞	平權	女性	0.394	0.283	0.366	0.348	0.174	0.208	0.221
美麗	同胞	平等	女性	0.392	0.258	0.366	0.295	0.118	0.16	0.249
衣服	平等	子宮	女性	0.391	0.307	0.295	0.355	0.18	0.212	0.174
平等	愛情	胸部	女性	0.389	0.295	0.269	0.408	0.225	0.153	0.205
同胞	弱勢	裙子	女性	0.389	0.366	0.263	0.345	0.236	0.194	0.154
同胞	平權	子宮	女性	0.388	0.366	0.348	0.355	0.221	0.241	0.219
平權	弱者	裙子	女性	0.378	0.348	0.333	0.345	0.241	0.228	0.179
主義	衣服	同胞	女性	0.376	0.32	0.307	0.366	0.205	0.199	0.212
平等	我	胸部	女性	0.374	0.295	0.274	0.408	0.204	0.153	0.245
同胞	平等	裙子	女性	0.374	0.366	0.295	0.345	0.249	0.194	0.189
母親	平權	弱者	女性	0.374	0.337	0.348	0.333	0.218	0.184	0.241
平權	弱者	子宮	女性	0.371	0.348	0.333	0.355	0.241	0.219	0.204
主義	我	胸部	女性	0.371	0.32	0.274	0.408	0.219	0.167	0.245
衣服	弱者	異性	女性	0.367	0.307	0.333	0.369	0.229	0.24	0.172
衣服	同胞	子宮	女性	0.363	0.307	0.366	0.355	0.212	0.212	0.241
衣服	平等	異性	女性	0.361	0.307	0.295	0.369	0.18	0.24	0.189
美麗	衣服	平權	女性	0.359	0.258	0.307	0.348	0.185	0.204	0.165
愛情	弱者	胸部	女性	0.356	0.269	0.333	0.408	0.206	0.205	0.244
我	弱勢	胸部	女性	0.354	0.274	0.263	0.408	0.174	0.245	0.171
美麗	我	平權	女性	0.353	0.258	0.274	0.348	0.188	0.204	0.135
衣服	平權	弱者	女性	0.352	0.307	0.348	0.333	0.165	0.229	0.241
美麗	平權	弱者	女性	0.352	0.258	0.348	0.333	0.204	0.142	0.241
同胞	平等	子宮	女性	0.352	0.366	0.295	0.355	0.249	0.241	0.174
平等	我	異性	女性	0.35	0.295	0.274	0.369	0.204	0.189	0.194
衣服	弱者	子宮	女性	0.349	0.307	0.333	0.355	0.229	0.212	0.204
美麗	平等	朋友	女性	0.347	0.258	0.295	0.365	0.16	0.184	0.226
衣服	同胞	弱勢	女性	0.344	0.307	0.366	0.263	0.212	0.143	0.236
美麗	衣服	弱者	女性	0.341	0.258	0.307	0.333	0.185	0.142	0.229
溫柔	衣服	同胞	女性	0.341	0.283	0.307	0.366	0.229	0.174	0.212
弱勢	愛情	胸部	女性	0.34	0.263	0.269	0.408	0.224	0.171	0.205
溫柔	衣服	平權	女性	0.336	0.283	0.307	0.348	0.229	0.208	0.165
母親	平權	裙子	女性	0.336	0.337	0.348	0.345	0.218	0.248	0.228
愛情	弱者	裙子	女性	0.335	0.269	0.333	0.345	0.206	0.227	0.179
美麗	衣服	平等	女性	0.334	0.258	0.307	0.295	0.185	0.16	0.18
我	愛情	胸部	女性	0.33	0.274	0.269	0.408	0.171	0.245	0.205
衣服	同胞	平等	女性	0.327	0.307	0.366	0.295	0.212	0.18	0.249
溫柔	我	平權	女性	0.314	0.283	0.274	0.348	0.247	0.208	0.135
同胞	平等	愛情	女性	0.306	0.366	0.295	0.269	0.249	0.15	0.225
衣服	愛情	弱者	女性	0.304	0.307	0.269	0.333	0.17	0.229	0.206
衣服	弱勢	愛情	女性	0.302	0.307	0.263	0.269	0.143	0.17	0.224
衣服	平等	愛情	女性	0.296	0.307	0.295	0.269	0.18	0.17	0.225
溫柔	同胞	平等	女性	0.296	0.283	0.366	0.295	0.174	0.224	0.249
同胞	弱勢	愛情	女性	0.287	0.366	0.263	0.269	0.236	0.15	0.224
美麗	平等	我	女性	0.274	0.258	0.295	0.274	0.16	0.188	0.204
弱勢	愛情	裙子	女性	0.271	0.263	0.269	0.345	0.224	0.154	0.227
平等	愛情	裙子	女性	0.268	0.295	0.269	0.345	0.225	0.189	0.227
