				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
純潔	出生	玩具	嬰兒	0.702	0.31	0.328	0.392	0.081	0.125	0.123
可愛	奶粉	出生	嬰兒	0.69	0.416	0.489	0.328	0.16	0.143	0.239
純潔	奶粉	出生	嬰兒	0.664	0.31	0.489	0.328	0.143	0.081	0.239
尿布	純潔	出生	嬰兒	0.658	0.453	0.31	0.328	0.159	0.193	0.081
保護	奶粉	天使	嬰兒	0.645	0.264	0.489	0.284	0.08	0.09	0.223
可愛	尿布	出生	嬰兒	0.645	0.416	0.453	0.328	0.216	0.143	0.193
奶嘴	純潔	出生	嬰兒	0.625	0.456	0.31	0.328	0.222	0.166	0.081
尿布	保護	新生	嬰兒	0.62	0.453	0.264	0.373	0.108	0.245	0.119
老人	純潔	哭鬧	嬰兒	0.62	0.328	0.31	0.49	0.121	0.207	0.181
奶嘴	保護	新生	嬰兒	0.607	0.456	0.264	0.373	0.133	0.234	0.119
照顧	玩具	新生	嬰兒	0.6	0.39	0.392	0.373	0.155	0.196	0.203
保護	奶粉	出生	嬰兒	0.595	0.264	0.489	0.328	0.08	0.167	0.239
大人	純潔	出生	嬰兒	0.594	0.322	0.31	0.328	0.157	0.128	0.081
奶嘴	照顧	新生	嬰兒	0.591	0.456	0.39	0.373	0.197	0.234	0.196
可愛	尿布	新生	嬰兒	0.588	0.416	0.453	0.373	0.216	0.194	0.245
純潔	哭鬧	新生	嬰兒	0.587	0.31	0.49	0.373	0.181	0.222	0.183
奶嘴	保護	出生	嬰兒	0.582	0.456	0.264	0.328	0.133	0.166	0.167
尿布	照顧	新生	嬰兒	0.581	0.453	0.39	0.373	0.194	0.245	0.196
照顧	奶粉	天使	嬰兒	0.58	0.39	0.489	0.284	0.19	0.169	0.223
哭鬧	保護	新生	嬰兒	0.58	0.49	0.264	0.373	0.246	0.183	0.119
尿布	保護	出生	嬰兒	0.578	0.453	0.264	0.328	0.108	0.193	0.167
娃娃	哭鬧	新生	嬰兒	0.576	0.361	0.49	0.373	0.228	0.237	0.183
老人	尿布	純潔	嬰兒	0.572	0.328	0.453	0.31	0.239	0.121	0.159
保護	喝奶	新生	嬰兒	0.569	0.264	0.422	0.373	0.146	0.119	0.226
老人	尿布	保護	嬰兒	0.567	0.328	0.453	0.264	0.239	0.132	0.108
哭鬧	保護	牛奶	嬰兒	0.562	0.49	0.264	0.363	0.246	0.222	0.088
老人	純潔	出生	嬰兒	0.559	0.328	0.31	0.328	0.121	0.206	0.081
保護	玩具	新生	嬰兒	0.553	0.264	0.392	0.373	0.154	0.119	0.203
可愛	老人	尿布	嬰兒	0.551	0.416	0.328	0.453	0.191	0.216	0.239
娃娃	照顧	新生	嬰兒	0.55	0.361	0.39	0.373	0.141	0.237	0.196
哭鬧	保護	天使	嬰兒	0.549	0.49	0.264	0.284	0.246	0.154	0.09
娃娃	保護	新生	嬰兒	0.549	0.361	0.264	0.373	0.094	0.237	0.119
娃娃	哭鬧	保護	嬰兒	0.548	0.361	0.49	0.264	0.228	0.094	0.246
