				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
成員	破碎	教育	家庭	0.746	0.379	0.362	0.478	0.097	0.169	0.206
媽媽	破碎	教育	家庭	0.647	0.303	0.362	0.478	0.058	0.233	0.206
成員	破裂	教育	家庭	0.621	0.379	0.269	0.478	0.161	0.169	0.175
媽媽	破裂	教育	家庭	0.62	0.303	0.269	0.478	0.023	0.233	0.175
溫馨	破裂	教育	家庭	0.593	0.308	0.269	0.478	0.079	0.209	0.175
幸福	破裂	學校	家庭	0.587	0.406	0.269	0.4	0.226	0.175	0.087
媽媽	安全	破碎	家庭	0.576	0.303	0.313	0.362	0.123	0.058	0.221
破碎	親人	教育	家庭	0.576	0.362	0.373	0.478	0.207	0.206	0.223
溫馨	破裂	學校	家庭	0.572	0.308	0.269	0.4	0.079	0.239	0.087
親人	破裂	教育	家庭	0.57	0.373	0.269	0.478	0.152	0.223	0.175
溫暖	破碎	教育	家庭	0.561	0.284	0.362	0.478	0.213	0.144	0.206
溫暖	破裂	教育	家庭	0.558	0.284	0.269	0.478	0.154	0.144	0.175
成員	房子	安全	家庭	0.557	0.379	0.373	0.313	0.105	0.183	0.219
成員	安全	破碎	家庭	0.552	0.379	0.313	0.362	0.183	0.097	0.221
溫馨	破碎	學校	家庭	0.546	0.308	0.362	0.4	0.191	0.239	0.093
社會	房子	破裂	家庭	0.546	0.424	0.373	0.269	0.214	0.076	0.229
溫馨	破碎	教育	家庭	0.542	0.308	0.362	0.478	0.191	0.209	0.206
溫馨	成員	教育	家庭	0.541	0.308	0.379	0.478	0.246	0.209	0.169
幸福	成員	破裂	家庭	0.527	0.406	0.379	0.269	0.139	0.226	0.161
成員	房子	破裂	家庭	0.524	0.379	0.373	0.269	0.105	0.161	0.229
溫暖	破碎	學校	家庭	0.524	0.284	0.362	0.4	0.213	0.216	0.093
溫馨	成員	破碎	家庭	0.514	0.308	0.379	0.362	0.246	0.191	0.097
幸福	媽媽	破裂	家庭	0.51	0.406	0.303	0.269	0.22	0.226	0.023
媽媽	安全	破裂	家庭	0.5	0.303	0.313	0.269	0.123	0.023	0.239
溫暖	破裂	學校	家庭	0.495	0.284	0.269	0.4	0.154	0.216	0.087
房子	倫理	破裂	家庭	0.489	0.373	0.366	0.269	0.142	0.229	0.148
溫馨	成員	房子	家庭	0.484	0.308	0.379	0.373	0.246	0.224	0.105
媽媽	房子	破裂	家庭	0.475	0.303	0.373	0.269	0.217	0.023	0.229
溫馨	成員	破裂	家庭	0.469	0.308	0.379	0.269	0.246	0.079	0.161
美滿	房子	安全	家庭	0.463	0.38	0.373	0.313	0.184	0.199	0.219
和諧	媽媽	破碎	家庭	0.431	0.289	0.303	0.362	0.25	0.215	0.058
媽媽	房子	安全	家庭	0.429	0.303	0.373	0.313	0.217	0.123	0.219
溫馨	房子	破裂	家庭	0.417	0.308	0.373	0.269	0.224	0.079	0.229
安全	破碎	親人	家庭	0.396	0.313	0.362	0.373	0.221	0.223	0.207
成員	安全	破裂	家庭	0.377	0.379	0.313	0.269	0.183	0.161	0.239
和諧	媽媽	破裂	家庭	0.366	0.289	0.303	0.269	0.25	0.222	0.023
安全	親人	破裂	家庭	0.339	0.313	0.373	0.269	0.223	0.239	0.152
溫暖	房子	破裂	家庭	0.32	0.284	0.373	0.269	0.222	0.154	0.229
和諧	媽媽	房子	家庭	0.287	0.289	0.303	0.373	0.25	0.21	0.217
和諧	房子	破裂	家庭	0.268	0.289	0.373	0.269	0.21	0.222	0.229
房子	安全	破裂	家庭	0.266	0.373	0.313	0.269	0.219	0.229	0.239
