				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
基礎	孩子	國小	小學	0.774	0.326	0.403	0.49	0.106	0.161	0.179
回憶	教育	國小	小學	0.76	0.362	0.487	0.49	0.12	0.236	0.224
教育	國小	盪鞦韆	小學	0.747	0.487	0.49	0.267	0.224	0.102	0.172
回憶	教育	國中	小學	0.746	0.362	0.487	0.386	0.12	0.204	0.166
教育	國中	盪鞦韆	小學	0.744	0.487	0.386	0.267	0.166	0.102	0.128
基礎	小孩	國小	小學	0.717	0.326	0.308	0.49	0.021	0.161	0.226
基礎	童年	國小	小學	0.708	0.326	0.36	0.49	0.12	0.161	0.188
基礎	國小	打球	小學	0.705	0.326	0.49	0.275	0.161	0.065	0.162
畢業	孩童	盪鞦韆	小學	0.693	0.475	0.284	0.267	0.067	0.124	0.141
快樂	教育	國小	小學	0.687	0.369	0.487	0.49	0.211	0.224	0.224
基礎	孩子	國中	小學	0.678	0.326	0.403	0.386	0.106	0.173	0.159
回憶	孩子	國小	小學	0.67	0.362	0.403	0.49	0.17	0.236	0.179
基礎	童年	國中	小學	0.666	0.326	0.36	0.386	0.12	0.173	0.114
基礎	孩童	國小	小學	0.661	0.326	0.284	0.49	0.035	0.161	0.245
回憶	教育	盪鞦韆	小學	0.652	0.362	0.487	0.267	0.12	0.242	0.102
童年	書包	國中	小學	0.646	0.36	0.462	0.386	0.235	0.114	0.213
畢業	孩子	盪鞦韆	小學	0.645	0.475	0.403	0.267	0.19	0.124	0.187
小朋友	畢業	盪鞦韆	小學	0.642	0.379	0.475	0.267	0.127	0.228	0.124
快樂	教育	國中	小學	0.641	0.369	0.487	0.386	0.211	0.224	0.166
純真	教育	國小	小學	0.635	0.324	0.487	0.49	0.196	0.246	0.224
基礎	小朋友	國中	小學	0.632	0.326	0.379	0.386	0.054	0.173	0.233
孩子	國小	盪鞦韆	小學	0.623	0.403	0.49	0.267	0.179	0.187	0.172
童年	書包	大專	小學	0.622	0.36	0.462	0.375	0.235	0.095	0.245
回憶	孩子	國中	小學	0.619	0.362	0.403	0.386	0.17	0.204	0.159
畢業	兒童	盪鞦韆	小學	0.618	0.475	0.465	0.267	0.24	0.124	0.225
孩子	大專	盪鞦韆	小學	0.615	0.403	0.375	0.267	0.121	0.187	0.123
基礎	小孩	國中	小學	0.613	0.326	0.308	0.386	0.021	0.173	0.214
純真	教育	盪鞦韆	小學	0.598	0.324	0.487	0.267	0.196	0.181	0.102
小朋友	回憶	國中	小學	0.597	0.379	0.362	0.386	0.093	0.233	0.204
基礎	幼稚	國小	小學	0.595	0.326	0.303	0.49	0.145	0.161	0.219
童年	大專	盪鞦韆	小學	0.591	0.36	0.375	0.267	0.095	0.193	0.123
孩子	國中	盪鞦韆	小學	0.584	0.403	0.386	0.267	0.159	0.187	0.128
畢業	幼稚	兒童	小學	0.583	0.475	0.303	0.465	0.209	0.24	0.211
書包	大專	打球	小學	0.583	0.462	0.375	0.275	0.245	0.198	0.088
基礎	國中	打球	小學	0.582	0.326	0.386	0.275	0.173	0.065	0.169
童年	國中	盪鞦韆	小學	0.579	0.36	0.386	0.267	0.114	0.193	0.128
回憶	小孩	國小	小學	0.578	0.362	0.308	0.49	0.12	0.236	0.226
畢業	幼稚	盪鞦韆	小學	0.578	0.475	0.303	0.267	0.209	0.124	0.135
基礎	孩童	國中	小學	0.575	0.326	0.284	0.386	0.035	0.173	0.215
書包	幼稚	國中	小學	0.574	0.462	0.303	0.386	0.189	0.213	0.176
小孩	畢業	盪鞦韆	小學	0.57	0.308	0.475	0.267	0.165	0.191	0.124
基礎	書包	打球	小學	0.57	0.326	0.462	0.275	0.231	0.065	0.198
童年	國小	盪鞦韆	小學	0.565	0.36	0.49	0.267	0.188	0.193	0.172
基礎	童年	書包	小學	0.562	0.326	0.36	0.462	0.12	0.231	0.235
基礎	書包	國中	小學	0.558	0.326	0.462	0.386	0.231	0.173	0.213
基礎	國小	盪鞦韆	小學	0.556	0.326	0.49	0.267	0.161	0.196	0.172
兒童	國中	打球	小學	0.552	0.465	0.386	0.275	0.239	0.167	0.169
書包	國中	打球	小學	0.545	0.462	0.386	0.275	0.213	0.198	0.169
書包	國中	盪鞦韆	小學	0.539	0.462	0.386	0.267	0.213	0.236	0.128
童年	畢業	盪鞦韆	小學	0.537	0.36	0.475	0.267	0.249	0.193	0.124
幼稚	國小	盪鞦韆	小學	0.535	0.303	0.49	0.267	0.219	0.135	0.172
幼稚	兒童	國中	小學	0.53	0.303	0.465	0.386	0.211	0.176	0.239
童年	上課	盪鞦韆	小學	0.528	0.36	0.495	0.267	0.205	0.193	0.197
兒童	國中	盪鞦韆	小學	0.527	0.465	0.386	0.267	0.239	0.225	0.128
基礎	書包	幼稚	小學	0.526	0.326	0.462	0.303	0.231	0.145	0.189
快樂	小孩	國小	小學	0.525	0.369	0.308	0.49	0.192	0.224	0.226
基礎	幼稚	國中	小學	0.523	0.326	0.303	0.386	0.145	0.173	0.176
孩童	上課	盪鞦韆	小學	0.522	0.284	0.495	0.267	0.186	0.141	0.197
幼稚	國中	盪鞦韆	小學	0.519	0.303	0.386	0.267	0.176	0.135	0.128
回憶	小孩	國中	小學	0.518	0.362	0.308	0.386	0.12	0.204	0.214
孩童	大專	盪鞦韆	小學	0.513	0.284	0.375	0.267	0.149	0.141	0.123
回憶	國小	打球	小學	0.513	0.362	0.49	0.275	0.236	0.217	0.162
快樂	國小	打球	小學	0.513	0.369	0.49	0.275	0.224	0.236	0.162
基礎	孩子	盪鞦韆	小學	0.508	0.326	0.403	0.267	0.106	0.196	0.187
小朋友	大專	盪鞦韆	小學	0.507	0.379	0.375	0.267	0.162	0.228	0.123
基礎	孩童	盪鞦韆	小學	0.505	0.326	0.284	0.267	0.035	0.196	0.141
書包	大專	盪鞦韆	小學	0.5	0.462	0.375	0.267	0.245	0.236	0.123
回憶	幼稚	國小	小學	0.498	0.362	0.303	0.49	0.202	0.236	0.219
幼稚	上課	盪鞦韆	小學	0.495	0.303	0.495	0.267	0.239	0.135	0.197
基礎	小朋友	盪鞦韆	小學	0.494	0.326	0.379	0.267	0.054	0.196	0.228
基礎	小孩	盪鞦韆	小學	0.493	0.326	0.308	0.267	0.021	0.196	0.191
純真	國小	打球	小學	0.493	0.324	0.49	0.275	0.246	0.189	0.162
快樂	幼稚	國小	小學	0.492	0.369	0.303	0.49	0.227	0.224	0.219
書包	幼稚	大專	小學	0.49	0.462	0.303	0.375	0.189	0.245	0.217
回憶	孩童	國小	小學	0.487	0.362	0.284	0.49	0.168	0.236	0.245
孩童	國小	盪鞦韆	小學	0.484	0.284	0.49	0.267	0.245	0.141	0.172
基礎	國中	盪鞦韆	小學	0.484	0.326	0.386	0.267	0.173	0.196	0.128
純真	國小	盪鞦韆	小學	0.482	0.324	0.49	0.267	0.246	0.181	0.172
小孩	國小	盪鞦韆	小學	0.477	0.308	0.49	0.267	0.226	0.191	0.172
書包	無知	打球	小學	0.473	0.462	0.307	0.275	0.233	0.198	0.141
書包	幼稚	盪鞦韆	小學	0.472	0.462	0.303	0.267	0.189	0.236	0.135
幼稚	大專	盪鞦韆	小學	0.471	0.303	0.375	0.267	0.217	0.135	0.123
回憶	幼稚	國中	小學	0.47	0.362	0.303	0.386	0.202	0.204	0.176
回憶	國小	盪鞦韆	小學	0.47	0.362	0.49	0.267	0.236	0.242	0.172
小孩	大專	盪鞦韆	小學	0.466	0.308	0.375	0.267	0.17	0.191	0.123
幼稚	兒童	盪鞦韆	小學	0.465	0.303	0.465	0.267	0.211	0.135	0.225
孩童	國中	盪鞦韆	小學	0.453	0.284	0.386	0.267	0.215	0.141	0.128
快樂	小朋友	國中	小學	0.45	0.369	0.379	0.386	0.227	0.224	0.233
快樂	孩童	國小	小學	0.448	0.369	0.284	0.49	0.226	0.224	0.245
回憶	孩童	國中	小學	0.445	0.362	0.284	0.386	0.168	0.204	0.215
基礎	童年	盪鞦韆	小學	0.445	0.326	0.36	0.267	0.12	0.196	0.193
小朋友	回憶	盪鞦韆	小學	0.445	0.379	0.362	0.267	0.093	0.228	0.242
小朋友	國中	盪鞦韆	小學	0.443	0.379	0.386	0.267	0.233	0.228	0.128
回憶	國中	盪鞦韆	小學	0.442	0.362	0.386	0.267	0.204	0.242	0.128
回憶	國中	打球	小學	0.434	0.362	0.386	0.275	0.204	0.217	0.169
快樂	小孩	國中	小學	0.433	0.369	0.308	0.386	0.192	0.224	0.214
回憶	孩子	盪鞦韆	小學	0.433	0.362	0.403	0.267	0.17	0.242	0.187
快樂	幼稚	國中	小學	0.432	0.369	0.303	0.386	0.227	0.224	0.176
小孩	國中	盪鞦韆	小學	0.429	0.308	0.386	0.267	0.214	0.191	0.128
童年	書包	盪鞦韆	小學	0.425	0.36	0.462	0.267	0.235	0.193	0.236
基礎	幼稚	盪鞦韆	小學	0.421	0.326	0.303	0.267	0.145	0.196	0.135
快樂	國中	打球	小學	0.402	0.369	0.386	0.275	0.224	0.236	0.169
基礎	書包	盪鞦韆	小學	0.392	0.326	0.462	0.267	0.231	0.196	0.236
書包	無知	盪鞦韆	小學	0.391	0.462	0.307	0.267	0.233	0.236	0.176
回憶	小孩	盪鞦韆	小學	0.384	0.362	0.308	0.267	0.12	0.242	0.191
快樂	孩童	國中	小學	0.374	0.369	0.284	0.386	0.226	0.224	0.215
回憶	孩童	盪鞦韆	小學	0.361	0.362	0.284	0.267	0.168	0.242	0.141
回憶	幼稚	盪鞦韆	小學	0.354	0.362	0.303	0.267	0.202	0.242	0.135
小朋友	純真	盪鞦韆	小學	0.328	0.379	0.324	0.267	0.232	0.228	0.181
小朋友	無知	盪鞦韆	小學	0.316	0.379	0.307	0.267	0.232	0.228	0.176
