				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
懷春	老人	辣妹	少女	0.684	0.495	0.367	0.435	0.184	0.223	0.205
青春	小孩	雛妓	少女	0.638	0.473	0.381	0.309	0.246	0.108	0.172
純真	老人	辣妹	少女	0.598	0.373	0.367	0.435	0.203	0.169	0.205
美好	老人	雛妓	少女	0.596	0.294	0.367	0.309	0.208	0.048	0.118
美好	小孩	雛妓	少女	0.574	0.294	0.381	0.309	0.191	0.048	0.172
純潔	老人	辣妹	少女	0.555	0.322	0.367	0.435	0.121	0.243	0.205
天真	母親	辣妹	少女	0.554	0.392	0.281	0.435	0.155	0.246	0.154
情懷	老人	辣妹	少女	0.544	0.258	0.367	0.435	0.193	0.117	0.205
矜持	母親	辣妹	少女	0.54	0.32	0.281	0.435	0.12	0.223	0.154
老人	矜持	辣妹	少女	0.531	0.367	0.32	0.435	0.163	0.205	0.223
老人	矜持	雛妓	少女	0.529	0.367	0.32	0.309	0.163	0.118	0.186
天真	美女	母親	少女	0.521	0.392	0.433	0.281	0.245	0.155	0.186
美麗	老人	辣妹	少女	0.517	0.26	0.367	0.435	0.132	0.208	0.205
美好	學生	雛妓	少女	0.504	0.294	0.28	0.309	0.081	0.048	0.249
美好	學生	女人	少女	0.502	0.294	0.28	0.427	0.081	0.233	0.184
美好	母親	辣妹	少女	0.502	0.294	0.281	0.435	0.144	0.211	0.154
可愛	老人	辣妹	少女	0.492	0.32	0.367	0.435	0.191	0.234	0.205
青春	學生	雛妓	少女	0.488	0.473	0.28	0.309	0.217	0.108	0.249
情懷	小孩	雛妓	少女	0.484	0.258	0.381	0.309	0.125	0.167	0.172
矜持	小孩	雛妓	少女	0.481	0.32	0.381	0.309	0.173	0.186	0.172
天真	學生	雛妓	少女	0.478	0.392	0.28	0.309	0.146	0.108	0.249
美好	老人	辣妹	少女	0.472	0.294	0.367	0.435	0.208	0.211	0.205
青春	小孩	帥哥	少女	0.47	0.473	0.381	0.328	0.246	0.244	0.224
可愛	老人	雛妓	少女	0.455	0.32	0.367	0.309	0.191	0.231	0.118
情懷	老人	雛妓	少女	0.455	0.258	0.367	0.309	0.193	0.167	0.118
美好	美女	母親	少女	0.454	0.294	0.433	0.281	0.223	0.144	0.186
美好	小孩	帥哥	少女	0.447	0.294	0.381	0.328	0.191	0.142	0.224
老人	矜持	電影	少女	0.438	0.367	0.32	0.265	0.163	0.219	0.132
美好	老人	帥哥	少女	0.437	0.294	0.367	0.328	0.208	0.142	0.202
美好	老人	電影	少女	0.377	0.294	0.367	0.265	0.208	0.121	0.219
矜持	學生	雛妓	少女	0.323	0.32	0.28	0.309	0.152	0.186	0.249
年輕	矜持	雛妓	少女	0.285	0.28	0.32	0.309	0.204	0.235	0.186
