				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
原住民	郊外	彎路	山區	0.547	0.27	0.322	0.293	0.182	0.079	0.077
原住民	樹林	落石	山區	0.489	0.27	0.452	0.283	0.177	0.185	0.154
偏僻	樹木	登山	山區	0.482	0.42	0.366	0.295	0.177	0.208	0.214
荒涼	彎路	高山	山區	0.48	0.371	0.293	0.381	0.235	0.246	0.083
原住民	郊外	崎嶇	山區	0.48	0.27	0.322	0.491	0.182	0.198	0.224
交通	彎路	高山	山區	0.478	0.279	0.293	0.381	0.161	0.231	0.083
樹林	交通	山難	山區	0.469	0.452	0.279	0.358	0.142	0.234	0.244
郊外	崎嶇	落石	山區	0.468	0.322	0.491	0.283	0.224	0.162	0.243
原住民	樹林	交通	山區	0.462	0.27	0.452	0.279	0.177	0.222	0.142
樹林	寒冷	落石	山區	0.46	0.452	0.276	0.283	0.204	0.154	0.193
樹林	交通	寒冷	山區	0.458	0.452	0.279	0.276	0.142	0.204	0.204
原住民	彎路	寒冷	山區	0.456	0.27	0.293	0.276	0.079	0.195	0.109
荒涼	彎路	登山	山區	0.452	0.371	0.293	0.295	0.235	0.115	0.156
郊外	彎路	落石	山區	0.446	0.322	0.293	0.283	0.077	0.162	0.213
彎路	災難	高山	山區	0.435	0.293	0.273	0.381	0.246	0.083	0.183
原住民	樹林	山難	山區	0.433	0.27	0.452	0.358	0.177	0.236	0.234
偏僻	原住民	彎路	山區	0.432	0.42	0.27	0.293	0.248	0.224	0.079
森林	崎嶇	落石	山區	0.43	0.311	0.491	0.283	0.184	0.227	0.243
郊外	彎路	災難	山區	0.425	0.322	0.293	0.273	0.077	0.14	0.246
原住民	樹林	寒冷	山區	0.423	0.27	0.452	0.276	0.177	0.195	0.204
偏僻	樹木	爬山	山區	0.422	0.42	0.366	0.296	0.177	0.234	0.249
偏僻	彎路	登山	山區	0.42	0.42	0.293	0.295	0.224	0.208	0.156
原住民	崎嶇	落石	山區	0.419	0.27	0.491	0.283	0.198	0.185	0.243
郊外	彎路	山難	山區	0.418	0.322	0.293	0.358	0.077	0.229	0.248
原住民	郊外	危險	山區	0.405	0.27	0.322	0.341	0.182	0.123	0.222
偏僻	原住民	樹木	山區	0.404	0.42	0.27	0.366	0.248	0.177	0.227
彎路	平地	寒冷	山區	0.404	0.293	0.35	0.276	0.156	0.109	0.248
荒涼	交通	爬山	山區	0.399	0.371	0.279	0.296	0.188	0.157	0.202
交通	海邊	高山	山區	0.399	0.279	0.396	0.381	0.18	0.231	0.247
偏僻	爬山	災難	山區	0.394	0.42	0.296	0.273	0.234	0.203	0.158
交通	彎路	平地	山區	0.391	0.279	0.293	0.35	0.161	0.214	0.156
原住民	荒涼	彎路	山區	0.39	0.27	0.371	0.293	0.229	0.079	0.235
偏僻	登山	災難	山區	0.386	0.42	0.295	0.273	0.208	0.203	0.192
原住民	交通	彎路	山區	0.38	0.27	0.279	0.293	0.222	0.079	0.161
偏僻	彎路	山難	山區	0.377	0.42	0.293	0.358	0.224	0.221	0.248
原住民	落石	海邊	山區	0.374	0.27	0.283	0.396	0.185	0.229	0.161
彎路	寒冷	露營	山區	0.374	0.293	0.276	0.343	0.109	0.193	0.235
交通	彎路	寒冷	山區	0.373	0.279	0.293	0.276	0.161	0.204	0.109
原住民	荒涼	落石	山區	0.372	0.27	0.371	0.283	0.229	0.185	0.137
原住民	彎路	落石	山區	0.369	0.27	0.293	0.283	0.079	0.185	0.213
荒涼	交通	高山	山區	0.366	0.371	0.279	0.381	0.188	0.246	0.231
交通	危險	平地	山區	0.365	0.279	0.341	0.35	0.24	0.214	0.15
森林	彎路	山難	山區	0.363	0.311	0.293	0.358	0.113	0.237	0.248
荒涼	彎路	落石	山區	0.361	0.371	0.293	0.283	0.235	0.137	0.213
荒涼	交通	彎路	山區	0.359	0.371	0.279	0.293	0.188	0.235	0.161
寒冷	落石	海邊	山區	0.357	0.276	0.283	0.396	0.193	0.243	0.161
原住民	彎路	山難	山區	0.357	0.27	0.293	0.358	0.079	0.236	0.248
森林	落石	海邊	山區	0.354	0.311	0.283	0.396	0.227	0.247	0.161
交通	危險	高山	山區	0.353	0.279	0.341	0.381	0.24	0.231	0.176
荒涼	彎路	爬山	山區	0.353	0.371	0.293	0.296	0.235	0.157	0.214
原住民	郊外	落石	山區	0.346	0.27	0.322	0.283	0.182	0.185	0.162
偏僻	原住民	山難	山區	0.342	0.42	0.27	0.358	0.248	0.221	0.236
郊外	樹木	落石	山區	0.341	0.322	0.366	0.283	0.248	0.162	0.22
彎路	寒冷	落石	山區	0.336	0.293	0.276	0.283	0.109	0.213	0.193
偏僻	彎路	爬山	山區	0.336	0.42	0.293	0.296	0.224	0.234	0.214
森林	彎路	落石	山區	0.334	0.311	0.293	0.283	0.113	0.227	0.213
郊外	落石	災難	山區	0.332	0.322	0.283	0.273	0.162	0.14	0.244
彎路	平地	災難	山區	0.326	0.293	0.35	0.273	0.156	0.246	0.187
交通	寒冷	海邊	山區	0.324	0.279	0.276	0.396	0.204	0.18	0.243
樹木	寒冷	落石	山區	0.32	0.366	0.276	0.283	0.191	0.22	0.193
原住民	交通	海邊	山區	0.315	0.27	0.279	0.396	0.222	0.229	0.18
偏僻	彎路	災難	山區	0.313	0.42	0.293	0.273	0.224	0.203	0.246
原住民	郊外	災難	山區	0.306	0.27	0.322	0.273	0.182	0.237	0.14
原住民	交通	危險	山區	0.304	0.27	0.279	0.341	0.222	0.123	0.24
原住民	郊外	山難	山區	0.303	0.27	0.322	0.358	0.182	0.236	0.229
原住民	郊外	樹木	山區	0.301	0.27	0.322	0.366	0.182	0.227	0.248
原住民	樹木	寒冷	山區	0.299	0.27	0.366	0.276	0.227	0.195	0.191
森林	彎路	災難	山區	0.293	0.311	0.293	0.273	0.113	0.225	0.246
交通	彎路	爬山	山區	0.29	0.279	0.293	0.296	0.161	0.202	0.214
原住民	樹木	落石	山區	0.287	0.27	0.366	0.283	0.227	0.185	0.22
交通	災難	高山	山區	0.282	0.279	0.273	0.381	0.237	0.231	0.183
原住民	荒涼	交通	山區	0.281	0.27	0.371	0.279	0.229	0.222	0.188
交通	彎路	山難	山區	0.276	0.279	0.293	0.358	0.161	0.244	0.248
原住民	寒冷	海邊	山區	0.276	0.27	0.276	0.396	0.195	0.229	0.243
偏僻	原住民	災難	山區	0.275	0.42	0.27	0.273	0.248	0.203	0.237
原住民	彎路	災難	山區	0.274	0.27	0.293	0.273	0.079	0.237	0.246
彎路	登山	災難	山區	0.267	0.293	0.295	0.273	0.156	0.246	0.192
彎路	落石	露營	山區	0.266	0.293	0.283	0.343	0.213	0.193	0.247
交通	平地	災難	山區	0.264	0.279	0.35	0.273	0.214	0.237	0.187
原住民	寒冷	落石	山區	0.256	0.27	0.276	0.283	0.195	0.185	0.193
交通	爬山	災難	山區	0.251	0.279	0.296	0.273	0.202	0.237	0.158
交通	危險	爬山	山區	0.245	0.279	0.341	0.296	0.24	0.202	0.228
彎路	爬山	災難	山區	0.243	0.293	0.296	0.273	0.214	0.246	0.158
交通	平地	寒冷	山區	0.239	0.279	0.35	0.276	0.214	0.204	0.248
寒冷	落石	露營	山區	0.227	0.276	0.283	0.343	0.193	0.235	0.247
原住民	交通	山難	山區	0.205	0.27	0.279	0.358	0.222	0.236	0.244
原住民	交通	寒冷	山區	0.204	0.27	0.279	0.276	0.222	0.195	0.204
