				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
陡峻	小草	別墅	山坡	0.728	0.47	0.329	0.355	0.141	0.15	0.136
爬山	草皮	傾斜	山坡	0.7	0.443	0.459	0.26	0.247	0.102	0.113
爬山	小草	傾斜	山坡	0.685	0.443	0.329	0.26	0.205	0.102	0.04
草皮	陡峻	別墅	山坡	0.684	0.459	0.47	0.355	0.205	0.246	0.15
爬山	綠草	傾斜	山坡	0.648	0.443	0.358	0.26	0.169	0.102	0.142
綠草	水果	陡峻	山坡	0.633	0.358	0.29	0.47	0.177	0.146	0.162
小河	陡峻	別墅	山坡	0.614	0.429	0.47	0.355	0.241	0.249	0.15
爬山	平原	傾斜	山坡	0.611	0.443	0.411	0.26	0.219	0.102	0.182
小河	傾斜	坍方	山坡	0.604	0.429	0.26	0.326	0.079	0.154	0.179
野花	陡峻	別墅	山坡	0.604	0.413	0.47	0.355	0.239	0.245	0.15
水果	陡峻	小草	山坡	0.595	0.29	0.47	0.329	0.162	0.192	0.141
小草	傾斜	別墅	山坡	0.589	0.329	0.26	0.355	0.04	0.136	0.18
土石流	小河	傾斜	山坡	0.588	0.322	0.429	0.26	0.221	0.123	0.079
爬山	河流	傾斜	山坡	0.574	0.443	0.397	0.26	0.248	0.102	0.176
平原	小草	傾斜	山坡	0.574	0.411	0.329	0.26	0.204	0.182	0.04
綠地	水果	陡峻	山坡	0.574	0.31	0.29	0.47	0.196	0.139	0.162
爬山	樹木	平原	山坡	0.57	0.443	0.383	0.411	0.249	0.219	0.199
爬山	開墾	小草	山坡	0.568	0.443	0.353	0.329	0.172	0.205	0.179
滑草	小草	傾斜	山坡	0.563	0.392	0.329	0.26	0.229	0.149	0.04
梯田	小草	傾斜	山坡	0.562	0.469	0.329	0.26	0.232	0.224	0.04
爬山	小草	別墅	山坡	0.557	0.443	0.329	0.355	0.205	0.23	0.136
土石流	滑草	別墅	山坡	0.554	0.322	0.392	0.355	0.172	0.16	0.183
爬山	平原	小草	山坡	0.554	0.443	0.411	0.329	0.219	0.205	0.204
爬山	傾斜	別墅	山坡	0.547	0.443	0.26	0.355	0.102	0.23	0.18
土石流	綠草	傾斜	山坡	0.539	0.322	0.358	0.26	0.135	0.123	0.142
小草	別墅	坍方	山坡	0.539	0.329	0.355	0.326	0.136	0.159	0.177
小草	傾斜	坍方	山坡	0.538	0.329	0.26	0.326	0.04	0.159	0.179
小河	傾斜	別墅	山坡	0.536	0.429	0.26	0.355	0.079	0.249	0.18
滑草	別墅	坍方	山坡	0.536	0.392	0.355	0.326	0.183	0.177	0.177
草皮	傾斜	別墅	山坡	0.535	0.459	0.26	0.355	0.113	0.246	0.18
爬山	草皮	別墅	山坡	0.534	0.443	0.459	0.355	0.247	0.23	0.246
爬山	平原	別墅	山坡	0.532	0.443	0.411	0.355	0.219	0.23	0.228
小河	別墅	坍方	山坡	0.53	0.429	0.355	0.326	0.249	0.154	0.177
土石流	滑草	傾斜	山坡	0.529	0.322	0.392	0.26	0.172	0.123	0.149
滑草	小草	別墅	山坡	0.529	0.392	0.329	0.355	0.229	0.183	0.136
土石流	小草	傾斜	山坡	0.528	0.322	0.329	0.26	0.22	0.123	0.04
平原	小草	別墅	山坡	0.527	0.411	0.329	0.355	0.204	0.228	0.136
野花	傾斜	別墅	山坡	0.513	0.413	0.26	0.355	0.089	0.245	0.18
爬山	綠地	傾斜	山坡	0.513	0.443	0.31	0.26	0.195	0.102	0.203
