				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
汽車	位子	柔軟	座椅	0.641	0.399	0.418	0.274	0.137	0.22	0.093
舒服	汽車	老人	座椅	0.64	0.335	0.399	0.342	0.047	0.161	0.229
位子	柔軟	老人	座椅	0.624	0.418	0.274	0.342	0.093	0.196	0.121
舒服	教室	汽車	座椅	0.616	0.335	0.335	0.399	0.189	0.047	0.218
桌子	電影院	乘坐	座椅	0.609	0.395	0.291	0.375	0.137	0.14	0.175
汽車	位子	老人	座椅	0.597	0.399	0.418	0.342	0.137	0.229	0.196
舒適	位子	老人	座椅	0.589	0.387	0.418	0.342	0.175	0.188	0.196
舒適	桌子	遊覽車	座椅	0.589	0.387	0.395	0.356	0.189	0.235	0.126
按摩	乘坐	書桌	座椅	0.581	0.359	0.375	0.393	0.203	0.198	0.144
教室	柔軟	乘坐	座椅	0.574	0.335	0.274	0.375	0.094	0.145	0.172
桌子	按摩	乘坐	座椅	0.563	0.395	0.359	0.375	0.222	0.14	0.203
桌子	按摩	遊覽車	座椅	0.555	0.395	0.359	0.356	0.222	0.126	0.208
舒服	飛機	老人	座椅	0.553	0.335	0.324	0.342	0.136	0.161	0.153
桌子	柔軟	遊覽車	座椅	0.543	0.395	0.274	0.356	0.195	0.126	0.161
舒服	遊覽車	書桌	座椅	0.539	0.335	0.356	0.393	0.174	0.192	0.18
桌子	柔軟	乘坐	座椅	0.537	0.395	0.274	0.375	0.195	0.14	0.172
按摩	遊覽車	書桌	座椅	0.522	0.359	0.356	0.393	0.208	0.198	0.18
飛機	位子	老人	座椅	0.52	0.324	0.418	0.342	0.216	0.153	0.196
舒服	教室	火車	座椅	0.516	0.335	0.335	0.304	0.189	0.127	0.141
飛機	按摩	位子	座椅	0.516	0.324	0.359	0.418	0.152	0.216	0.218
教室	柔軟	遊覽車	座椅	0.51	0.335	0.274	0.356	0.094	0.2	0.161
按摩	位子	書桌	座椅	0.51	0.359	0.418	0.393	0.218	0.198	0.244
舒服	火車	老人	座椅	0.509	0.335	0.304	0.342	0.127	0.161	0.184
教室	柔軟	老人	座椅	0.508	0.335	0.274	0.342	0.094	0.228	0.121
舒適	教室	老人	座椅	0.508	0.387	0.335	0.342	0.14	0.188	0.228
位子	電影院	老人	座椅	0.506	0.418	0.291	0.342	0.172	0.196	0.178
舒適	教室	坐	座椅	0.504	0.387	0.335	0.402	0.14	0.243	0.237
舒適	教室	遊覽車	座椅	0.503	0.387	0.335	0.356	0.14	0.235	0.2
舒服	老人	書桌	座椅	0.5	0.335	0.342	0.393	0.161	0.192	0.218
教室	柔軟	坐	座椅	0.499	0.335	0.274	0.402	0.094	0.237	0.181
教室	按摩	乘坐	座椅	0.498	0.335	0.359	0.375	0.223	0.145	0.203
教室	汽車	坐	座椅	0.496	0.335	0.399	0.402	0.218	0.237	0.184
位子	老人	書桌	座椅	0.495	0.418	0.342	0.393	0.196	0.244	0.218
按摩	位子	柔軟	座椅	0.493	0.359	0.418	0.274	0.218	0.247	0.093
桌子	汽車	柔軟	座椅	0.491	0.395	0.399	0.274	0.162	0.195	0.22
汽車	柔軟	坐	座椅	0.49	0.399	0.274	0.402	0.22	0.184	0.181
舒服	電影院	老人	座椅	0.487	0.335	0.291	0.342	0.143	0.161	0.178
沙發	遊覽車	老人	座椅	0.482	0.465	0.356	0.342	0.24	0.221	0.22
舒服	遊覽車	老人	座椅	0.478	0.335	0.356	0.342	0.174	0.161	0.22
教室	汽車	柔軟	座椅	0.477	0.335	0.399	0.274	0.218	0.094	0.22
位子	火車	老人	座椅	0.475	0.418	0.304	0.342	0.21	0.196	0.184
遊覽車	老人	書桌	座椅	0.473	0.356	0.342	0.393	0.22	0.18	0.218
柔軟	遊覽車	老人	座椅	0.469	0.274	0.356	0.342	0.161	0.121	0.22
舒服	教室	遊覽車	座椅	0.463	0.335	0.335	0.356	0.189	0.174	0.2
舒服	飛機	教室	座椅	0.46	0.335	0.324	0.335	0.136	0.189	0.21
按摩	位子	火車	座椅	0.456	0.359	0.418	0.304	0.218	0.197	0.21
桌子	按摩	電影院	座椅	0.455	0.395	0.359	0.291	0.222	0.137	0.231
位子	柔軟	火車	座椅	0.451	0.418	0.274	0.304	0.093	0.21	0.242
休息	飛機	老人	座椅	0.45	0.265	0.324	0.342	0.122	0.207	0.153
按摩	位子	電影院	座椅	0.447	0.359	0.418	0.291	0.218	0.231	0.172
車子	教室	按摩	座椅	0.446	0.342	0.335	0.359	0.178	0.188	0.223
休息	汽車	老人	座椅	0.445	0.265	0.399	0.342	0.125	0.207	0.229
汽車	柔軟	老人	座椅	0.445	0.399	0.274	0.342	0.22	0.229	0.121
舒適	遊覽車	老人	座椅	0.442	0.387	0.356	0.342	0.235	0.188	0.22
教室	按摩	火車	座椅	0.436	0.335	0.359	0.304	0.223	0.141	0.197
教室	柔軟	火車	座椅	0.436	0.335	0.274	0.304	0.094	0.141	0.242
舒服	教室	老人	座椅	0.434	0.335	0.335	0.342	0.189	0.161	0.228
飛機	教室	按摩	座椅	0.433	0.324	0.335	0.359	0.21	0.152	0.223
教室	火車	老人	座椅	0.428	0.335	0.304	0.342	0.141	0.228	0.184
休息	汽車	柔軟	座椅	0.42	0.265	0.399	0.274	0.125	0.173	0.22
