				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
髒	小便	化妝室	廁所	0.755	0.455	0.461	0.496	0.215	0.231	0.211
臭	紓解	化妝室	廁所	0.686	0.28	0.299	0.496	0.092	0.118	0.179
臭味	紓解	化妝室	廁所	0.674	0.371	0.299	0.496	0.165	0.148	0.179
大便	髒	化妝室	廁所	0.672	0.446	0.455	0.496	0.25	0.243	0.231
小便	紓解	化妝室	廁所	0.653	0.461	0.299	0.496	0.213	0.211	0.179
大便	紓解	化妝室	廁所	0.652	0.446	0.299	0.496	0.166	0.243	0.179
乾淨	小便	紓解	廁所	0.646	0.437	0.461	0.299	0.165	0.173	0.213
大便	乾淨	紓解	廁所	0.642	0.446	0.437	0.299	0.2	0.166	0.173
生理	臭氣	化妝室	廁所	0.639	0.275	0.421	0.496	0.183	0.159	0.211
髒	紓解	化妝室	廁所	0.634	0.455	0.299	0.496	0.205	0.231	0.179
生理	髒	化妝室	廁所	0.633	0.275	0.455	0.496	0.203	0.159	0.231
臭氣	紓解	化妝室	廁所	0.612	0.421	0.299	0.496	0.214	0.211	0.179
洗手	臭氣	紓解	廁所	0.602	0.491	0.421	0.299	0.21	0.186	0.214
臭味	生理	化妝室	廁所	0.598	0.371	0.275	0.496	0.236	0.148	0.159
髒	小便	紓解	廁所	0.581	0.455	0.461	0.299	0.215	0.205	0.213
骯髒	洗手	紓解	廁所	0.578	0.41	0.491	0.299	0.244	0.191	0.186
大便	髒	紓解	廁所	0.578	0.446	0.455	0.299	0.25	0.166	0.205
臭	洗手	紓解	廁所	0.577	0.28	0.491	0.299	0.214	0.092	0.186
大便	髒亂	紓解	廁所	0.567	0.446	0.478	0.299	0.249	0.166	0.241
髒亂	小便	紓解	廁所	0.561	0.478	0.461	0.299	0.224	0.241	0.213
臭	生理	化妝室	廁所	0.552	0.28	0.275	0.496	0.221	0.118	0.159
骯髒	小便	紓解	廁所	0.55	0.41	0.461	0.299	0.216	0.191	0.213
洗澡	臭氣	紓解	廁所	0.511	0.495	0.421	0.299	0.245	0.246	0.214
臭味	清潔	生理	廁所	0.461	0.371	0.479	0.275	0.246	0.236	0.182
臭味	生理	抽煙	廁所	0.436	0.371	0.275	0.467	0.236	0.229	0.212
臭	清潔	生理	廁所	0.396	0.28	0.479	0.275	0.235	0.221	0.182
臭	生理	抽煙	廁所	0.383	0.28	0.275	0.467	0.221	0.205	0.212
