				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
行銷	錢	效果	廣告	0.609	0.457	0.358	0.348	0.237	0.212	0.104
行銷	效果	金錢	廣告	0.601	0.457	0.348	0.367	0.212	0.239	0.119
行銷	錢	色彩	廣告	0.588	0.457	0.358	0.259	0.237	0.155	0.093
設計	誇大	美女	廣告	0.583	0.475	0.29	0.254	0.225	0.126	0.086
明星	錢	效果	廣告	0.581	0.317	0.358	0.348	0.163	0.174	0.104
行銷	錢	美女	廣告	0.566	0.457	0.358	0.254	0.237	0.117	0.149
行銷	美女	效果	廣告	0.564	0.457	0.254	0.348	0.117	0.212	0.165
行銷	誇大	美女	廣告	0.558	0.457	0.29	0.254	0.24	0.117	0.086
行銷	色彩	美女	廣告	0.549	0.457	0.259	0.254	0.155	0.117	0.149
商品	錢	效果	廣告	0.546	0.298	0.358	0.348	0.119	0.235	0.104
錢	美女	效果	廣告	0.542	0.358	0.254	0.348	0.149	0.104	0.165
公司	錢	色彩	廣告	0.542	0.4	0.358	0.259	0.183	0.2	0.093
明星	設計	誇大	廣告	0.537	0.317	0.475	0.29	0.149	0.172	0.225
公司	色彩	花錢	廣告	0.535	0.4	0.259	0.425	0.2	0.216	0.134
行銷	明星	效果	廣告	0.535	0.457	0.317	0.348	0.2	0.212	0.174
明星	效果	金錢	廣告	0.532	0.317	0.348	0.367	0.174	0.206	0.119
行銷	明星	錢	廣告	0.531	0.457	0.317	0.358	0.2	0.237	0.163
行銷	色彩	金錢	廣告	0.497	0.457	0.259	0.367	0.155	0.239	0.192
行銷	明星	金錢	廣告	0.495	0.457	0.317	0.367	0.2	0.239	0.206
錢	誇大	美女	廣告	0.484	0.358	0.29	0.254	0.184	0.149	0.086
明星	消費	效果	廣告	0.481	0.317	0.408	0.348	0.236	0.174	0.181
錢	色彩	美女	廣告	0.481	0.358	0.259	0.254	0.093	0.149	0.149
賺錢	色彩	美女	廣告	0.48	0.49	0.259	0.254	0.125	0.249	0.149
消費	美女	效果	廣告	0.478	0.408	0.254	0.348	0.187	0.181	0.165
公司	色彩	金錢	廣告	0.46	0.4	0.259	0.367	0.2	0.175	0.192
公司	誇大	金錢	廣告	0.457	0.4	0.29	0.367	0.243	0.175	0.182
行銷	誇大	金錢	廣告	0.452	0.457	0.29	0.367	0.24	0.239	0.182
行銷	明星	誇大	廣告	0.451	0.457	0.317	0.29	0.2	0.24	0.172
明星	創新	效果	廣告	0.447	0.317	0.34	0.348	0.185	0.174	0.198
明星	錢	誇大	廣告	0.446	0.317	0.358	0.29	0.163	0.172	0.184
創新	誇大	美女	廣告	0.445	0.34	0.29	0.254	0.212	0.142	0.086
行銷	錢	誇大	廣告	0.443	0.457	0.358	0.29	0.237	0.24	0.184
明星	錢	色彩	廣告	0.443	0.317	0.358	0.259	0.163	0.235	0.093
行銷	明星	色彩	廣告	0.442	0.457	0.317	0.259	0.2	0.155	0.235
色彩	花錢	美女	廣告	0.442	0.259	0.425	0.254	0.134	0.149	0.213
公司	錢	誇大	廣告	0.438	0.4	0.358	0.29	0.183	0.243	0.184
創新	美女	效果	廣告	0.438	0.34	0.254	0.348	0.142	0.198	0.165
明星	花錢	效果	廣告	0.435	0.317	0.425	0.348	0.232	0.174	0.249
公司	錢	美女	廣告	0.434	0.4	0.358	0.254	0.183	0.247	0.149
商品	效果	金錢	廣告	0.417	0.298	0.348	0.367	0.235	0.242	0.119
商品	錢	誇大	廣告	0.416	0.298	0.358	0.29	0.119	0.227	0.184
公司	消費	色彩	廣告	0.415	0.4	0.408	0.259	0.231	0.2	0.222
明星	誇大	金錢	廣告	0.414	0.317	0.29	0.367	0.172	0.206	0.182
商品	設計	美女	廣告	0.413	0.298	0.475	0.254	0.245	0.244	0.126
商品	花錢	效果	廣告	0.409	0.298	0.425	0.348	0.177	0.235	0.249
公司	花錢	美女	廣告	0.403	0.4	0.425	0.254	0.216	0.247	0.213
明星	色彩	花錢	廣告	0.401	0.317	0.259	0.425	0.235	0.232	0.134
花錢	美女	效果	廣告	0.4	0.425	0.254	0.348	0.213	0.249	0.165
商品	錢	美女	廣告	0.399	0.298	0.358	0.254	0.119	0.244	0.149
公司	消費	美女	廣告	0.398	0.4	0.408	0.254	0.231	0.247	0.187
明星	創新	誇大	廣告	0.378	0.317	0.34	0.29	0.185	0.172	0.212
公司	誇大	美女	廣告	0.369	0.4	0.29	0.254	0.243	0.247	0.086
商品	設計	誇大	廣告	0.367	0.298	0.475	0.29	0.245	0.227	0.225
消費	色彩	美女	廣告	0.364	0.408	0.259	0.254	0.222	0.187	0.149
商品	花錢	美女	廣告	0.343	0.298	0.425	0.254	0.177	0.244	0.213
商品	創新	效果	廣告	0.33	0.298	0.34	0.348	0.223	0.235	0.198
創新	色彩	美女	廣告	0.326	0.34	0.259	0.254	0.237	0.142	0.149
公司	色彩	美女	廣告	0.318	0.4	0.259	0.254	0.2	0.247	0.149
明星	色彩	金錢	廣告	0.31	0.317	0.259	0.367	0.235	0.206	0.192
商品	誇大	金錢	廣告	0.304	0.298	0.29	0.367	0.227	0.242	0.182
明星	消費	色彩	廣告	0.291	0.317	0.408	0.259	0.236	0.235	0.222
商品	誇大	美女	廣告	0.286	0.298	0.29	0.254	0.227	0.244	0.086
商品	創新	美女	廣告	0.285	0.298	0.34	0.254	0.223	0.244	0.142
