				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
七色	雨	美好	彩虹	0.58	0.494	0.396	0.289	0.237	0.213	0.15
美麗	七色	天晴	彩虹	0.573	0.31	0.494	0.388	0.244	0.146	0.229
七色	雨	漂亮	彩虹	0.557	0.494	0.396	0.323	0.237	0.213	0.207
美麗	七色	雨	彩虹	0.556	0.31	0.494	0.396	0.244	0.163	0.237
美麗	下雨	七色	彩虹	0.55	0.31	0.334	0.494	0.158	0.244	0.186
七色	漂亮	天晴	彩虹	0.536	0.494	0.323	0.388	0.213	0.229	0.227
七色	太陽	美好	彩虹	0.534	0.494	0.318	0.289	0.232	0.213	0.122
七色	太陽	漂亮	彩虹	0.522	0.494	0.318	0.323	0.232	0.213	0.168
七色	美好	天晴	彩虹	0.506	0.494	0.289	0.388	0.213	0.229	0.224
美麗	七色	雨天	彩虹	0.485	0.31	0.494	0.355	0.244	0.182	0.247
七色	雨天	太陽	彩虹	0.482	0.494	0.355	0.318	0.247	0.232	0.206
霓虹	放晴	白雲	彩虹	0.477	0.44	0.299	0.317	0.148	0.211	0.219
美麗	七色	放晴	彩虹	0.474	0.31	0.494	0.299	0.244	0.193	0.191
七色	雨天	漂亮	彩虹	0.462	0.494	0.355	0.323	0.247	0.213	0.249
顏色	雨	美好	彩虹	0.454	0.256	0.396	0.289	0.156	0.182	0.15
下雨	霓虹	白雲	彩虹	0.452	0.334	0.44	0.317	0.204	0.224	0.211
雨	漂亮	色彩	彩虹	0.451	0.396	0.323	0.309	0.207	0.124	0.246
霓虹	美好	天晴	彩虹	0.437	0.44	0.289	0.388	0.237	0.219	0.224
下雨	彩色	陽光	彩虹	0.423	0.334	0.438	0.324	0.239	0.238	0.197
霓虹	美好	白雲	彩虹	0.415	0.44	0.289	0.317	0.237	0.211	0.182
下雨	彩色	白雲	彩虹	0.411	0.334	0.438	0.317	0.239	0.224	0.215
雨天	太陽	色彩	彩虹	0.411	0.355	0.318	0.309	0.206	0.209	0.156
下雨	霓虹	陽光	彩虹	0.407	0.334	0.44	0.324	0.204	0.238	0.249
彩色	放晴	白雲	彩虹	0.402	0.438	0.299	0.317	0.217	0.215	0.219
顏色	美好	天晴	彩虹	0.399	0.256	0.289	0.388	0.182	0.128	0.224
雨天	色彩	白雲	彩虹	0.389	0.355	0.309	0.317	0.209	0.212	0.17
漂亮	色彩	天晴	彩虹	0.387	0.323	0.309	0.388	0.246	0.227	0.159
太陽	漂亮	色彩	彩虹	0.38	0.318	0.323	0.309	0.168	0.156	0.246
雨天	太陽	炫麗	彩虹	0.379	0.355	0.318	0.323	0.206	0.178	0.234
色彩	放晴	白雲	彩虹	0.377	0.309	0.299	0.317	0.159	0.17	0.219
下雨	色彩	白雲	彩虹	0.375	0.334	0.309	0.317	0.191	0.224	0.17
雨天	太陽	漂亮	彩虹	0.373	0.355	0.318	0.323	0.206	0.249	0.168
顏色	天晴	浪漫	彩虹	0.373	0.256	0.388	0.283	0.128	0.201	0.225
下雨	炫麗	白雲	彩虹	0.362	0.334	0.323	0.317	0.141	0.224	0.247
雨天	炫麗	白雲	彩虹	0.358	0.355	0.323	0.317	0.178	0.212	0.247
顏色	雨	浪漫	彩虹	0.342	0.256	0.396	0.283	0.156	0.201	0.236
下雨	色彩	陽光	彩虹	0.332	0.334	0.309	0.324	0.191	0.238	0.206
漂亮	色彩	白雲	彩虹	0.316	0.323	0.309	0.317	0.246	0.217	0.17
雨天	漂亮	白雲	彩虹	0.316	0.355	0.323	0.317	0.249	0.212	0.217
漂亮	色彩	陽光	彩虹	0.312	0.323	0.309	0.324	0.246	0.192	0.206
放晴	炫麗	白雲	彩虹	0.312	0.299	0.323	0.317	0.161	0.219	0.247
雨天	漂亮	色彩	彩虹	0.282	0.355	0.323	0.309	0.249	0.209	0.246
放晴	白雲	浪漫	彩虹	0.253	0.299	0.317	0.283	0.219	0.235	0.192
顏色	放晴	浪漫	彩虹	0.248	0.256	0.299	0.283	0.154	0.201	0.235
