				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
電影院	主角	投影片	影片	0.73	0.335	0.461	0.421	0.128	0.162	0.196
電影院	主角	剪接	影片	0.677	0.335	0.461	0.429	0.128	0.187	0.232
投影片	明星	劇情	影片	0.675	0.421	0.341	0.479	0.109	0.208	0.248
主角	文藝	投影片	影片	0.641	0.461	0.268	0.421	0.185	0.196	0.128
投影片	人生	拍攝	影片	0.64	0.421	0.288	0.427	0.156	0.204	0.135
投影片	拍攝	明星	影片	0.638	0.421	0.427	0.341	0.204	0.109	0.238
電影院	投影片	人生	影片	0.62	0.335	0.421	0.288	0.162	0.105	0.156
主角	觀賞	剪接	影片	0.592	0.461	0.276	0.429	0.152	0.232	0.19
電影院	人生	照片	影片	0.591	0.335	0.288	0.453	0.105	0.18	0.201
人生	照片	觀眾	影片	0.589	0.288	0.453	0.417	0.201	0.177	0.19
主角	觀賞	投影片	影片	0.568	0.461	0.276	0.421	0.152	0.196	0.242
電影院	剪接	人生	影片	0.563	0.335	0.429	0.288	0.187	0.105	0.196
投影片	人生	觀眾	影片	0.563	0.421	0.288	0.417	0.156	0.229	0.177
觀賞	投影片	明星	影片	0.551	0.276	0.421	0.341	0.242	0.135	0.109
觀賞	剪接	明星	影片	0.544	0.276	0.429	0.341	0.19	0.135	0.176
動畫	人生	照片	影片	0.528	0.424	0.288	0.453	0.208	0.229	0.201
主角	文藝	剪接	影片	0.515	0.461	0.268	0.429	0.185	0.232	0.227
電視	投影片	人生	影片	0.454	0.342	0.421	0.288	0.214	0.226	0.156
觀賞	剪接	人生	影片	0.445	0.276	0.429	0.288	0.19	0.161	0.196
觀賞	投影片	人生	影片	0.426	0.276	0.421	0.288	0.242	0.161	0.156
電視	人生	照片	影片	0.408	0.342	0.288	0.453	0.226	0.249	0.201
