				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
友善	心情	蒙娜麗莎	微笑	0.778	0.462	0.351	0.449	0.24	0.096	0.148
友善	天使	蒙娜麗莎	微笑	0.747	0.462	0.39	0.449	0.231	0.096	0.227
禮貌	甜美	蒙娜麗莎	微笑	0.729	0.44	0.418	0.449	0.229	0.196	0.152
善意	舒服	蒙娜麗莎	微笑	0.719	0.443	0.256	0.449	0.226	0.153	0.05
禮貌	心情	蒙娜麗莎	微笑	0.718	0.44	0.351	0.449	0.178	0.196	0.148
禮貌	甜蜜	蒙娜麗莎	微笑	0.691	0.44	0.434	0.449	0.198	0.196	0.237
愉快	天使	蒙娜麗莎	微笑	0.674	0.37	0.39	0.449	0.178	0.13	0.227
禮貌	天使	蒙娜麗莎	微笑	0.67	0.44	0.39	0.449	0.186	0.196	0.227
天使	舒服	蒙娜麗莎	微笑	0.667	0.39	0.256	0.449	0.152	0.227	0.05
禮貌	哭泣	迷人	微笑	0.655	0.44	0.487	0.412	0.19	0.25	0.244
禮貌	迷人	蒙娜麗莎	微笑	0.65	0.44	0.412	0.449	0.25	0.196	0.205
甜美	蒙娜麗莎	朋友	微笑	0.644	0.418	0.449	0.26	0.152	0.195	0.136
甜美	蒙娜麗莎	客氣	微笑	0.631	0.418	0.449	0.274	0.152	0.197	0.16
天使	蒙娜麗莎	客氣	微笑	0.628	0.39	0.449	0.274	0.227	0.099	0.16
甜蜜	蒙娜麗莎	客氣	微笑	0.619	0.434	0.449	0.274	0.237	0.141	0.16
迷人	心情	蒙娜麗莎	微笑	0.616	0.412	0.351	0.449	0.243	0.205	0.148
美好	蒙娜麗莎	客氣	微笑	0.616	0.381	0.449	0.274	0.182	0.147	0.16
心情	蒙娜麗莎	客氣	微笑	0.614	0.351	0.449	0.274	0.148	0.152	0.16
禮貌	天使	心情	微笑	0.612	0.44	0.39	0.351	0.186	0.178	0.205
天使	心情	蒙娜麗莎	微笑	0.61	0.39	0.351	0.449	0.205	0.227	0.148
天使	心情	和藹	微笑	0.608	0.39	0.351	0.47	0.205	0.167	0.231
哭泣	迷人	客氣	微笑	0.598	0.487	0.412	0.274	0.244	0.152	0.179
善意	高興	蒙娜麗莎	微笑	0.595	0.443	0.262	0.449	0.213	0.153	0.192
迷人	蒙娜麗莎	客氣	微笑	0.591	0.412	0.449	0.274	0.205	0.179	0.16
高興	甜美	蒙娜麗莎	微笑	0.583	0.262	0.418	0.449	0.202	0.192	0.152
高興	天使	蒙娜麗莎	微笑	0.578	0.262	0.39	0.449	0.104	0.192	0.227
溫暖	天使	蒙娜麗莎	微笑	0.577	0.342	0.39	0.449	0.168	0.21	0.227
迷人	蒙娜麗莎	朋友	微笑	0.569	0.412	0.449	0.26	0.205	0.212	0.136
天使	心情	客氣	微笑	0.56	0.39	0.351	0.274	0.205	0.099	0.152
快樂	友善	天使	微笑	0.555	0.349	0.462	0.39	0.203	0.212	0.231
親切	天使	蒙娜麗莎	微笑	0.55	0.342	0.39	0.449	0.173	0.231	0.227
親切	心情	蒙娜麗莎	微笑	0.534	0.342	0.351	0.449	0.229	0.231	0.148
禮貌	迷人	心情	微笑	0.532	0.44	0.412	0.351	0.25	0.178	0.243
甜蜜	蒙娜麗莎	朋友	微笑	0.531	0.434	0.449	0.26	0.237	0.238	0.136
甜蜜	朋友	和藹	微笑	0.531	0.434	0.26	0.47	0.238	0.177	0.217
友善	天使	心情	微笑	0.528	0.462	0.39	0.351	0.231	0.24	0.205
高興	迷人	蒙娜麗莎	微笑	0.518	0.262	0.412	0.449	0.208	0.192	0.205
溫暖	蒙娜麗莎	朋友	微笑	0.504	0.342	0.449	0.26	0.21	0.201	0.136
高興	甜蜜	蒙娜麗莎	微笑	0.499	0.262	0.434	0.449	0.217	0.192	0.237
親切	天使	心情	微笑	0.477	0.342	0.39	0.351	0.173	0.229	0.205
迷人	心情	客氣	微笑	0.463	0.412	0.351	0.274	0.243	0.179	0.152
蒙娜麗莎	朋友	客氣	微笑	0.462	0.449	0.26	0.274	0.136	0.16	0.225
甜蜜	朋友	客氣	微笑	0.364	0.434	0.26	0.274	0.238	0.141	0.225
快樂	迷人	朋友	微笑	0.341	0.349	0.412	0.26	0.22	0.248	0.212
甜美	朋友	客氣	微笑	0.335	0.418	0.26	0.274	0.195	0.197	0.225
迷人	朋友	客氣	微笑	0.331	0.412	0.26	0.274	0.212	0.179	0.225
