				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
溺水	急診室	方法	急救	0.803	0.453	0.453	0.332	0.167	0.214	0.055
紅十字會	方法	垂危	急救	0.771	0.355	0.332	0.434	0.074	0.153	0.124
溺水	快速	急診室	急救	0.758	0.453	0.289	0.453	0.12	0.167	0.151
溺水	護士	快速	急救	0.748	0.453	0.357	0.289	0.169	0.12	0.063
醫生	溺水	快速	急救	0.745	0.376	0.453	0.289	0.173	0.08	0.12
紅十字	方法	垂危	急救	0.732	0.377	0.332	0.434	0.056	0.232	0.124
醫療	方法	垂危	急救	0.727	0.45	0.332	0.434	0.175	0.191	0.124
醫院	溺水	快速	急救	0.712	0.43	0.453	0.289	0.196	0.144	0.12
快速	紅十字會	垂危	急救	0.696	0.289	0.355	0.434	0.108	0.122	0.153
溺水	快速	醫師	急救	0.691	0.453	0.289	0.372	0.12	0.181	0.123
護士	方法	垂危	急救	0.686	0.357	0.332	0.434	0.086	0.228	0.124
溺水	紅十字	方法	急救	0.683	0.453	0.377	0.332	0.209	0.214	0.056
溺水	護士	方法	急救	0.674	0.453	0.357	0.332	0.169	0.214	0.086
護士	快速	垂危	急救	0.668	0.357	0.289	0.434	0.063	0.228	0.122
醫院	溺水	方法	急救	0.666	0.43	0.453	0.332	0.196	0.139	0.214
護士	意外	方法	急救	0.664	0.357	0.319	0.332	0.04	0.086	0.218
急診室	意外	方法	急救	0.66	0.453	0.319	0.332	0.171	0.055	0.218
生命	急診室	方法	急救	0.66	0.349	0.453	0.332	0.213	0.206	0.055
紅十字	呼吸	意外	急救	0.658	0.377	0.343	0.319	0.135	0.098	0.148
溺水	醫療	方法	急救	0.658	0.453	0.45	0.332	0.188	0.214	0.175
紅十字	意外	方法	急救	0.656	0.377	0.319	0.332	0.098	0.056	0.218
快速	垂危	醫師	急救	0.655	0.289	0.434	0.372	0.122	0.123	0.196
溺水	快速	紅十字會	急救	0.647	0.453	0.289	0.355	0.12	0.222	0.108
溺水	快速	醫療	急救	0.646	0.453	0.289	0.45	0.12	0.188	0.237
溺水	急診室	生存	急救	0.646	0.453	0.453	0.268	0.167	0.218	0.144
溺水	紅十字	快速	急救	0.643	0.453	0.377	0.289	0.209	0.12	0.147
紅十字	呼吸	方法	急救	0.643	0.377	0.343	0.332	0.135	0.056	0.218
溺水	快速	手術	急救	0.642	0.453	0.289	0.391	0.12	0.223	0.148
意外	紅十字會	方法	急救	0.64	0.319	0.355	0.332	0.074	0.218	0.074
紅十字	受傷	方法	急救	0.636	0.377	0.348	0.332	0.239	0.056	0.126
溺水	紅十字會	方法	急救	0.631	0.453	0.355	0.332	0.222	0.214	0.074
護士	意外	生存	急救	0.625	0.357	0.319	0.268	0.04	0.083	0.195
紅十字	方法	生病	急救	0.624	0.377	0.332	0.357	0.056	0.186	0.199
快速	醫療	垂危	急救	0.623	0.289	0.45	0.434	0.237	0.122	0.191
溺水	快速	治療	急救	0.619	0.453	0.289	0.423	0.12	0.218	0.208
呼吸	意外	紅十字會	急救	0.614	0.343	0.319	0.355	0.148	0.181	0.074
急診室	呼吸	方法	急救	0.612	0.453	0.343	0.332	0.242	0.055	0.218
護士	呼吸	意外	急救	0.612	0.357	0.343	0.319	0.22	0.04	0.148
方法	垂危	醫師	急救	0.609	0.332	0.434	0.372	0.124	0.21	0.196
溺水	護士	生存	急救	0.608	0.453	0.357	0.268	0.169	0.218	0.083
緊急	護士	方法	急救	0.606	0.458	0.357	0.332	0.246	0.209	0.086
生命	醫院	方法	急救	0.602	0.349	0.43	0.332	0.164	0.206	0.139
醫生	溺水	方法	急救	0.602	0.376	0.453	0.332	0.173	0.173	0.214
紅十字	快速	垂危	急救	0.599	0.377	0.289	0.434	0.147	0.232	0.122
救人	快速	醫師	急救	0.596	0.49	0.289	0.372	0.2	0.232	0.123
醫院	溺水	生存	急救	0.593	0.43	0.453	0.268	0.196	0.144	0.218
生命	醫院	快速	急救	0.586	0.349	0.43	0.289	0.164	0.174	0.144
快速	車禍	病人	急救	0.585	0.289	0.352	0.451	0.088	0.176	0.242
生命	傷患	方法	急救	0.58	0.349	0.444	0.332	0.185	0.206	0.155
醫院	意外	方法	急救	0.578	0.43	0.319	0.332	0.146	0.139	0.218
溺水	生存	醫師	急救	0.576	0.453	0.268	0.372	0.218	0.181	0.118
意外	紅十字會	生存	急救	0.574	0.319	0.355	0.268	0.074	0.195	0.098
醫生	溺水	生存	急救	0.57	0.376	0.453	0.268	0.173	0.137	0.218
生命	紅十字會	方法	急救	0.569	0.349	0.355	0.332	0.187	0.206	0.074
生命	緊急	方法	急救	0.568	0.349	0.458	0.332	0.156	0.206	0.209
紅十字會	方法	生病	急救	0.567	0.355	0.332	0.357	0.074	0.203	0.199
醫生	死亡	快速	急救	0.566	0.376	0.357	0.289	0.187	0.08	0.19
死亡	紅十字	方法	急救	0.563	0.357	0.377	0.332	0.223	0.224	0.056
生命	緊急	護士	急救	0.563	0.349	0.458	0.357	0.156	0.198	0.246
溺水	紅十字	生存	急救	0.563	0.453	0.377	0.268	0.209	0.218	0.109
紅十字	意外	生存	急救	0.562	0.377	0.319	0.268	0.098	0.109	0.195
生命	護士	快速	急救	0.561	0.349	0.357	0.289	0.198	0.174	0.063
呼吸	紅十字會	方法	急救	0.557	0.343	0.355	0.332	0.181	0.218	0.074
死亡	護士	快速	急救	0.556	0.357	0.357	0.289	0.195	0.19	0.063
急診室	呼吸	意外	急救	0.554	0.453	0.343	0.319	0.242	0.171	0.148
生命	快速	急診室	急救	0.553	0.349	0.289	0.453	0.174	0.213	0.151
溺水	醫療	生存	急救	0.553	0.453	0.45	0.268	0.188	0.218	0.212
溺水	方法	醫師	急救	0.553	0.453	0.332	0.372	0.214	0.181	0.21
緊急	護士	生存	急救	0.551	0.458	0.357	0.268	0.246	0.203	0.083
醫生	生命	快速	急救	0.551	0.376	0.349	0.289	0.209	0.08	0.174
呼吸	紅十字會	垂危	急救	0.55	0.343	0.355	0.434	0.181	0.248	0.153
生命	護士	方法	急救	0.549	0.349	0.357	0.332	0.198	0.206	0.086
醫療	呼吸	垂危	急救	0.546	0.45	0.343	0.434	0.243	0.191	0.248
生命	快速	醫師	急救	0.543	0.349	0.289	0.372	0.174	0.17	0.123
醫生	意外	方法	急救	0.543	0.376	0.319	0.332	0.094	0.173	0.218
意外	生存	醫師	急救	0.542	0.319	0.268	0.372	0.195	0.103	0.118
死亡	護士	方法	急救	0.542	0.357	0.357	0.332	0.195	0.224	0.086
生命	醫院	意外	急救	0.541	0.349	0.43	0.319	0.164	0.246	0.146
生命	傷患	快速	急救	0.541	0.349	0.444	0.289	0.185	0.174	0.182
生命	護士	意外	急救	0.541	0.349	0.357	0.319	0.198	0.246	0.04
紅十字	快速	呼吸	急救	0.54	0.377	0.289	0.343	0.147	0.135	0.188
紅十字	快速	生病	急救	0.539	0.377	0.289	0.357	0.147	0.186	0.151
紅十字	呼吸	垂危	急救	0.539	0.377	0.343	0.434	0.135	0.232	0.248
醫院	死亡	方法	急救	0.539	0.43	0.357	0.332	0.218	0.139	0.224
快速	紅十字會	生病	急救	0.539	0.289	0.355	0.357	0.108	0.151	0.203
溺水	紅十字會	生存	急救	0.538	0.453	0.355	0.268	0.222	0.218	0.098
醫生	意外	生存	急救	0.537	0.376	0.319	0.268	0.094	0.137	0.195
緊急	死亡	護士	急救	0.536	0.458	0.357	0.357	0.195	0.246	0.195
醫院	意外	生存	急救	0.531	0.43	0.319	0.268	0.146	0.144	0.195
急診室	意外	生存	急救	0.53	0.453	0.319	0.268	0.171	0.144	0.195
生命	快速	車禍	急救	0.526	0.349	0.289	0.352	0.174	0.201	0.088
生命	快速	受傷	急救	0.526	0.349	0.289	0.348	0.174	0.174	0.112
醫院	死亡	快速	急救	0.525	0.43	0.357	0.289	0.218	0.144	0.19
生命	快速	紅十字會	急救	0.524	0.349	0.289	0.355	0.174	0.187	0.108
生命	受傷	方法	急救	0.523	0.349	0.348	0.332	0.174	0.206	0.126
生命	車禍	方法	急救	0.521	0.349	0.352	0.332	0.201	0.206	0.106
生命	意外	醫師	急救	0.52	0.349	0.319	0.372	0.246	0.17	0.103
護士	快速	呼吸	急救	0.52	0.357	0.289	0.343	0.063	0.22	0.188
緊急	死亡	方法	急救	0.519	0.458	0.357	0.332	0.195	0.209	0.224
呼吸	方法	垂危	急救	0.519	0.343	0.332	0.434	0.218	0.248	0.124
死亡	紅十字會	方法	急救	0.518	0.357	0.355	0.332	0.228	0.224	0.074
紅十字	快速	受傷	急救	0.517	0.377	0.289	0.348	0.147	0.239	0.112
生命	意外	紅十字會	急救	0.515	0.349	0.319	0.355	0.246	0.187	0.074
快速	呼吸	紅十字會	急救	0.51	0.289	0.343	0.355	0.188	0.108	0.181
快速	呼吸	垂危	急救	0.509	0.289	0.343	0.434	0.188	0.122	0.248
護士	呼吸	方法	急救	0.509	0.357	0.343	0.332	0.22	0.086	0.218
快速	車禍	呼吸	急救	0.506	0.289	0.352	0.343	0.088	0.188	0.202
死亡	醫療	方法	急救	0.505	0.357	0.45	0.332	0.235	0.224	0.175
快速	急診室	呼吸	急救	0.505	0.289	0.453	0.343	0.151	0.188	0.242
車禍	呼吸	方法	急救	0.501	0.352	0.343	0.332	0.202	0.106	0.218
醫生	生命	意外	急救	0.494	0.376	0.349	0.319	0.209	0.094	0.246
意外	方法	醫師	急救	0.492	0.319	0.332	0.372	0.218	0.103	0.21
生命	快速	手術	急救	0.492	0.349	0.289	0.391	0.174	0.215	0.148
生命	急診室	意外	急救	0.491	0.349	0.453	0.319	0.213	0.246	0.171
緊急	呼吸	方法	急救	0.49	0.458	0.343	0.332	0.216	0.209	0.218
紅十字	受傷	呼吸	急救	0.49	0.377	0.348	0.343	0.239	0.135	0.205
醫療	呼吸	方法	急救	0.489	0.45	0.343	0.332	0.243	0.175	0.218
醫療	呼吸	意外	急救	0.488	0.45	0.343	0.319	0.243	0.234	0.148
死亡	快速	醫師	急救	0.484	0.357	0.289	0.372	0.19	0.222	0.123
醫生	死亡	方法	急救	0.482	0.376	0.357	0.332	0.187	0.173	0.224
緊急	護士	呼吸	急救	0.477	0.458	0.357	0.343	0.246	0.216	0.22
快速	受傷	呼吸	急救	0.477	0.289	0.348	0.343	0.112	0.188	0.205
生命	意外	治療	急救	0.476	0.349	0.319	0.423	0.246	0.237	0.131
危險	快速	紅十字會	急救	0.476	0.274	0.289	0.355	0.164	0.17	0.108
死亡	快速	紅十字會	急救	0.475	0.357	0.289	0.355	0.19	0.228	0.108
醫療	意外	方法	急救	0.475	0.45	0.319	0.332	0.234	0.175	0.218
受傷	呼吸	方法	急救	0.474	0.348	0.343	0.332	0.205	0.126	0.218
傷患	意外	方法	急救	0.474	0.444	0.319	0.332	0.249	0.155	0.218
溺水	治療	生存	急救	0.471	0.453	0.423	0.268	0.218	0.218	0.237
醫生	生命	方法	急救	0.469	0.376	0.349	0.332	0.209	0.173	0.206
生命	方法	醫師	急救	0.467	0.349	0.332	0.372	0.206	0.17	0.21
溺水	手術	生存	急救	0.466	0.453	0.391	0.268	0.223	0.218	0.205
紅十字	受傷	生存	急救	0.464	0.377	0.348	0.268	0.239	0.109	0.181
死亡	紅十字	快速	急救	0.464	0.357	0.377	0.289	0.223	0.19	0.147
死亡	快速	手術	急救	0.457	0.357	0.289	0.391	0.19	0.243	0.148
危險	紅十字	呼吸	急救	0.451	0.274	0.377	0.343	0.21	0.197	0.135
危險	快速	病人	急救	0.448	0.274	0.289	0.451	0.164	0.226	0.176
意外	治療	生存	急救	0.446	0.319	0.423	0.268	0.131	0.195	0.237
生命	快速	治療	急救	0.441	0.349	0.289	0.423	0.174	0.237	0.208
護士	呼吸	垂危	急救	0.439	0.357	0.343	0.434	0.22	0.228	0.248
死亡	快速	醫療	急救	0.434	0.357	0.289	0.45	0.19	0.235	0.237
生命	傷患	意外	急救	0.432	0.349	0.444	0.319	0.185	0.246	0.249
危險	呼吸	紅十字會	急救	0.423	0.274	0.343	0.355	0.197	0.17	0.181
危險	紅十字	快速	急救	0.419	0.274	0.377	0.289	0.21	0.164	0.147
傷患	意外	生存	急救	0.416	0.444	0.319	0.268	0.249	0.17	0.195
快速	醫療	呼吸	急救	0.415	0.289	0.45	0.343	0.237	0.188	0.243
危險	快速	醫師	急救	0.414	0.274	0.289	0.372	0.164	0.235	0.123
呼吸	意外	方法	急救	0.41	0.343	0.319	0.332	0.148	0.218	0.218
死亡	方法	醫師	急救	0.405	0.357	0.332	0.372	0.224	0.222	0.21
醫療	意外	生存	急救	0.396	0.45	0.319	0.268	0.234	0.212	0.195
生命	手術	意外	急救	0.391	0.349	0.391	0.319	0.215	0.246	0.206
危險	紅十字會	生病	急救	0.374	0.274	0.355	0.357	0.17	0.238	0.203
危險	紅十字	生病	急救	0.373	0.274	0.377	0.357	0.21	0.238	0.186
手術	意外	生存	急救	0.371	0.391	0.319	0.268	0.206	0.205	0.195
危險	快速	生病	急救	0.367	0.274	0.289	0.357	0.164	0.238	0.151
危險	快速	呼吸	急救	0.358	0.274	0.289	0.343	0.164	0.197	0.188
生命	意外	方法	急救	0.33	0.349	0.319	0.332	0.246	0.206	0.218
