				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
頭痛	休息	病菌	感冒	0.759	0.407	0.354	0.486	0.224	0.118	0.145
休息	病菌	頭疼	感冒	0.743	0.354	0.486	0.356	0.145	0.205	0.103
鼻水	醫院	寒冷	感冒	0.726	0.493	0.281	0.393	0.131	0.205	0.105
鼻水	寒冷	藥丸	感冒	0.723	0.493	0.393	0.278	0.205	0.198	0.038
醫生	鼻水	寒冷	感冒	0.718	0.291	0.493	0.393	0.15	0.105	0.205
鼻水	休息	細菌	感冒	0.705	0.493	0.354	0.315	0.187	0.2	0.071
鼻水	寒冷	看病	感冒	0.701	0.493	0.393	0.47	0.205	0.244	0.205
鼻涕	醫院	寒冷	感冒	0.669	0.436	0.281	0.393	0.166	0.17	0.105
鼻涕	寒冷	藥丸	感冒	0.663	0.436	0.393	0.278	0.17	0.236	0.038
休息	藥	病菌	感冒	0.66	0.354	0.308	0.486	0.129	0.145	0.214
鼻涕	藥	寒冷	感冒	0.659	0.436	0.308	0.393	0.198	0.17	0.109
鼻水	藥	寒冷	感冒	0.659	0.493	0.308	0.393	0.221	0.205	0.109
休息	病菌	藥丸	感冒	0.643	0.354	0.486	0.278	0.145	0.11	0.22
休息	寒冷	藥丸	感冒	0.64	0.354	0.393	0.278	0.238	0.11	0.038
醫生	鼻涕	寒冷	感冒	0.639	0.291	0.436	0.393	0.207	0.105	0.17
休息	鼻涕	寒冷	感冒	0.638	0.354	0.436	0.393	0.138	0.238	0.17
難過	休息	病菌	感冒	0.637	0.28	0.354	0.486	0.217	0.12	0.145
休息	鼻涕	藥物	感冒	0.637	0.354	0.436	0.303	0.138	0.116	0.203
鼻水	細菌	看病	感冒	0.635	0.493	0.315	0.47	0.2	0.244	0.198
休息	鼻涕	藥	感冒	0.633	0.354	0.436	0.308	0.138	0.129	0.198
鼻水	休息	頭疼	感冒	0.633	0.493	0.354	0.356	0.187	0.179	0.205
鼻水	休息	藥丸	感冒	0.63	0.493	0.354	0.278	0.187	0.198	0.11
鼻水	頭疼	寒冷	感冒	0.628	0.493	0.356	0.393	0.179	0.205	0.231
頭痛	鼻水	休息	感冒	0.626	0.407	0.493	0.354	0.217	0.224	0.187
鼻水	休息	藥	感冒	0.617	0.493	0.354	0.308	0.187	0.221	0.129
打針	休息	病菌	感冒	0.616	0.398	0.354	0.486	0.233	0.245	0.145
鼻水	休息	藥物	感冒	0.612	0.493	0.354	0.303	0.187	0.235	0.116
鼻水	休息	寒冷	感冒	0.611	0.493	0.354	0.393	0.187	0.205	0.238
鼻水	休息	醫院	感冒	0.602	0.493	0.354	0.281	0.187	0.131	0.207
痛苦	鼻水	細菌	感冒	0.594	0.304	0.493	0.315	0.172	0.146	0.2
醫生	鼻水	休息	感冒	0.592	0.291	0.493	0.354	0.15	0.21	0.187
鼻水	細菌	寒冷	感冒	0.586	0.493	0.315	0.393	0.2	0.205	0.211
休息	鼻涕	藥丸	感冒	0.584	0.354	0.436	0.278	0.138	0.11	0.236
休息	藥	寒冷	感冒	0.579	0.354	0.308	0.393	0.129	0.238	0.109
痛苦	鼻水	醫院	感冒	0.577	0.304	0.493	0.281	0.172	0.197	0.131
醫生	痛苦	鼻水	感冒	0.574	0.291	0.304	0.493	0.192	0.15	0.172
鼻涕	藥物	寒冷	感冒	0.571	0.436	0.303	0.393	0.203	0.17	0.188
頭痛	鼻水	細菌	感冒	0.566	0.407	0.493	0.315	0.217	0.233	0.2
難過	鼻水	看病	感冒	0.564	0.28	0.493	0.47	0.189	0.244	0.244
細菌	寒冷	看病	感冒	0.563	0.315	0.393	0.47	0.211	0.198	0.205
鼻水	藥物	寒冷	感冒	0.562	0.493	0.303	0.393	0.235	0.205	0.188
鼻水	細菌	頭疼	感冒	0.561	0.493	0.315	0.356	0.2	0.179	0.225
休息	鼻涕	醫院	感冒	0.56	0.354	0.436	0.281	0.138	0.207	0.166
休息	病菌	醫院	感冒	0.555	0.354	0.486	0.281	0.145	0.207	0.213
頭痛	休息	細菌	感冒	0.549	0.407	0.354	0.315	0.224	0.233	0.071
痛苦	鼻水	藥	感冒	0.546	0.304	0.493	0.308	0.172	0.166	0.221
休息	細菌	寒冷	感冒	0.543	0.354	0.315	0.393	0.071	0.238	0.211
難過	休息	鼻涕	感冒	0.539	0.28	0.354	0.436	0.217	0.177	0.138
痛苦	鼻水	藥丸	感冒	0.534	0.304	0.493	0.278	0.172	0.17	0.198
難過	鼻水	休息	感冒	0.533	0.28	0.493	0.354	0.189	0.217	0.187
醫生	休息	鼻涕	感冒	0.527	0.291	0.354	0.436	0.21	0.207	0.138
休息	細菌	頭疼	感冒	0.525	0.354	0.315	0.356	0.071	0.205	0.225
休息	藥物	寒冷	感冒	0.509	0.354	0.303	0.393	0.116	0.238	0.188
打針	休息	寒冷	感冒	0.497	0.398	0.354	0.393	0.233	0.179	0.238
痛苦	打針	病菌	感冒	0.494	0.304	0.398	0.486	0.225	0.224	0.245
痛苦	藥	病菌	感冒	0.494	0.304	0.308	0.486	0.166	0.224	0.214
醫生	休息	寒冷	感冒	0.487	0.291	0.354	0.393	0.21	0.105	0.238
痛苦	鼻水	藥物	感冒	0.48	0.304	0.493	0.303	0.172	0.213	0.235
休息	醫院	寒冷	感冒	0.478	0.354	0.281	0.393	0.207	0.238	0.105
痛苦	病菌	藥丸	感冒	0.454	0.304	0.486	0.278	0.224	0.17	0.22
痛苦	鼻涕	藥	感冒	0.44	0.304	0.436	0.308	0.244	0.166	0.198
痛苦	病菌	醫院	感冒	0.436	0.304	0.486	0.281	0.224	0.197	0.213
休息	頭疼	寒冷	感冒	0.43	0.354	0.356	0.393	0.205	0.238	0.231
痛苦	鼻涕	醫院	感冒	0.414	0.304	0.436	0.281	0.244	0.197	0.166
細菌	頭疼	寒冷	感冒	0.397	0.315	0.356	0.393	0.225	0.211	0.231
醫生	痛苦	鼻涕	感冒	0.388	0.291	0.304	0.436	0.192	0.207	0.244
痛苦	鼻涕	藥物	感冒	0.383	0.304	0.436	0.303	0.244	0.213	0.203
痛苦	鼻涕	藥丸	感冒	0.367	0.304	0.436	0.278	0.244	0.17	0.236
