				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
打人	快樂	眼神	憤怒	0.638	0.367	0.412	0.305	0.12	0.191	0.135
快樂	大吼	攻擊	憤怒	0.633	0.412	0.383	0.42	0.114	0.238	0.23
快樂	失控	眼神	憤怒	0.63	0.412	0.39	0.305	0.13	0.135	0.211
快樂	大吼	眼神	憤怒	0.611	0.412	0.383	0.305	0.114	0.135	0.239
打人	開心	眼神	憤怒	0.601	0.367	0.449	0.305	0.178	0.191	0.151
大吼	開心	眼神	憤怒	0.599	0.383	0.449	0.305	0.147	0.239	0.151
大吼	心情	攻擊	憤怒	0.599	0.383	0.316	0.42	0.194	0.23	0.095
快樂	攻擊	眼神	憤怒	0.598	0.412	0.42	0.305	0.238	0.135	0.166
開心	失控	眼神	憤怒	0.536	0.449	0.39	0.305	0.245	0.151	0.211
開心	忍耐	眼神	憤怒	0.529	0.449	0.355	0.305	0.182	0.151	0.247
失控	眼神	討厭	憤怒	0.522	0.39	0.305	0.488	0.211	0.237	0.213
臉紅	心情	背叛	憤怒	0.494	0.412	0.316	0.38	0.167	0.225	0.222
大吼	攻擊	眼神	憤怒	0.472	0.383	0.42	0.305	0.23	0.239	0.166
變臉	忍耐	眼神	憤怒	0.471	0.335	0.355	0.305	0.107	0.169	0.247
快樂	忍耐	眼神	憤怒	0.46	0.412	0.355	0.305	0.23	0.135	0.247
大吼	變臉	心情	憤怒	0.439	0.383	0.335	0.316	0.237	0.194	0.162
變臉	失控	眼神	憤怒	0.409	0.335	0.39	0.305	0.24	0.169	0.211
變臉	心情	背叛	憤怒	0.409	0.335	0.316	0.38	0.162	0.238	0.222
大吼	變臉	眼神	憤怒	0.377	0.383	0.335	0.305	0.237	0.239	0.169
臉紅	忍耐	眼神	憤怒	0.357	0.412	0.355	0.305	0.218	0.25	0.247
