				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
居住	仲介	屋頂	房屋	0.849	0.447	0.48	0.414	0.179	0.175	0.14
居住	仲介	鋼筋	房屋	0.843	0.447	0.48	0.337	0.179	0.12	0.123
家庭	高樓	仲介	房屋	0.823	0.377	0.384	0.48	0.134	0.183	0.102
家庭	買賣	倒塌	房屋	0.778	0.377	0.401	0.475	0.153	0.164	0.159
居住	仲介	樓梯	房屋	0.765	0.447	0.48	0.324	0.179	0.149	0.159
居住	仲介	煙囪	房屋	0.763	0.447	0.48	0.304	0.179	0.15	0.14
倒塌	仲介	別墅	房屋	0.747	0.475	0.48	0.442	0.247	0.206	0.198
家庭	仲介	地價	房屋	0.744	0.377	0.48	0.38	0.183	0.118	0.192
家庭	倒塌	仲介	房屋	0.739	0.377	0.475	0.48	0.164	0.183	0.247
安全	高樓	仲介	房屋	0.733	0.285	0.384	0.48	0.155	0.16	0.102
家庭	倒塌	地價	房屋	0.732	0.377	0.475	0.38	0.164	0.118	0.218
居住	仲介	車子	房屋	0.731	0.447	0.48	0.352	0.179	0.171	0.2
家庭	買賣	地基	房屋	0.73	0.377	0.401	0.452	0.153	0.217	0.131
家庭	仲介	鋼筋	房屋	0.723	0.377	0.48	0.337	0.183	0.164	0.123
買賣	倒塌	家	房屋	0.723	0.401	0.475	0.275	0.159	0.135	0.134
家庭	仲介	地基	房屋	0.72	0.377	0.48	0.452	0.183	0.217	0.189
仲介	地基	車子	房屋	0.718	0.48	0.452	0.352	0.189	0.2	0.179
買賣	倒塌	家人	房屋	0.715	0.401	0.475	0.311	0.159	0.131	0.181
家庭	仲介	屋頂	房屋	0.708	0.377	0.48	0.414	0.183	0.241	0.14
買賣	地基	住宿	房屋	0.705	0.401	0.452	0.334	0.131	0.168	0.182
家庭	買賣	高樓	房屋	0.695	0.377	0.401	0.384	0.153	0.134	0.181
居住	仲介	地價	房屋	0.694	0.447	0.48	0.38	0.179	0.243	0.192
安全	仲介	屋頂	房屋	0.693	0.285	0.48	0.414	0.16	0.186	0.14
家庭	仲介	煙囪	房屋	0.691	0.377	0.48	0.304	0.183	0.147	0.14
買賣	家	地基	房屋	0.686	0.401	0.275	0.452	0.135	0.131	0.177
倒塌	仲介	地價	房屋	0.679	0.475	0.48	0.38	0.247	0.218	0.192
家	仲介	鋼筋	房屋	0.679	0.275	0.48	0.337	0.213	0.077	0.123
安全	仲介	地價	房屋	0.678	0.285	0.48	0.38	0.16	0.115	0.192
安全	仲介	別墅	房屋	0.673	0.285	0.48	0.442	0.16	0.176	0.198
家人	高樓	仲介	房屋	0.67	0.311	0.384	0.48	0.184	0.22	0.102
倒塌	家人	地價	房屋	0.668	0.475	0.311	0.38	0.181	0.218	0.099
安全	仲介	煙囪	房屋	0.667	0.285	0.48	0.304	0.16	0.103	0.14
買賣	家人	地基	房屋	0.666	0.401	0.311	0.452	0.131	0.131	0.237
仲介	地基	樓梯	房屋	0.666	0.48	0.452	0.324	0.189	0.159	0.243
居住	買賣	屋頂	房屋	0.663	0.447	0.401	0.414	0.18	0.175	0.246
家人	仲介	地價	房屋	0.661	0.311	0.48	0.38	0.22	0.099	0.192
倒塌	家	地價	房屋	0.659	0.475	0.275	0.38	0.134	0.218	0.119
家人	仲介	鋼筋	房屋	0.654	0.311	0.48	0.337	0.22	0.13	0.123
貸款	倒塌	家人	房屋	0.652	0.428	0.475	0.311	0.231	0.15	0.181
家庭	買賣	建築師	房屋	0.652	0.377	0.401	0.379	0.153	0.184	0.169
家庭	仲介	樓梯	房屋	0.65	0.377	0.48	0.324	0.183	0.189	0.159
倒塌	仲介	車子	房屋	0.65	0.475	0.48	0.352	0.247	0.212	0.2
家	高樓	仲介	房屋	0.648	0.275	0.384	0.48	0.177	0.213	0.102
安全	建築師	仲介	房屋	0.648	0.285	0.379	0.48	0.091	0.16	0.245
家人	仲介	屋頂	房屋	0.645	0.311	0.48	0.414	0.22	0.201	0.14
買賣	倒塌	住宿	房屋	0.641	0.401	0.475	0.334	0.159	0.168	0.241
買賣	高樓	住所	房屋	0.64	0.401	0.384	0.447	0.181	0.21	0.201
家庭	倒塌	車子	房屋	0.64	0.377	0.475	0.352	0.164	0.189	0.212
貸款	倒塌	家	房屋	0.64	0.428	0.475	0.275	0.231	0.174	0.134
家庭	仲介	車子	房屋	0.638	0.377	0.48	0.352	0.183	0.189	0.2
居住	建築師	仲介	房屋	0.638	0.447	0.379	0.48	0.245	0.179	0.245
倒塌	家	仲介	房屋	0.637	0.475	0.275	0.48	0.134	0.247	0.213
安全	仲介	地基	房屋	0.636	0.285	0.48	0.452	0.16	0.233	0.189
居住	買賣	建築師	房屋	0.634	0.447	0.401	0.379	0.18	0.245	0.169
安全	仲介	鋼筋	房屋	0.631	0.285	0.48	0.337	0.16	0.187	0.123
家	仲介	地基	房屋	0.629	0.275	0.48	0.452	0.213	0.177	0.189
買賣	建築師	住宿	房屋	0.629	0.401	0.379	0.334	0.169	0.168	0.147
買賣	建築師	住家	房屋	0.626	0.401	0.379	0.432	0.169	0.188	0.229
家庭	建築師	仲介	房屋	0.624	0.377	0.379	0.48	0.184	0.183	0.245
倒塌	家	裝潢	房屋	0.622	0.475	0.275	0.387	0.134	0.159	0.222
買賣	家	建築師	房屋	0.62	0.401	0.275	0.379	0.135	0.169	0.131
倒塌	家人	仲介	房屋	0.618	0.475	0.311	0.48	0.181	0.247	0.22
倒塌	家	別墅	房屋	0.616	0.475	0.275	0.442	0.134	0.206	0.236
居住	買賣	樓梯	房屋	0.615	0.447	0.401	0.324	0.18	0.149	0.229
居住	買賣	煙囪	房屋	0.614	0.447	0.401	0.304	0.18	0.15	0.209
家	仲介	屋頂	房屋	0.613	0.275	0.48	0.414	0.213	0.204	0.14
家	仲介	地價	房屋	0.612	0.275	0.48	0.38	0.213	0.119	0.192
仲介	煙囪	地價	房屋	0.611	0.48	0.304	0.38	0.14	0.192	0.222
家	仲介	樓梯	房屋	0.608	0.275	0.48	0.324	0.213	0.1	0.159
倒塌	家人	裝潢	房屋	0.607	0.475	0.311	0.387	0.181	0.159	0.225
買賣	高樓	住家	房屋	0.602	0.401	0.384	0.432	0.181	0.188	0.247
買賣	家人	高樓	房屋	0.601	0.401	0.311	0.384	0.131	0.181	0.184
家庭	地基	車子	房屋	0.597	0.377	0.452	0.352	0.217	0.189	0.179
家人	仲介	地基	房屋	0.597	0.311	0.48	0.452	0.22	0.237	0.189
買賣	高樓	住宿	房屋	0.597	0.401	0.384	0.334	0.181	0.168	0.172
家人	仲介	煙囪	房屋	0.588	0.311	0.48	0.304	0.22	0.147	0.14
地基	車子	住宿	房屋	0.586	0.452	0.352	0.334	0.179	0.182	0.191
倒塌	家	車子	房屋	0.581	0.475	0.275	0.352	0.134	0.212	0.175
買賣	地基	樓梯	房屋	0.575	0.401	0.452	0.324	0.131	0.229	0.243
家庭	煙囪	地價	房屋	0.574	0.377	0.304	0.38	0.147	0.118	0.222
買賣	家人	建築師	房屋	0.574	0.401	0.311	0.379	0.131	0.169	0.217
家庭	買賣	煙囪	房屋	0.573	0.377	0.401	0.304	0.153	0.147	0.209
買賣	安全	建築師	房屋	0.573	0.401	0.285	0.379	0.232	0.169	0.091
貸款	家	地基	房屋	0.571	0.428	0.275	0.452	0.174	0.234	0.177
貸款	家人	地基	房屋	0.571	0.428	0.311	0.452	0.15	0.234	0.237
買賣	家	高樓	房屋	0.568	0.401	0.275	0.384	0.135	0.181	0.177
貸款	居住	煙囪	房屋	0.564	0.428	0.447	0.304	0.223	0.243	0.15
家人	仲介	樓梯	房屋	0.563	0.311	0.48	0.324	0.22	0.173	0.159
家庭	買賣	屋頂	房屋	0.553	0.377	0.401	0.414	0.153	0.241	0.246
家	仲介	別墅	房屋	0.55	0.275	0.48	0.442	0.213	0.236	0.198
家	地基	車子	房屋	0.549	0.275	0.452	0.352	0.177	0.175	0.179
買賣	家人	屋頂	房屋	0.549	0.401	0.311	0.414	0.131	0.246	0.201
家	建築師	仲介	房屋	0.545	0.275	0.379	0.48	0.131	0.213	0.245
買賣	安全	地基	房屋	0.543	0.401	0.285	0.452	0.232	0.131	0.233
安全	仲介	樓梯	房屋	0.542	0.285	0.48	0.324	0.16	0.228	0.159
買賣	煙囪	住所	房屋	0.541	0.401	0.304	0.447	0.209	0.21	0.192
建築師	仲介	車子	房屋	0.54	0.379	0.48	0.352	0.245	0.227	0.2
居住	建築師	車子	房屋	0.536	0.447	0.379	0.352	0.245	0.171	0.227
買賣	家	樓梯	房屋	0.536	0.401	0.275	0.324	0.135	0.229	0.1
買賣	公寓	煙囪	房屋	0.535	0.401	0.48	0.304	0.216	0.209	0.225
家	地基	樓梯	房屋	0.532	0.275	0.452	0.324	0.177	0.1	0.243
家庭	買賣	樓梯	房屋	0.531	0.377	0.401	0.324	0.153	0.189	0.229
安全	煙囪	地價	房屋	0.529	0.285	0.304	0.38	0.103	0.115	0.222
買賣	家人	煙囪	房屋	0.529	0.401	0.311	0.304	0.131	0.209	0.147
家人	煙囪	地價	房屋	0.527	0.311	0.304	0.38	0.147	0.099	0.222
家	仲介	車子	房屋	0.52	0.275	0.48	0.352	0.213	0.175	0.2
安全	公寓	煙囪	房屋	0.517	0.285	0.48	0.304	0.224	0.103	0.225
居住	煙囪	地價	房屋	0.517	0.447	0.304	0.38	0.15	0.243	0.222
貸款	住家	煙囪	房屋	0.516	0.428	0.432	0.304	0.17	0.243	0.236
