				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
關節	指甲油	手	手指	0.643	0.391	0.357	0.426	0.135	0.21	0.185
靈活	指甲油	手	手指	0.625	0.279	0.357	0.426	0.079	0.171	0.185
指甲油	手	肢體	手指	0.605	0.357	0.426	0.364	0.185	0.15	0.207
指甲油	彈琴	手	手指	0.593	0.357	0.331	0.426	0.16	0.185	0.174
靈活	器官	指甲油	手指	0.582	0.279	0.324	0.357	0.1	0.079	0.198
指甲油	細長	手	手指	0.574	0.357	0.329	0.426	0.152	0.185	0.201
戒指	彈琴	細長	手指	0.571	0.411	0.331	0.329	0.149	0.168	0.183
戒指	彈琴	肢體	手指	0.561	0.411	0.331	0.364	0.149	0.146	0.25
修長	器官	手	手指	0.545	0.387	0.324	0.426	0.121	0.248	0.224
戒指	靈活	器官	手指	0.544	0.411	0.279	0.324	0.138	0.231	0.1
戒指	器官	彈琴	手指	0.543	0.411	0.324	0.331	0.231	0.149	0.143
戒指	修長	器官	手指	0.542	0.411	0.387	0.324	0.228	0.231	0.121
修長	器官	指甲油	手指	0.541	0.387	0.324	0.357	0.121	0.209	0.198
器官	彈琴	手	手指	0.54	0.324	0.331	0.426	0.143	0.224	0.174
靈巧	器官	指甲油	手指	0.536	0.369	0.324	0.357	0.159	0.157	0.198
靈活	器官	手	手指	0.533	0.279	0.324	0.426	0.1	0.171	0.224
修長	指甲油	手	手指	0.528	0.387	0.357	0.426	0.209	0.248	0.185
彈琴	細長	手	手指	0.528	0.331	0.329	0.426	0.183	0.174	0.201
戒指	靈活	彈琴	手指	0.526	0.411	0.279	0.331	0.138	0.149	0.207
纖細	器官	指甲油	手指	0.524	0.338	0.324	0.357	0.143	0.154	0.198
戒指	器官	細長	手指	0.522	0.411	0.324	0.329	0.231	0.168	0.143
戒指	寫字	器官	手指	0.522	0.411	0.312	0.324	0.137	0.231	0.156
指甲油	彈琴	細長	手指	0.522	0.357	0.331	0.329	0.16	0.152	0.183
靈活	指甲油	彈琴	手指	0.52	0.279	0.357	0.331	0.079	0.207	0.16
寫字	指甲油	手	手指	0.518	0.312	0.357	0.426	0.197	0.194	0.185
器官	指甲油	細長	手指	0.517	0.324	0.357	0.329	0.198	0.143	0.152
器官	彈琴	細長	手指	0.516	0.324	0.331	0.329	0.143	0.143	0.183
器官	細長	手	手指	0.512	0.324	0.329	0.426	0.143	0.224	0.201
器官	指甲油	彈琴	手指	0.511	0.324	0.357	0.331	0.198	0.143	0.16
戒指	靈巧	器官	手指	0.503	0.411	0.369	0.324	0.21	0.231	0.159
戒指	指紋	肢體	手指	0.5	0.411	0.351	0.364	0.242	0.146	0.238
器官	指甲油	手	手指	0.5	0.324	0.357	0.426	0.198	0.224	0.185
戒指	靈活	人體	手指	0.498	0.411	0.279	0.268	0.138	0.126	0.195
指甲油	手	人體	手指	0.493	0.357	0.426	0.268	0.185	0.212	0.161
鍵盤	指甲油	細長	手指	0.493	0.418	0.357	0.329	0.228	0.232	0.152
指甲油	彈琴	肢體	手指	0.492	0.357	0.331	0.364	0.16	0.15	0.25
戒指	纖細	器官	手指	0.491	0.411	0.338	0.324	0.208	0.231	0.143
修長	器官	指紋	手指	0.49	0.387	0.324	0.351	0.121	0.239	0.213
