				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
刺青	有力	啞鈴	手臂	0.812	0.475	0.273	0.334	0.034	0.133	0.103
粗細	刺青	有力	手臂	0.803	0.371	0.475	0.273	0.147	0.136	0.034
刺青	力量	粗	手臂	0.773	0.475	0.327	0.388	0.18	0.184	0.052
刺青	力量	細長	手臂	0.762	0.475	0.327	0.334	0.18	0.107	0.086
刺青	啞鈴	粗	手臂	0.748	0.475	0.334	0.388	0.133	0.184	0.132
刺青	有力	腳	手臂	0.742	0.475	0.273	0.315	0.034	0.135	0.152
刺青	身體	有力	手臂	0.734	0.475	0.402	0.273	0.19	0.034	0.191
刺青	身體	粗	手臂	0.727	0.475	0.402	0.388	0.19	0.184	0.163
刺青	腳掌	有力	手臂	0.724	0.475	0.356	0.273	0.173	0.034	0.173
刺青	投球	細長	手臂	0.72	0.475	0.334	0.334	0.188	0.107	0.127
粗壯	刺青	投球	手臂	0.719	0.413	0.475	0.334	0.153	0.162	0.188
刺青	投球	有力	手臂	0.716	0.475	0.334	0.273	0.188	0.034	0.144
刺青	投球	粗	手臂	0.707	0.475	0.334	0.388	0.188	0.184	0.118
力量	投球	粗	手臂	0.706	0.327	0.334	0.388	0.172	0.052	0.118
粗壯	刺青	力量	手臂	0.704	0.413	0.475	0.327	0.153	0.178	0.18
粗細	刺青	力量	手臂	0.694	0.371	0.475	0.327	0.147	0.152	0.18
刺青	力量	腳	手臂	0.693	0.475	0.327	0.315	0.18	0.135	0.108
粗細	刺青	投球	手臂	0.691	0.371	0.475	0.334	0.147	0.155	0.188
刺青	有力	細長	手臂	0.691	0.475	0.273	0.334	0.034	0.107	0.25
力量	啞鈴	粗	手臂	0.689	0.327	0.334	0.388	0.175	0.052	0.132
刺青	投球	腳	手臂	0.687	0.475	0.334	0.315	0.188	0.135	0.113
刺青	腳掌	粗	手臂	0.68	0.475	0.356	0.388	0.173	0.184	0.182
刺青	腳掌	投球	手臂	0.675	0.475	0.356	0.334	0.173	0.188	0.128
刺青	腳	粗大	手臂	0.674	0.475	0.315	0.432	0.135	0.232	0.181
強壯	刺青	投球	手臂	0.668	0.34	0.475	0.334	0.097	0.195	0.188
刺青	啞鈴	粗大	手臂	0.667	0.475	0.334	0.432	0.133	0.232	0.208
刺青	腳掌	粗大	手臂	0.658	0.475	0.356	0.432	0.173	0.232	0.199
力量	腳掌	粗	手臂	0.658	0.327	0.356	0.388	0.178	0.052	0.182
腳掌	投球	粗	手臂	0.649	0.356	0.334	0.388	0.128	0.182	0.118
刺青	力量	啞鈴	手臂	0.647	0.475	0.327	0.334	0.18	0.133	0.175
投手	腳掌	粗	手臂	0.642	0.33	0.356	0.388	0.123	0.126	0.182
投手	腳	粗大	手臂	0.635	0.33	0.315	0.432	0.079	0.181	0.181
刺青	投球	粗大	手臂	0.63	0.475	0.334	0.432	0.188	0.232	0.191
投球	細長	酸痛	手臂	0.63	0.334	0.334	0.491	0.127	0.243	0.158
投球	身體	粗	手臂	0.626	0.334	0.402	0.388	0.216	0.118	0.163
刺青	力量	腳掌	手臂	0.626	0.475	0.327	0.356	0.18	0.173	0.178
力量	投手	粗	手臂	0.623	0.327	0.33	0.388	0.243	0.052	0.126
刺青	投球	身體	手臂	0.616	0.475	0.334	0.402	0.188	0.19	0.216
投手	腳掌	粗大	手臂	0.614	0.33	0.356	0.432	0.123	0.181	0.199
刺青	投球	啞鈴	手臂	0.612	0.475	0.334	0.334	0.188	0.133	0.21
投手	身體	粗	手臂	0.61	0.33	0.402	0.388	0.22	0.126	0.163
力量	投球	細長	手臂	0.609	0.327	0.334	0.334	0.172	0.086	0.127
腳掌	投球	粗大	手臂	0.603	0.356	0.334	0.432	0.128	0.199	0.191
力量	投手	細長	手臂	0.596	0.327	0.33	0.334	0.243	0.086	0.065
投球	啞鈴	粗	手臂	0.596	0.334	0.334	0.388	0.21	0.118	0.132
刺青	力量	投球	手臂	0.595	0.475	0.327	0.334	0.18	0.188	0.172
投球	腳	粗大	手臂	0.595	0.334	0.315	0.432	0.113	0.191	0.181
力量	投球	腳	手臂	0.581	0.327	0.334	0.315	0.172	0.108	0.113
刺青	力量	粗大	手臂	0.58	0.475	0.327	0.432	0.18	0.232	0.241
粗細	有力	骨折	手臂	0.58	0.371	0.273	0.47	0.136	0.247	0.152
腳掌	投球	肉	手臂	0.562	0.356	0.334	0.282	0.128	0.187	0.094
粗細	投球	酸痛	手臂	0.562	0.371	0.334	0.491	0.155	0.237	0.243
肉	細長	骨折	手臂	0.561	0.282	0.334	0.47	0.167	0.232	0.126
粗壯	力量	投球	手臂	0.561	0.413	0.327	0.334	0.178	0.162	0.172
投球	肉	細長	手臂	0.56	0.334	0.282	0.334	0.094	0.127	0.167
投手	啞鈴	粗	手臂	0.554	0.33	0.334	0.388	0.239	0.126	0.132
粗細	力量	投球	手臂	0.553	0.371	0.327	0.334	0.152	0.155	0.172
有力	細長	骨折	手臂	0.55	0.273	0.334	0.47	0.25	0.152	0.126
粗細	投手	有力	手臂	0.547	0.371	0.33	0.273	0.149	0.136	0.142
投手	有力	腳	手臂	0.544	0.33	0.273	0.315	0.142	0.079	0.152
粗細	投球	有力	手臂	0.543	0.371	0.334	0.273	0.155	0.136	0.144
力量	腳	粗大	手臂	0.542	0.327	0.315	0.432	0.108	0.241	0.181
粗細	投球	肉	手臂	0.541	0.371	0.334	0.282	0.155	0.197	0.094
力量	投手	腳	手臂	0.54	0.327	0.33	0.315	0.243	0.108	0.079
力量	腳掌	投球	手臂	0.538	0.327	0.356	0.334	0.178	0.172	0.128
投球	肉	腳	手臂	0.538	0.334	0.282	0.315	0.094	0.113	0.185
粗壯	投球	肉	手臂	0.535	0.413	0.334	0.282	0.162	0.236	0.094
投球	肉	有力	手臂	0.533	0.334	0.282	0.273	0.094	0.144	0.117
投手	肉	細長	手臂	0.532	0.33	0.282	0.334	0.182	0.065	0.167
肉	有力	骨折	手臂	0.524	0.282	0.273	0.47	0.117	0.232	0.152
