				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
白布條	暴動	激烈	抗議	0.78	0.416	0.485	0.374	0.203	0.104	0.187
白布條	民眾	激烈	抗議	0.725	0.416	0.417	0.374	0.245	0.104	0.133
勞工	不服	舉牌	抗議	0.718	0.376	0.283	0.398	0.069	0.156	0.114
無效	立法院	暴動	抗議	0.716	0.427	0.257	0.485	0.112	0.234	0.106
白布條	暴動	不服	抗議	0.707	0.416	0.485	0.283	0.203	0.118	0.156
布條	舉牌	不公	抗議	0.7	0.342	0.398	0.378	0.192	0.049	0.178
白布條	無效	政府	抗議	0.688	0.416	0.427	0.28	0.204	0.137	0.092
無效	勞工	舉牌	抗議	0.687	0.427	0.376	0.398	0.133	0.224	0.156
白布條	無效	暴動	抗議	0.686	0.416	0.427	0.485	0.204	0.203	0.234
白布條	無效	不公	抗議	0.68	0.416	0.427	0.378	0.204	0.101	0.234
無效	勞工	激烈	抗議	0.68	0.427	0.376	0.374	0.133	0.247	0.117
民眾	無效	激烈	抗議	0.669	0.417	0.427	0.374	0.168	0.133	0.247
白布條	立法院	暴動	抗議	0.667	0.416	0.257	0.485	0.182	0.203	0.106
勞工	舉牌	激烈	抗議	0.663	0.376	0.398	0.374	0.156	0.117	0.212
白布條	民眾	不公	抗議	0.662	0.416	0.417	0.378	0.245	0.101	0.203
白布條	無效	激烈	抗議	0.661	0.416	0.427	0.374	0.204	0.104	0.247
布條	舉牌	激烈	抗議	0.66	0.342	0.398	0.374	0.192	0.05	0.212
布條	不服	舉牌	抗議	0.658	0.342	0.283	0.398	0.059	0.192	0.114
勞工	遊街	激烈	抗議	0.654	0.376	0.379	0.374	0.187	0.117	0.172
白布條	政府	激烈	抗議	0.654	0.416	0.28	0.374	0.137	0.104	0.175
立法院	暴動	不服	抗議	0.653	0.257	0.485	0.283	0.106	0.11	0.156
無效	勞工	遊街	抗議	0.646	0.427	0.376	0.379	0.133	0.216	0.187
無效	暴動	政府	抗議	0.642	0.427	0.485	0.28	0.234	0.092	0.222
白布條	民眾	無效	抗議	0.642	0.416	0.417	0.427	0.245	0.204	0.168
無效	政府	舉牌	抗議	0.638	0.427	0.28	0.398	0.092	0.224	0.151
布條	政府	激烈	抗議	0.634	0.342	0.28	0.374	0.137	0.05	0.175
民眾	遊街	激烈	抗議	0.633	0.417	0.379	0.374	0.232	0.133	0.172
白布條	激烈	民進黨	抗議	0.631	0.416	0.374	0.33	0.104	0.237	0.148
暴動	激烈	民進黨	抗議	0.631	0.485	0.374	0.33	0.187	0.223	0.148
白布條	政府	不公	抗議	0.626	0.416	0.28	0.378	0.137	0.101	0.208
白布條	暴動	政府	抗議	0.618	0.416	0.485	0.28	0.203	0.137	0.222
布條	立法院	不公	抗議	0.618	0.342	0.257	0.378	0.12	0.049	0.191
白布條	民眾	不服	抗議	0.617	0.416	0.417	0.283	0.245	0.118	0.136
無效	暴動	激烈	抗議	0.617	0.427	0.485	0.374	0.234	0.247	0.187
民眾	無效	不公	抗議	0.616	0.417	0.427	0.378	0.168	0.203	0.234
無效	街頭	不公	抗議	0.614	0.427	0.406	0.378	0.19	0.234	0.171
無效	街頭	激烈	抗議	0.61	0.427	0.406	0.374	0.19	0.247	0.159
民眾	無效	遊街	抗議	0.607	0.417	0.427	0.379	0.168	0.232	0.216
立法院	暴動	激烈	抗議	0.606	0.257	0.485	0.374	0.106	0.216	0.187
布條	政府	不公	抗議	0.606	0.342	0.28	0.378	0.137	0.049	0.208
勞工	舉牌	不公	抗議	0.605	0.376	0.398	0.378	0.156	0.213	0.178
無效	政府	遊街	抗議	0.605	0.427	0.28	0.379	0.092	0.216	0.173
白布條	無效	立法院	抗議	0.602	0.416	0.427	0.257	0.204	0.182	0.112
無效	勞工	不公	抗議	0.6	0.427	0.376	0.378	0.133	0.234	0.213
布條	立法院	不服	抗議	0.594	0.342	0.257	0.283	0.12	0.059	0.11
暴動	不服	民進黨	抗議	0.589	0.485	0.283	0.33	0.156	0.223	0.131
無效	街頭	政府	抗議	0.588	0.427	0.406	0.28	0.19	0.092	0.241
白布條	民進黨	不公	抗議	0.588	0.416	0.33	0.378	0.237	0.101	0.198
布條	立法院	激烈	抗議	0.587	0.342	0.257	0.374	0.12	0.05	0.216
白布條	立法院	不公	抗議	0.577	0.416	0.257	0.378	0.182	0.101	0.191
白布條	政府	鬥爭	抗議	0.569	0.416	0.28	0.378	0.137	0.204	0.163
白布條	暴動	民進黨	抗議	0.568	0.416	0.485	0.33	0.203	0.237	0.223
無效	舉牌	不公	抗議	0.567	0.427	0.398	0.378	0.224	0.234	0.178
無效	政府	激烈	抗議	0.567	0.427	0.28	0.374	0.092	0.247	0.175
群眾	無效	激烈	抗議	0.565	0.337	0.427	0.374	0.193	0.132	0.247
遊街	激烈	民進黨	抗議	0.565	0.379	0.374	0.33	0.172	0.198	0.148
勞工	不服	遊街	抗議	0.565	0.376	0.283	0.379	0.069	0.187	0.218
白布條	立法院	鬥爭	抗議	0.561	0.416	0.257	0.378	0.182	0.204	0.103
暴動	政府	激烈	抗議	0.555	0.485	0.28	0.374	0.222	0.187	0.175
白布條	不服	鬥爭	抗議	0.554	0.416	0.283	0.378	0.118	0.204	0.201
暴力	勞工	舉牌	抗議	0.553	0.36	0.376	0.398	0.208	0.217	0.156
白布條	政府	不服	抗議	0.551	0.416	0.28	0.283	0.137	0.118	0.173
無效	政府	不公	抗議	0.549	0.427	0.28	0.378	0.092	0.234	0.208
白布條	立法院	不服	抗議	0.546	0.416	0.257	0.283	0.182	0.118	0.11
無效	遊街	激烈	抗議	0.545	0.427	0.379	0.374	0.216	0.247	0.172
白布條	立法院	激烈	抗議	0.545	0.416	0.257	0.374	0.182	0.104	0.216
白布條	不服	民進黨	抗議	0.543	0.416	0.283	0.33	0.118	0.237	0.131
布條	政府	舉牌	抗議	0.54	0.342	0.28	0.398	0.137	0.192	0.151
布條	政府	不服	抗議	0.537	0.342	0.28	0.283	0.137	0.059	0.173
群眾	無效	不公	抗議	0.535	0.337	0.427	0.378	0.193	0.179	0.234
無效	立法院	遊街	抗議	0.529	0.427	0.257	0.379	0.112	0.216	0.206
無效	立法院	不公	抗議	0.525	0.427	0.257	0.378	0.112	0.234	0.191
布條	暴力	舉牌	抗議	0.523	0.342	0.36	0.398	0.168	0.192	0.217
政府	不服	舉牌	抗議	0.523	0.28	0.283	0.398	0.173	0.151	0.114
不服	舉牌	鬥爭	抗議	0.522	0.283	0.398	0.378	0.114	0.201	0.221
政府	舉牌	鬥爭	抗議	0.521	0.28	0.398	0.378	0.151	0.163	0.221
政府	舉牌	不公	抗議	0.519	0.28	0.398	0.378	0.151	0.208	0.178
無效	舉牌	激烈	抗議	0.516	0.427	0.398	0.374	0.224	0.247	0.212
無效	立法院	舉牌	抗議	0.515	0.427	0.257	0.398	0.112	0.224	0.231
政府	舉牌	激烈	抗議	0.515	0.28	0.398	0.374	0.151	0.175	0.212
政府	遊街	激烈	抗議	0.514	0.28	0.379	0.374	0.173	0.175	0.172
布條	暴力	不服	抗議	0.511	0.342	0.36	0.283	0.168	0.059	0.247
白布條	暴力	不服	抗議	0.509	0.416	0.36	0.283	0.185	0.118	0.247
立法院	不服	鬥爭	抗議	0.503	0.257	0.283	0.378	0.11	0.103	0.201
暴動	政府	不服	抗議	0.497	0.485	0.28	0.283	0.222	0.156	0.173
暴力	勞工	不服	抗議	0.496	0.36	0.376	0.283	0.208	0.247	0.069
民眾	不服	遊街	抗議	0.493	0.417	0.283	0.379	0.136	0.232	0.218
街頭	政府	激烈	抗議	0.485	0.406	0.28	0.374	0.241	0.159	0.175
無效	立法院	激烈	抗議	0.483	0.427	0.257	0.374	0.112	0.247	0.216
立法院	不服	舉牌	抗議	0.482	0.257	0.283	0.398	0.11	0.231	0.114
立法院	舉牌	鬥爭	抗議	0.477	0.257	0.398	0.378	0.231	0.103	0.221
立法院	鬥爭	遊街	抗議	0.47	0.257	0.378	0.379	0.103	0.206	0.233
政府	鬥爭	遊街	抗議	0.468	0.28	0.378	0.379	0.163	0.173	0.233
暴力	不服	舉牌	抗議	0.463	0.36	0.283	0.398	0.247	0.217	0.114
布條	立法院	舉牌	抗議	0.454	0.342	0.257	0.398	0.12	0.192	0.231
白布條	暴力	民進黨	抗議	0.448	0.416	0.36	0.33	0.185	0.237	0.236
不服	遊街	民進黨	抗議	0.445	0.283	0.379	0.33	0.218	0.131	0.198
街頭	政府	不公	抗議	0.442	0.406	0.28	0.378	0.241	0.171	0.208
街頭	政府	不服	抗議	0.434	0.406	0.28	0.283	0.241	0.121	0.173
立法院	舉牌	不公	抗議	0.433	0.257	0.398	0.378	0.231	0.191	0.178
立法院	遊街	激烈	抗議	0.415	0.257	0.379	0.374	0.206	0.216	0.172
政府	不服	鬥爭	抗議	0.404	0.28	0.283	0.378	0.173	0.163	0.201
不服	鬥爭	遊街	抗議	0.387	0.283	0.378	0.379	0.201	0.218	0.233
立法院	不服	遊街	抗議	0.384	0.257	0.283	0.379	0.11	0.206	0.218
政府	不服	遊街	抗議	0.379	0.28	0.283	0.379	0.173	0.173	0.218
立法院	舉牌	激烈	抗議	0.369	0.257	0.398	0.374	0.231	0.216	0.212
