				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
古董	降價	會場	拍賣	0.703	0.452	0.434	0.402	0.171	0.17	0.245
廉價	法院	會場	拍賣	0.659	0.306	0.371	0.402	0.043	0.184	0.192
法院	會場	二手貨	拍賣	0.654	0.371	0.402	0.424	0.192	0.125	0.225
法院	會場	低價	拍賣	0.641	0.371	0.402	0.406	0.192	0.119	0.226
特價	破產	物品	拍賣	0.636	0.35	0.449	0.325	0.211	0.166	0.112
會場	破產	物品	拍賣	0.636	0.402	0.449	0.325	0.222	0.207	0.112
法院	降價	會場	拍賣	0.632	0.371	0.434	0.402	0.138	0.192	0.245
古董	減價	會場	拍賣	0.621	0.452	0.362	0.402	0.208	0.17	0.217
古董	會場	低價	拍賣	0.617	0.452	0.402	0.406	0.17	0.247	0.226
跳樓	法院	二手貨	拍賣	0.578	0.351	0.371	0.424	0.195	0.246	0.125
減價	法院	會場	拍賣	0.559	0.362	0.371	0.402	0.167	0.217	0.192
降價	會場	商人	拍賣	0.532	0.434	0.402	0.273	0.245	0.188	0.144
降價	會場	房屋	拍賣	0.532	0.434	0.402	0.312	0.245	0.188	0.184
減價	房子	會場	拍賣	0.531	0.362	0.282	0.402	0.165	0.217	0.133
會場	破產	房屋	拍賣	0.527	0.402	0.449	0.312	0.222	0.184	0.231
會場	二手貨	房屋	拍賣	0.513	0.402	0.424	0.312	0.225	0.184	0.216
房子	降價	會場	拍賣	0.512	0.282	0.434	0.402	0.229	0.133	0.245
打折	法院	會場	拍賣	0.51	0.267	0.371	0.402	0.175	0.163	0.192
會場	低價	商人	拍賣	0.508	0.402	0.406	0.273	0.226	0.144	0.203
會場	低價	物品	拍賣	0.505	0.402	0.406	0.325	0.226	0.207	0.195
會場	破產	傢俱	拍賣	0.505	0.402	0.449	0.332	0.222	0.234	0.222
降價	會場	物品	拍賣	0.502	0.434	0.402	0.325	0.245	0.208	0.207
會場	二手貨	商人	拍賣	0.499	0.402	0.424	0.273	0.225	0.144	0.231
房子	會場	低價	拍賣	0.499	0.282	0.402	0.406	0.133	0.232	0.226
特價	破產	房屋	拍賣	0.498	0.35	0.449	0.312	0.211	0.172	0.231
減價	會場	商人	拍賣	0.498	0.362	0.402	0.273	0.217	0.178	0.144
打折	廉價	法院	拍賣	0.479	0.267	0.306	0.371	0.247	0.175	0.043
減價	會場	房屋	拍賣	0.478	0.362	0.402	0.312	0.217	0.198	0.184
會場	低價	房屋	拍賣	0.467	0.402	0.406	0.312	0.226	0.184	0.243
跳樓	法院	商品	拍賣	0.467	0.351	0.371	0.3	0.195	0.115	0.245
廉價	房子	會場	拍賣	0.463	0.306	0.282	0.402	0.209	0.184	0.133
降價	會場	傢俱	拍賣	0.461	0.434	0.402	0.332	0.245	0.229	0.234
減價	會場	物品	拍賣	0.458	0.362	0.402	0.325	0.217	0.208	0.207
廉價	會場	房屋	拍賣	0.456	0.306	0.402	0.312	0.184	0.196	0.184
特價	破產	傢俱	拍賣	0.451	0.35	0.449	0.332	0.211	0.248	0.222
廉價	會場	物品	拍賣	0.444	0.306	0.402	0.325	0.184	0.197	0.207
廉價	會場	商人	拍賣	0.438	0.306	0.402	0.273	0.184	0.215	0.144
跳樓	二手貨	房屋	拍賣	0.435	0.351	0.424	0.312	0.246	0.189	0.216
減價	會場	傢俱	拍賣	0.432	0.362	0.402	0.332	0.217	0.213	0.234
打折	會場	商人	拍賣	0.424	0.267	0.402	0.273	0.163	0.211	0.144
廉價	會場	傢俱	拍賣	0.398	0.306	0.402	0.332	0.184	0.224	0.234
跳樓	二手貨	商人	拍賣	0.398	0.351	0.424	0.273	0.246	0.172	0.231
打折	廉價	會場	拍賣	0.381	0.267	0.306	0.402	0.247	0.163	0.184
打折	廉價	商人	拍賣	0.173	0.267	0.306	0.273	0.247	0.211	0.215
