				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
看板	生意	響亮	招牌	0.743	0.47	0.402	0.352	0.204	0.126	0.152
霓虹燈	倒下	店家	招牌	0.737	0.396	0.289	0.471	0.099	0.201	0.12
看板	名氣	明亮	招牌	0.703	0.47	0.287	0.29	0.064	0.167	0.113
倒下	宣傳	店家	招牌	0.69	0.289	0.345	0.471	0.116	0.12	0.179
廣告	倒下	店家	招牌	0.68	0.402	0.289	0.471	0.129	0.233	0.12
霓虹燈	倒下	特色	招牌	0.678	0.396	0.289	0.47	0.099	0.21	0.167
牌坊	店家	響亮	招牌	0.667	0.35	0.471	0.352	0.202	0.159	0.145
看板	名氣	倒下	招牌	0.648	0.47	0.287	0.289	0.064	0.154	0.18
廣告	倒下	特色	招牌	0.645	0.402	0.289	0.47	0.129	0.219	0.167
看板	牌坊	響亮	招牌	0.642	0.47	0.35	0.352	0.245	0.126	0.159
倒下	店家	響亮	招牌	0.642	0.289	0.471	0.352	0.12	0.205	0.145
看板	名聲	明亮	招牌	0.629	0.47	0.25	0.29	0.079	0.167	0.136
看板	倒下	響亮	招牌	0.625	0.47	0.289	0.352	0.154	0.126	0.205
廣告	倒下	明亮	招牌	0.617	0.402	0.289	0.29	0.129	0.101	0.133
霓虹燈	生意	特色	招牌	0.617	0.396	0.402	0.47	0.192	0.21	0.248
霓虹燈	倒下	商家	招牌	0.609	0.396	0.289	0.345	0.099	0.187	0.135
廣告	明亮	店家	招牌	0.608	0.402	0.29	0.471	0.101	0.233	0.221
動作	看板	明亮	招牌	0.604	0.251	0.47	0.29	0.157	0.083	0.167
看板	響亮	名牌	招牌	0.604	0.47	0.352	0.38	0.126	0.231	0.241
看板	名氣	牌坊	招牌	0.603	0.47	0.287	0.35	0.064	0.245	0.195
宣傳	牌坊	店家	招牌	0.6	0.345	0.35	0.471	0.184	0.179	0.202
看板	名聲	名牌	招牌	0.598	0.47	0.25	0.38	0.079	0.231	0.193
看板	倒下	明亮	招牌	0.595	0.47	0.289	0.29	0.154	0.167	0.133
看板	名聲	倒下	招牌	0.594	0.47	0.25	0.289	0.079	0.154	0.183
看板	生意	名牌	招牌	0.589	0.47	0.402	0.38	0.204	0.231	0.229
倒下	壓克力	店家	招牌	0.589	0.289	0.256	0.471	0.106	0.12	0.202
倒下	牌坊	店家	招牌	0.589	0.289	0.35	0.471	0.199	0.12	0.202
商店	牌坊	響亮	招牌	0.586	0.363	0.35	0.352	0.234	0.086	0.159
動作	看板	名牌	招牌	0.586	0.251	0.47	0.38	0.157	0.127	0.231
看板	生意	明亮	招牌	0.584	0.47	0.402	0.29	0.204	0.167	0.208
動作	倒下	店家	招牌	0.583	0.251	0.289	0.471	0.17	0.138	0.12
生意	牌坊	響亮	招牌	0.583	0.402	0.35	0.352	0.211	0.152	0.159
倒下	麥當勞	特色	招牌	0.582	0.289	0.347	0.47	0.143	0.167	0.213
看板	倒下	名牌	招牌	0.582	0.47	0.289	0.38	0.154	0.231	0.172
麥當勞	牌坊	明亮	招牌	0.582	0.347	0.35	0.29	0.153	0.119	0.133
看板	明亮	名牌	招牌	0.58	0.47	0.29	0.38	0.167	0.231	0.162
名氣	倒下	店家	招牌	0.578	0.287	0.289	0.471	0.18	0.17	0.12
動作	看板	名氣	招牌	0.578	0.251	0.47	0.287	0.157	0.21	0.064
倒下	明亮	店家	招牌	0.577	0.289	0.29	0.471	0.133	0.12	0.221
霓虹燈	名氣	店家	招牌	0.576	0.396	0.287	0.471	0.208	0.201	0.17
