				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
觀眾	快樂	如雷	掌聲	0.737	0.452	0.346	0.434	0.246	0.191	0.059
舞台	快樂	如雷	掌聲	0.727	0.285	0.346	0.434	0.14	0.139	0.059
鼓勵	榮耀	如雷	掌聲	0.714	0.35	0.309	0.434	0.204	0.095	0.081
榮耀	觀眾	如雷	掌聲	0.705	0.309	0.452	0.434	0.219	0.081	0.191
拍手	榮耀	如雷	掌聲	0.693	0.377	0.309	0.434	0.104	0.243	0.081
鼓勵	舞台	如雷	掌聲	0.69	0.35	0.285	0.434	0.146	0.095	0.139
舞台	如雷	熱情	掌聲	0.68	0.285	0.434	0.366	0.139	0.127	0.139
觀眾	如雷	獎勵	掌聲	0.676	0.452	0.434	0.363	0.191	0.226	0.156
拍手	如雷	熱情	掌聲	0.67	0.377	0.434	0.366	0.243	0.126	0.139
榮譽	觀眾	如雷	掌聲	0.666	0.378	0.452	0.434	0.248	0.159	0.191
表演	快樂	如雷	掌聲	0.666	0.32	0.346	0.434	0.157	0.219	0.059
觀眾	如雷	結束	掌聲	0.658	0.452	0.434	0.345	0.191	0.237	0.145
觀眾	如雷	喜悅	掌聲	0.657	0.452	0.434	0.359	0.191	0.227	0.17
舞台	如雷	喜悅	掌聲	0.656	0.285	0.434	0.359	0.139	0.113	0.17
舞台	如雷	歡迎	掌聲	0.653	0.285	0.434	0.364	0.139	0.137	0.154
拍手	榮譽	如雷	掌聲	0.65	0.377	0.378	0.434	0.139	0.243	0.159
快樂	如雷	藝人	掌聲	0.649	0.346	0.434	0.253	0.059	0.227	0.099
肯定	快樂	如雷	掌聲	0.647	0.259	0.346	0.434	0.104	0.23	0.059
榮耀	如雷	結束	掌聲	0.645	0.309	0.434	0.345	0.081	0.218	0.145
拍手	快樂	如雷	掌聲	0.644	0.377	0.346	0.434	0.213	0.243	0.059
拍手	如雷	獎勵	掌聲	0.635	0.377	0.434	0.363	0.243	0.141	0.156
如雷	結束	藝人	掌聲	0.633	0.434	0.345	0.253	0.145	0.099	0.156
鼓勵	表演	如雷	掌聲	0.633	0.35	0.32	0.434	0.157	0.095	0.219
舞台	榮耀	如雷	掌聲	0.629	0.285	0.309	0.434	0.18	0.139	0.081
拍手	如雷	結束	掌聲	0.626	0.377	0.434	0.345	0.243	0.143	0.145
榮譽	如雷	結束	掌聲	0.623	0.378	0.434	0.345	0.159	0.231	0.145
舞台	如雷	獎勵	掌聲	0.616	0.285	0.434	0.363	0.139	0.171	0.156
如雷	喜悅	藝人	掌聲	0.616	0.434	0.359	0.253	0.17	0.099	0.162
鼓勵	如雷	精采	掌聲	0.612	0.35	0.434	0.291	0.095	0.127	0.242
拍手	榮耀	熱烈	掌聲	0.611	0.377	0.309	0.493	0.104	0.249	0.215
