				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
傢俱	辛苦	轉學	搬家	0.856	0.446	0.303	0.397	0.1	0.165	0.026
傢俱	辛苦	遷居	搬家	0.825	0.446	0.303	0.418	0.1	0.173	0.07
辛苦	轉學	房屋	搬家	0.79	0.303	0.397	0.376	0.026	0.11	0.15
傢俱	辛苦	遷離	搬家	0.76	0.446	0.303	0.298	0.1	0.125	0.062
辛苦	房子	轉學	搬家	0.752	0.303	0.462	0.397	0.194	0.026	0.19
辛苦	桌椅	遷居	搬家	0.743	0.303	0.306	0.418	0.184	0.07	0.029
傢俱	遷移	辛苦	搬家	0.736	0.446	0.367	0.303	0.16	0.1	0.121
公司	辛苦	轉學	搬家	0.726	0.409	0.303	0.397	0.206	0.151	0.026
辛苦	轉學	新屋	搬家	0.726	0.303	0.397	0.371	0.026	0.13	0.189
辛苦	桌椅	轉學	搬家	0.726	0.303	0.306	0.397	0.184	0.026	0.07
辛苦	遷居	房屋	搬家	0.701	0.303	0.418	0.376	0.07	0.11	0.217
貨車	辛苦	遷居	搬家	0.7	0.291	0.303	0.418	0.08	0.163	0.07
卡車	辛苦	轉學	搬家	0.7	0.256	0.303	0.397	0.076	0.154	0.026
桌椅	遷居	新屋	搬家	0.692	0.306	0.418	0.371	0.029	0.164	0.21
遷移	辛苦	新屋	搬家	0.683	0.367	0.303	0.371	0.121	0.108	0.13
辛苦	遷居	新屋	搬家	0.682	0.303	0.418	0.371	0.07	0.13	0.21
遷移	桌椅	新屋	搬家	0.681	0.367	0.306	0.371	0.091	0.108	0.164
工人	整理	轉學	搬家	0.677	0.303	0.292	0.397	0.103	0.058	0.155
傢俱	辛苦	遷徙	搬家	0.675	0.446	0.303	0.383	0.1	0.206	0.151
卡車	辛苦	遷居	搬家	0.674	0.256	0.303	0.418	0.076	0.157	0.07
公司	遷移	新屋	搬家	0.66	0.409	0.367	0.371	0.168	0.211	0.108
公司	桌椅	遷居	搬家	0.656	0.409	0.306	0.418	0.238	0.21	0.029
公司	桌椅	轉學	搬家	0.654	0.409	0.306	0.397	0.238	0.151	0.07
桌椅	轉學	新屋	搬家	0.651	0.306	0.397	0.371	0.07	0.164	0.189
貨車	辛苦	轉學	搬家	0.648	0.291	0.303	0.397	0.08	0.238	0.026
貨車	辛苦	遷離	搬家	0.647	0.291	0.303	0.298	0.08	0.103	0.062
公司	辛苦	遷居	搬家	0.644	0.409	0.303	0.418	0.206	0.21	0.07
遷移	辛苦	房子	搬家	0.638	0.367	0.303	0.462	0.121	0.179	0.194
卡車	辛苦	遷離	搬家	0.638	0.256	0.303	0.298	0.076	0.081	0.062
公司	遷徙	新屋	搬家	0.633	0.409	0.383	0.371	0.169	0.211	0.149
遷徙	桌椅	新屋	搬家	0.632	0.383	0.306	0.371	0.115	0.149	0.164
工人	遷徙	整理	搬家	0.631	0.303	0.383	0.292	0.113	0.103	0.132
麻煩	桌椅	遷居	搬家	0.631	0.266	0.306	0.418	0.098	0.232	0.029
辛苦	遷徙	新屋	搬家	0.626	0.303	0.383	0.371	0.151	0.13	0.149
公司	轉學	新屋	搬家	0.626	0.409	0.397	0.371	0.151	0.211	0.189
遷移	辛苦	房屋	搬家	0.615	0.367	0.303	0.376	0.121	0.201	0.11
麻煩	桌椅	新屋	搬家	0.612	0.266	0.306	0.371	0.098	0.068	0.164
辛苦	遷離	房屋	搬家	0.612	0.303	0.298	0.376	0.062	0.11	0.193
傢俱	整理	轉學	搬家	0.604	0.446	0.292	0.397	0.212	0.165	0.155
麻煩	公司	新屋	搬家	0.602	0.266	0.409	0.371	0.165	0.068	0.211
貨車	桌椅	遷居	搬家	0.593	0.291	0.306	0.418	0.23	0.163	0.029
辛苦	車子	遷居	搬家	0.591	0.303	0.285	0.418	0.134	0.07	0.211
卡車	桌椅	遷居	搬家	0.59	0.256	0.306	0.418	0.203	0.157	0.029
公司	遷移	桌椅	搬家	0.585	0.409	0.367	0.306	0.168	0.238	0.091
公司	遷移	辛苦	搬家	0.584	0.409	0.367	0.303	0.168	0.206	0.121
辛苦	房子	遷離	搬家	0.583	0.303	0.462	0.298	0.194	0.062	0.224
麻煩	傢俱	遷離	搬家	0.581	0.266	0.446	0.298	0.153	0.152	0.125
房子	整理	轉學	搬家	0.58	0.462	0.292	0.397	0.226	0.19	0.155
辛苦	遷徙	房屋	搬家	0.58	0.303	0.383	0.376	0.151	0.11	0.221
