				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
牧師	十字	玻璃	教堂	0.687	0.497	0.37	0.383	0.201	0.169	0.193
鐘聲	十字	玻璃	教堂	0.666	0.408	0.37	0.383	0.161	0.141	0.193
結婚	十字	玻璃	教堂	0.662	0.325	0.37	0.383	0.086	0.137	0.193
禱告	十字	玻璃	教堂	0.656	0.446	0.37	0.383	0.171	0.179	0.193
婚禮	十字	玻璃	教堂	0.651	0.439	0.37	0.383	0.165	0.184	0.193
禮拜	十字	玻璃	教堂	0.644	0.429	0.37	0.383	0.223	0.122	0.193
十字	玻璃	祈禱	教堂	0.636	0.37	0.383	0.411	0.193	0.193	0.142
莊嚴	十字	玻璃	教堂	0.519	0.297	0.37	0.383	0.158	0.181	0.193
十字	玻璃	詩歌	教堂	0.517	0.37	0.383	0.31	0.193	0.131	0.223
十字	玻璃	虔誠	教堂	0.502	0.37	0.383	0.313	0.193	0.242	0.129
十字	玻璃	聖潔	教堂	0.477	0.37	0.383	0.301	0.193	0.175	0.209
