				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
休息	戀人	旅客	旅館	0.519	0.272	0.384	0.342	0.043	0.235	0.202
侍者	戀人	舒適	旅館	0.516	0.287	0.384	0.4	0.212	0.122	0.22
旅遊	侍者	作愛	旅館	0.501	0.427	0.287	0.322	0.163	0.223	0.148
休息	侍者	戀人	旅館	0.497	0.272	0.287	0.384	0.191	0.043	0.212
休息	情侶	侍者	旅館	0.497	0.272	0.467	0.287	0.135	0.191	0.204
戀人	旅客	舒適	旅館	0.486	0.384	0.342	0.4	0.202	0.22	0.219
留宿	戀人	舒適	旅館	0.473	0.366	0.384	0.4	0.227	0.229	0.22
留宿	服務	作愛	旅館	0.465	0.366	0.419	0.322	0.201	0.241	0.2
侍者	服務	作愛	旅館	0.455	0.287	0.419	0.322	0.226	0.148	0.2
休息	旅遊	侍者	旅館	0.396	0.272	0.427	0.287	0.236	0.191	0.163
休息	服務	作愛	旅館	0.395	0.272	0.419	0.322	0.212	0.207	0.2
休息	旅遊	作愛	旅館	0.355	0.272	0.427	0.322	0.236	0.207	0.223
旅行	侍者	戀人	旅館	0.354	0.304	0.287	0.384	0.172	0.237	0.212
休息	侍者	服務	旅館	0.35	0.272	0.287	0.419	0.191	0.212	0.226
休息	旅客	作愛	旅館	0.341	0.272	0.342	0.322	0.235	0.207	0.154
休息	侍者	作愛	旅館	0.335	0.272	0.287	0.322	0.191	0.207	0.148
