				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
心情	隱私	記載	日記	0.658	0.325	0.35	0.464	0.175	0.086	0.22
私密	寫信	規律	日記	0.631	0.323	0.331	0.258	0.102	0.07	0.109
記憶	心得	筆	日記	0.623	0.414	0.314	0.336	0.093	0.244	0.104
記憶	心得	寫信	日記	0.615	0.414	0.314	0.331	0.093	0.194	0.157
私密	筆	寫信	日記	0.579	0.323	0.336	0.331	0.139	0.102	0.17
私密	記憶	寫信	日記	0.568	0.323	0.414	0.331	0.204	0.102	0.194
秘密	心情	記載	日記	0.566	0.311	0.325	0.464	0.236	0.212	0.086
心情	祕密	記載	日記	0.566	0.325	0.311	0.464	0.236	0.086	0.212
本子	記憶	寫信	日記	0.553	0.33	0.414	0.331	0.186	0.141	0.194
習慣	私密	寫信	日記	0.553	0.406	0.323	0.331	0.169	0.236	0.102
私密	筆	規律	日記	0.551	0.323	0.336	0.258	0.139	0.07	0.157
心得	筆	寫信	日記	0.551	0.314	0.336	0.331	0.104	0.157	0.17
本子	寫信	規律	日記	0.545	0.33	0.331	0.258	0.141	0.122	0.109
紀錄	本子	寫信	日記	0.544	0.398	0.33	0.331	0.182	0.191	0.141
紀錄	私密	寫信	日記	0.536	0.398	0.323	0.331	0.223	0.191	0.102
寫作	私密	本子	日記	0.536	0.499	0.323	0.33	0.139	0.241	0.236
秘密	心情	筆	日記	0.527	0.311	0.325	0.336	0.236	0.097	0.112
心情	祕密	筆	日記	0.527	0.325	0.311	0.336	0.236	0.112	0.097
心情	隱私	筆	日記	0.523	0.325	0.35	0.336	0.175	0.112	0.201
紀錄	心得	寫信	日記	0.517	0.398	0.314	0.331	0.177	0.191	0.157
心情	記憶	筆	日記	0.513	0.325	0.414	0.336	0.206	0.112	0.244
隱私	記載	心得	日記	0.513	0.35	0.464	0.314	0.22	0.185	0.211
隱私	心得	筆	日記	0.511	0.35	0.314	0.336	0.185	0.201	0.104
秘密	筆	寫信	日記	0.509	0.311	0.336	0.331	0.097	0.202	0.17
祕密	筆	寫信	日記	0.509	0.311	0.336	0.331	0.097	0.202	0.17
秘密	記憶	筆	日記	0.508	0.311	0.414	0.336	0.211	0.097	0.244
祕密	記憶	筆	日記	0.508	0.311	0.414	0.336	0.211	0.097	0.244
心事	記憶	筆	日記	0.506	0.294	0.414	0.336	0.158	0.136	0.244
私密	本子	記載	日記	0.505	0.323	0.33	0.464	0.236	0.13	0.245
私密	本子	寫信	日記	0.505	0.323	0.33	0.331	0.236	0.102	0.141
心事	紀錄	寫信	日記	0.498	0.294	0.398	0.331	0.128	0.205	0.191
心情	筆	寫信	日記	0.495	0.325	0.336	0.331	0.112	0.214	0.17
心情	紀錄	寫信	日記	0.495	0.325	0.398	0.331	0.153	0.214	0.191
筆	寫信	規律	日記	0.488	0.336	0.331	0.258	0.17	0.157	0.109
生活	紀錄	寫信	日記	0.487	0.308	0.398	0.331	0.171	0.187	0.191
私密	記憶	筆	日記	0.485	0.323	0.414	0.336	0.204	0.139	0.244
習慣	本子	寫信	日記	0.484	0.406	0.33	0.331	0.205	0.236	0.141
心情	筆	規律	日記	0.483	0.325	0.336	0.258	0.112	0.166	0.157
私密	本子	規律	日記	0.483	0.323	0.33	0.258	0.236	0.07	0.122
心事	記憶	寫信	日記	0.482	0.294	0.414	0.331	0.158	0.205	0.194
心事	筆	規律	日記	0.473	0.294	0.336	0.258	0.136	0.121	0.157
記憶	筆	寫信	日記	0.472	0.414	0.336	0.331	0.244	0.194	0.17
