				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
開始	早安	露水	早晨	0.826	0.326	0.47	0.376	0.149	0.056	0.142
早安	安靜	露水	早晨	0.75	0.47	0.257	0.376	0.165	0.142	0.045
早安	吃飯	露水	早晨	0.729	0.47	0.271	0.376	0.13	0.142	0.116
清新	開始	黑夜	早晨	0.722	0.332	0.326	0.395	0.053	0.16	0.117
開始	露珠	慢跑	早晨	0.72	0.326	0.39	0.34	0.097	0.117	0.123
開始	慢跑	露水	早晨	0.719	0.326	0.34	0.376	0.117	0.056	0.151
開始	早安	黑夜	早晨	0.697	0.326	0.47	0.395	0.149	0.117	0.229
希望	早安	露水	早晨	0.697	0.256	0.47	0.376	0.201	0.062	0.142
開始	露珠	早安	早晨	0.696	0.326	0.39	0.47	0.097	0.149	0.245
清爽	開始	黑夜	早晨	0.693	0.311	0.326	0.395	0.065	0.157	0.117
美好	開始	露珠	早晨	0.662	0.338	0.326	0.39	0.093	0.203	0.097
早安	睡覺	露水	早晨	0.654	0.47	0.372	0.376	0.2	0.142	0.221
清爽	開始	早安	早晨	0.646	0.311	0.326	0.47	0.065	0.248	0.149
慢跑	早安	露水	早晨	0.644	0.34	0.47	0.376	0.249	0.151	0.142
新鮮	早安	黑夜	早晨	0.639	0.281	0.47	0.395	0.176	0.102	0.229
清爽	開始	晨曦	早晨	0.634	0.311	0.326	0.426	0.065	0.236	0.127
開始	慢跑	晨曦	早晨	0.634	0.326	0.34	0.426	0.117	0.127	0.214
早安	清醒	露水	早晨	0.623	0.47	0.327	0.376	0.216	0.142	0.193
開始	慢跑	早安	早晨	0.622	0.326	0.34	0.47	0.117	0.149	0.249
早安	黑夜	吃飯	早晨	0.614	0.47	0.395	0.271	0.229	0.13	0.163
美好	開始	慢跑	早晨	0.61	0.338	0.326	0.34	0.093	0.186	0.117
慢跑	新鮮	晨曦	早晨	0.598	0.34	0.281	0.426	0.136	0.214	0.099
太陽	早安	清醒	早晨	0.593	0.291	0.47	0.327	0.227	0.053	0.216
開始	清醒	露水	早晨	0.593	0.326	0.327	0.376	0.187	0.056	0.193
希望	吃飯	露水	早晨	0.591	0.256	0.271	0.376	0.133	0.062	0.116
希望	安靜	露水	早晨	0.588	0.256	0.257	0.376	0.192	0.062	0.045
露珠	早安	吃飯	早晨	0.587	0.39	0.47	0.271	0.245	0.169	0.13
露珠	慢跑	早安	早晨	0.583	0.39	0.34	0.47	0.123	0.245	0.249
新鮮	早安	露水	早晨	0.579	0.281	0.47	0.376	0.176	0.229	0.142
開始	露珠	清醒	早晨	0.576	0.326	0.39	0.327	0.097	0.187	0.183
露珠	早安	睡覺	早晨	0.574	0.39	0.47	0.372	0.245	0.213	0.2
開始	早安	清醒	早晨	0.571	0.326	0.47	0.327	0.149	0.187	0.216
希望	慢跑	露水	早晨	0.571	0.256	0.34	0.376	0.187	0.062	0.151
開始	清醒	晨曦	早晨	0.569	0.326	0.327	0.426	0.187	0.127	0.195
露珠	早安	安靜	早晨	0.568	0.39	0.47	0.257	0.245	0.138	0.165
開始	鳥叫	晨曦	早晨	0.568	0.326	0.313	0.426	0.187	0.127	0.183
清新	黑夜	吃飯	早晨	0.566	0.332	0.395	0.271	0.16	0.108	0.163
慢跑	早安	朝陽	早晨	0.565	0.34	0.47	0.277	0.249	0.088	0.185
早安	朝陽	露水	早晨	0.563	0.47	0.277	0.376	0.185	0.142	0.233
希望	露珠	慢跑	早晨	0.562	0.256	0.39	0.34	0.114	0.187	0.123
美好	開始	鳥叫	早晨	0.561	0.338	0.326	0.313	0.093	0.137	0.187
美好	露珠	慢跑	早晨	0.557	0.338	0.39	0.34	0.203	0.186	0.123
希望	露珠	早安	早晨	0.556	0.256	0.39	0.47	0.114	0.201	0.245
希望	睡覺	露水	早晨	0.556	0.256	0.372	0.376	0.164	0.062	0.221
希望	黃昏	慢跑	早晨	0.547	0.256	0.465	0.34	0.106	0.187	0.221
早安	朝陽	清醒	早晨	0.545	0.47	0.277	0.327	0.185	0.216	0.129
露珠	慢跑	睡覺	早晨	0.545	0.39	0.34	0.372	0.123	0.213	0.222
露珠	早安	清醒	早晨	0.543	0.39	0.47	0.327	0.245	0.183	0.216
清爽	早安	黑夜	早晨	0.543	0.311	0.47	0.395	0.248	0.157	0.229
早安	涼爽	露水	早晨	0.537	0.47	0.282	0.376	0.201	0.142	0.248
開始	鳥叫	早安	早晨	0.534	0.326	0.313	0.47	0.187	0.149	0.24
露珠	慢跑	清醒	早晨	0.534	0.39	0.34	0.327	0.123	0.183	0.218
希望	早安	吃飯	早晨	0.533	0.256	0.47	0.271	0.201	0.133	0.13
希望	早安	睡覺	早晨	0.533	0.256	0.47	0.372	0.201	0.164	0.2
希望	黃昏	清爽	早晨	0.532	0.256	0.465	0.311	0.106	0.173	0.221
希望	早安	黑夜	早晨	0.532	0.256	0.47	0.395	0.201	0.16	0.229
太陽	慢跑	清醒	早晨	0.531	0.291	0.34	0.327	0.157	0.053	0.218
早安	露水	空氣	早晨	0.53	0.47	0.376	0.257	0.142	0.203	0.227
慢跑	新鮮	早安	早晨	0.53	0.34	0.281	0.47	0.136	0.249	0.176
慢跑	睡覺	晨曦	早晨	0.528	0.34	0.372	0.426	0.222	0.214	0.174
慢跑	安靜	露水	早晨	0.527	0.34	0.257	0.376	0.249	0.151	0.045
清新	希望	黃昏	早晨	0.527	0.332	0.256	0.465	0.222	0.197	0.106
希望	露珠	睡覺	早晨	0.527	0.256	0.39	0.372	0.114	0.164	0.213
開始	慢跑	天空	早晨	0.527	0.326	0.34	0.315	0.117	0.135	0.203
慢跑	吃飯	露水	早晨	0.524	0.34	0.271	0.376	0.196	0.151	0.116
慢跑	朝陽	露水	早晨	0.521	0.34	0.277	0.376	0.088	0.151	0.233
陽光	早安	清醒	早晨	0.521	0.306	0.47	0.327	0.241	0.126	0.216
美好	露珠	睡覺	早晨	0.519	0.338	0.39	0.372	0.203	0.165	0.213
露珠	慢跑	吃飯	早晨	0.514	0.39	0.34	0.271	0.123	0.169	0.196
清新	太陽	開始	早晨	0.514	0.332	0.291	0.326	0.15	0.053	0.232
黃昏	慢跑	清醒	早晨	0.513	0.465	0.34	0.327	0.221	0.181	0.218
露珠	慢跑	新鮮	早晨	0.512	0.39	0.34	0.281	0.123	0.24	0.136
慢跑	早安	睡覺	早晨	0.511	0.34	0.47	0.372	0.249	0.222	0.2
慢跑	朝陽	清醒	早晨	0.51	0.34	0.277	0.327	0.088	0.218	0.129
慢跑	晨曦	吃飯	早晨	0.509	0.34	0.426	0.271	0.214	0.196	0.118
太陽	美好	開始	早晨	0.508	0.291	0.338	0.326	0.122	0.232	0.093
慢跑	早安	吃飯	早晨	0.506	0.34	0.47	0.271	0.249	0.196	0.13
清爽	早安	睡覺	早晨	0.505	0.311	0.47	0.372	0.248	0.199	0.2
早安	朝陽	黑夜	早晨	0.505	0.47	0.277	0.395	0.185	0.229	0.224
太陽	美好	慢跑	早晨	0.504	0.291	0.338	0.34	0.122	0.157	0.186
希望	早安	朝陽	早晨	0.503	0.256	0.47	0.277	0.201	0.114	0.185
希望	露珠	吃飯	早晨	0.502	0.256	0.39	0.271	0.114	0.133	0.169
清爽	早安	吃飯	早晨	0.501	0.311	0.47	0.271	0.248	0.173	0.13
太陽	希望	早安	早晨	0.501	0.291	0.256	0.47	0.088	0.227	0.201
早安	清醒	吃飯	早晨	0.5	0.47	0.327	0.271	0.216	0.13	0.222
太陽	清爽	開始	早晨	0.5	0.291	0.311	0.326	0.131	0.232	0.065
黃昏	美好	慢跑	早晨	0.499	0.465	0.338	0.34	0.238	0.221	0.186
希望	睡覺	晨曦	早晨	0.499	0.256	0.372	0.426	0.164	0.216	0.174
希望	朝陽	露水	早晨	0.499	0.256	0.277	0.376	0.114	0.062	0.233
清爽	睡覺	晨曦	早晨	0.498	0.311	0.372	0.426	0.199	0.236	0.174
鳥叫	清醒	晨曦	早晨	0.498	0.313	0.327	0.426	0.191	0.183	0.195
黃昏	慢跑	新鮮	早晨	0.497	0.465	0.34	0.281	0.221	0.232	0.136
黃昏	清醒	空氣	早晨	0.497	0.465	0.327	0.257	0.181	0.223	0.148
新鮮	清醒	晨曦	早晨	0.496	0.281	0.327	0.426	0.244	0.099	0.195
慢跑	睡覺	露水	早晨	0.494	0.34	0.372	0.376	0.222	0.151	0.221
希望	鳥叫	早安	早晨	0.494	0.256	0.313	0.47	0.105	0.201	0.24
清爽	開始	鳥叫	早晨	0.493	0.311	0.326	0.313	0.065	0.205	0.187
希望	鳥叫	晨曦	早晨	0.491	0.256	0.313	0.426	0.105	0.216	0.183
開始	清醒	天空	早晨	0.491	0.326	0.327	0.315	0.187	0.135	0.155
希望	黃昏	空氣	早晨	0.489	0.256	0.465	0.257	0.106	0.16	0.223
清醒	晨曦	吃飯	早晨	0.489	0.327	0.426	0.271	0.195	0.222	0.118
清新	開始	鳥叫	早晨	0.487	0.332	0.326	0.313	0.053	0.244	0.187
早安	清醒	空氣	早晨	0.486	0.47	0.327	0.257	0.216	0.203	0.148
希望	晨曦	吃飯	早晨	0.486	0.256	0.426	0.271	0.216	0.133	0.118
開始	早安	涼爽	早晨	0.486	0.326	0.47	0.282	0.149	0.243	0.201
美好	露珠	吃飯	早晨	0.485	0.338	0.39	0.271	0.203	0.143	0.169
清爽	早安	朝陽	早晨	0.484	0.311	0.47	0.277	0.248	0.142	0.185
清爽	黑夜	吃飯	早晨	0.483	0.311	0.395	0.271	0.157	0.173	0.163
希望	慢跑	朝陽	早晨	0.483	0.256	0.34	0.277	0.187	0.114	0.088
美好	慢跑	朝陽	早晨	0.483	0.338	0.34	0.277	0.186	0.198	0.088
慢跑	清醒	露水	早晨	0.482	0.34	0.327	0.376	0.218	0.151	0.193
清爽	晨曦	吃飯	早晨	0.48	0.311	0.426	0.271	0.236	0.173	0.118
慢跑	新鮮	露水	早晨	0.48	0.34	0.281	0.376	0.136	0.151	0.229
露珠	新鮮	早安	早晨	0.48	0.39	0.281	0.47	0.24	0.245	0.176
太陽	開始	早安	早晨	0.48	0.291	0.326	0.47	0.232	0.227	0.149
美好	慢跑	睡覺	早晨	0.478	0.338	0.34	0.372	0.186	0.165	0.222
開始	涼爽	晨曦	早晨	0.478	0.326	0.282	0.426	0.243	0.127	0.186
陽光	慢跑	清醒	早晨	0.477	0.306	0.34	0.327	0.152	0.126	0.218
露珠	慢跑	安靜	早晨	0.477	0.39	0.34	0.257	0.123	0.138	0.249
陽光	慢跑	早安	早晨	0.474	0.306	0.34	0.47	0.152	0.241	0.249
太陽	開始	清醒	早晨	0.472	0.291	0.326	0.327	0.232	0.053	0.187
