				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
豐盛	蛋	土司	早餐	0.6	0.447	0.324	0.406	0.148	0.218	0.211
營養	蛋	土司	早餐	0.597	0.413	0.324	0.406	0.183	0.152	0.211
豐盛	上學	土司	早餐	0.59	0.447	0.28	0.406	0.226	0.218	0.1
蛋	上學	土司	早餐	0.585	0.324	0.28	0.406	0.114	0.211	0.1
豆漿	蛋	土司	早餐	0.563	0.468	0.324	0.406	0.21	0.214	0.211
豐盛	蛋	上學	早餐	0.562	0.447	0.324	0.28	0.148	0.226	0.114
牛奶	豐盛	上學	早餐	0.486	0.436	0.447	0.28	0.224	0.228	0.226
吃	漢堡	土司	早餐	0.478	0.487	0.303	0.406	0.245	0.242	0.231
蛋	土司	餓	早餐	0.473	0.324	0.406	0.267	0.211	0.144	0.169
蛋	漢堡	土司	早餐	0.38	0.324	0.303	0.406	0.21	0.211	0.231
