				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
噁心	蜻蜓	大自然	昆蟲	0.741	0.267	0.427	0.415	0.071	0.046	0.25
噁心	蜻蜓	森林	昆蟲	0.718	0.267	0.427	0.359	0.071	0.034	0.229
噁心	森林	翅膀	昆蟲	0.698	0.267	0.359	0.379	0.034	0.093	0.18
噁心	翅膀	大自然	昆蟲	0.695	0.267	0.379	0.415	0.093	0.046	0.227
噁心	自然	蜻蜓	昆蟲	0.664	0.267	0.288	0.427	0.11	0.071	0.136
自然	飛翔	蜘蛛	昆蟲	0.651	0.288	0.416	0.476	0.095	0.235	0.199
蝴蝶	噁心	野外	昆蟲	0.648	0.454	0.267	0.347	0.065	0.25	0.106
蝴蝶	噁心	自然	昆蟲	0.638	0.454	0.267	0.288	0.065	0.197	0.11
噁心	蜻蜓	野外	昆蟲	0.633	0.267	0.427	0.347	0.071	0.106	0.23
噁心	翅膀	野外	昆蟲	0.618	0.267	0.379	0.347	0.093	0.106	0.176
噁心	花草	野外	昆蟲	0.61	0.267	0.449	0.347	0.099	0.106	0.247
花草	飛翔	野外	昆蟲	0.589	0.449	0.416	0.347	0.196	0.247	0.179
噁心	自然	翅膀	昆蟲	0.586	0.267	0.288	0.379	0.11	0.093	0.145
花草	飛翔	微小	昆蟲	0.585	0.449	0.416	0.307	0.196	0.227	0.163
飛翔	微小	野外	昆蟲	0.583	0.416	0.307	0.347	0.163	0.179	0.144
噁心	森林	微小	昆蟲	0.553	0.267	0.359	0.307	0.034	0.169	0.177
噁心	花草	微小	昆蟲	0.527	0.267	0.449	0.307	0.099	0.169	0.227
自然	飛翔	微小	昆蟲	0.508	0.288	0.416	0.307	0.095	0.244	0.163
自然	可愛	蜘蛛	昆蟲	0.506	0.288	0.364	0.476	0.203	0.235	0.185
噁心	微小	野外	昆蟲	0.502	0.267	0.307	0.347	0.169	0.106	0.144
花草	微小	野外	昆蟲	0.485	0.449	0.307	0.347	0.227	0.247	0.144
可愛	微小	野外	昆蟲	0.48	0.364	0.307	0.347	0.239	0.156	0.144
可愛	森林	微小	昆蟲	0.408	0.364	0.359	0.307	0.207	0.239	0.177
噁心	自然	微小	昆蟲	0.338	0.267	0.288	0.307	0.11	0.169	0.244
自然	可愛	微小	昆蟲	0.274	0.288	0.364	0.307	0.203	0.244	0.239
