				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
漂亮	點燈	宇宙	星星	0.685	0.295	0.355	0.366	0.084	0.166	0.08
流星	漂亮	點燈	星星	0.645	0.444	0.295	0.355	0.249	0.116	0.084
浪漫	點燈	宇宙	星星	0.619	0.344	0.355	0.366	0.119	0.247	0.08
流星	點燈	眼睛	星星	0.615	0.444	0.355	0.35	0.116	0.204	0.214
浪漫	點燈	眼睛	星星	0.597	0.344	0.355	0.35	0.119	0.119	0.214
流星	點燈	戒指	星星	0.596	0.444	0.355	0.297	0.116	0.235	0.15
漂亮	點燈	星座	星星	0.595	0.295	0.355	0.393	0.084	0.201	0.164
許願	光亮	宇宙	星星	0.593	0.303	0.32	0.366	0.096	0.084	0.216
火	點燈	宇宙	星星	0.577	0.311	0.355	0.366	0.19	0.185	0.08
銀河	浪漫	眼睛	星星	0.571	0.344	0.344	0.35	0.223	0.124	0.119
銀河	火	眼睛	星星	0.555	0.344	0.311	0.35	0.101	0.124	0.225
許願	漂亮	宇宙	星星	0.554	0.303	0.295	0.366	0.159	0.084	0.166
許願	火	宇宙	星星	0.553	0.303	0.311	0.366	0.158	0.084	0.185
銀河	夜晚	火	星星	0.544	0.344	0.387	0.311	0.223	0.101	0.175
銀河	漂亮	點燈	星星	0.542	0.344	0.295	0.355	0.152	0.216	0.084
光亮	點燈	星座	星星	0.541	0.32	0.355	0.393	0.248	0.115	0.164
夜晚	許願	宇宙	星星	0.534	0.387	0.303	0.366	0.195	0.244	0.084
許願	黑夜	漂亮	星星	0.53	0.303	0.414	0.295	0.125	0.159	0.198
閃亮	火	宇宙	星星	0.527	0.345	0.311	0.366	0.177	0.134	0.185
銀河	光亮	星座	星星	0.513	0.344	0.32	0.393	0.195	0.234	0.115
銀河	眼睛	星座	星星	0.505	0.344	0.35	0.393	0.124	0.234	0.223
銀河	火	點燈	星星	0.503	0.344	0.311	0.355	0.101	0.216	0.19
銀河	許願	眼睛	星星	0.5	0.344	0.303	0.35	0.23	0.124	0.142
光亮	點燈	宇宙	星星	0.497	0.32	0.355	0.366	0.248	0.216	0.08
點燈	眼睛	星座	星星	0.497	0.355	0.35	0.393	0.214	0.164	0.223
銀河	點燈	眼睛	星星	0.495	0.344	0.355	0.35	0.216	0.124	0.214
太陽	浪漫	火	星星	0.494	0.39	0.344	0.311	0.138	0.186	0.227
許願	浪漫	眼睛	星星	0.494	0.303	0.344	0.35	0.242	0.142	0.119
天空	火	點燈	星星	0.492	0.447	0.311	0.355	0.234	0.196	0.19
閃爍	火	宇宙	星星	0.489	0.32	0.311	0.366	0.151	0.171	0.185
銀河	浪漫	點燈	星星	0.484	0.344	0.344	0.355	0.223	0.216	0.119
美麗	點燈	宇宙	星星	0.481	0.258	0.355	0.366	0.245	0.173	0.08
銀河	點燈	星座	星星	0.478	0.344	0.355	0.393	0.216	0.234	0.164
銀河	漂亮	火	星星	0.478	0.344	0.295	0.311	0.152	0.101	0.219
閃亮	夜晚	宇宙	星星	0.474	0.345	0.387	0.366	0.246	0.134	0.244
夜晚	許願	火	星星	0.474	0.387	0.303	0.311	0.195	0.175	0.158
浪漫	火	點燈	星星	0.473	0.344	0.311	0.355	0.227	0.119	0.19
銀河	許願	火	星星	0.469	0.344	0.303	0.311	0.23	0.101	0.158
漂亮	火	點燈	星星	0.467	0.295	0.311	0.355	0.219	0.084	0.19
銀河	火	戒指	星星	0.465	0.344	0.311	0.297	0.101	0.188	0.198
天空	許願	火	星星	0.465	0.447	0.303	0.311	0.204	0.234	0.158
漂亮	點燈	戒指	星星	0.464	0.295	0.355	0.297	0.084	0.249	0.15
夜晚	火	宇宙	星星	0.46	0.387	0.311	0.366	0.175	0.244	0.185
美麗	火	宇宙	星星	0.46	0.258	0.311	0.366	0.118	0.173	0.185
閃亮	浪漫	宇宙	星星	0.459	0.345	0.344	0.366	0.215	0.134	0.247
閃爍	漂亮	星座	星星	0.456	0.32	0.295	0.393	0.195	0.156	0.201
許願	光亮	火	星星	0.455	0.303	0.32	0.311	0.096	0.158	0.225
銀河	光亮	火	星星	0.454	0.344	0.32	0.311	0.195	0.101	0.225
流星	美麗	點燈	星星	0.453	0.444	0.258	0.355	0.243	0.116	0.245
閃爍	漂亮	宇宙	星星	0.448	0.32	0.295	0.366	0.195	0.171	0.166
銀河	浪漫	火	星星	0.447	0.344	0.344	0.311	0.223	0.101	0.227
天空	閃爍	火	星星	0.447	0.447	0.32	0.311	0.245	0.234	0.151
閃亮	夜晚	火	星星	0.445	0.345	0.387	0.311	0.246	0.177	0.175
銀河	許願	光亮	星星	0.445	0.344	0.303	0.32	0.23	0.195	0.096
銀河	漂亮	星座	星星	0.445	0.344	0.295	0.393	0.152	0.234	0.201
銀河	點燈	戒指	星星	0.442	0.344	0.355	0.297	0.216	0.188	0.15
許願	浪漫	宇宙	星星	0.44	0.303	0.344	0.366	0.242	0.084	0.247
許願	火	眼睛	星星	0.439	0.303	0.311	0.35	0.158	0.142	0.225
閃爍	浪漫	宇宙	星星	0.437	0.32	0.344	0.366	0.175	0.171	0.247
浪漫	火	眼睛	星星	0.434	0.344	0.311	0.35	0.227	0.119	0.225
光亮	浪漫	點燈	星星	0.433	0.32	0.344	0.355	0.219	0.248	0.119
火	點燈	戒指	星星	0.425	0.311	0.355	0.297	0.19	0.198	0.15
太陽	漂亮	火	星星	0.423	0.39	0.295	0.311	0.168	0.186	0.219
美麗	點燈	星座	星星	0.423	0.258	0.355	0.393	0.245	0.175	0.164
閃爍	浪漫	火	星星	0.421	0.32	0.344	0.311	0.175	0.151	0.227
許願	光亮	浪漫	星星	0.41	0.303	0.32	0.344	0.096	0.242	0.219
漂亮	火	宇宙	星星	0.401	0.295	0.311	0.366	0.219	0.166	0.185
銀河	許願	漂亮	星星	0.4	0.344	0.303	0.295	0.23	0.152	0.159
火	點燈	眼睛	星星	0.387	0.311	0.355	0.35	0.19	0.225	0.214
銀河	夜晚	許願	星星	0.386	0.344	0.387	0.303	0.223	0.23	0.195
夜晚	火	戒指	星星	0.384	0.387	0.311	0.297	0.175	0.238	0.198
閃亮	浪漫	火	星星	0.381	0.345	0.344	0.311	0.215	0.177	0.227
銀河	夜晚	戒指	星星	0.38	0.344	0.387	0.297	0.223	0.188	0.238
太陽	火	戒指	星星	0.376	0.39	0.311	0.297	0.186	0.238	0.198
許願	漂亮	火	星星	0.373	0.303	0.295	0.311	0.159	0.158	0.219
美麗	火	戒指	星星	0.372	0.258	0.311	0.297	0.118	0.179	0.198
