				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
燭光	食物	愉快	晚餐	0.788	0.464	0.49	0.35	0.224	0.103	0.189
浪漫	家人	吃飽	晚餐	0.723	0.407	0.334	0.436	0.221	0.074	0.159
燭光	食物	相聚	晚餐	0.714	0.464	0.49	0.331	0.224	0.186	0.162
燭光	食物	享受	晚餐	0.698	0.464	0.49	0.298	0.224	0.148	0.183
牛排	耶穌	愉快	晚餐	0.687	0.45	0.348	0.35	0.195	0.142	0.123
牛排	吃飽	愉快	晚餐	0.642	0.45	0.436	0.35	0.243	0.142	0.208
浪漫	食物	聚會	晚餐	0.635	0.407	0.49	0.367	0.246	0.226	0.157
食物	約會	享受	晚餐	0.631	0.49	0.391	0.298	0.194	0.183	0.171
浪漫	食物	最後	晚餐	0.619	0.407	0.49	0.255	0.246	0.188	0.099
耶穌	餐桌	愉快	晚餐	0.612	0.348	0.474	0.35	0.22	0.123	0.216
蠟燭	食物	相聚	晚餐	0.612	0.268	0.49	0.331	0.215	0.1	0.162
耶穌	餐桌	享受	晚餐	0.606	0.348	0.474	0.298	0.22	0.088	0.205
食物	相聚	最後	晚餐	0.605	0.49	0.331	0.255	0.162	0.099	0.21
食物	聚會	享受	晚餐	0.603	0.49	0.367	0.298	0.157	0.183	0.212
牛排	耶穌	享受	晚餐	0.602	0.45	0.348	0.298	0.195	0.21	0.088
蠟燭	食物	愉快	晚餐	0.601	0.268	0.49	0.35	0.215	0.103	0.189
相聚	吃飽	餐桌	晚餐	0.598	0.331	0.436	0.474	0.161	0.241	0.24
食物	最後	享受	晚餐	0.598	0.49	0.255	0.298	0.099	0.183	0.163
豐盛	牛排	約會	晚餐	0.598	0.458	0.45	0.391	0.249	0.23	0.222
牛排	媽媽	愉快	晚餐	0.595	0.45	0.262	0.35	0.193	0.142	0.131
吃飽	餐桌	愉快	晚餐	0.595	0.436	0.474	0.35	0.24	0.208	0.216
蠟燭	食物	享受	晚餐	0.591	0.268	0.49	0.298	0.215	0.068	0.183
豐盛	家人	約會	晚餐	0.587	0.458	0.334	0.391	0.168	0.23	0.197
牛排	蠟燭	愉快	晚餐	0.583	0.45	0.268	0.35	0.24	0.142	0.103
牛排	最後	愉快	晚餐	0.575	0.45	0.255	0.35	0.1	0.142	0.238
牛排	相聚	吃飽	晚餐	0.574	0.45	0.331	0.436	0.239	0.243	0.161
吃飯	美味	月亮	晚餐	0.574	0.475	0.492	0.273	0.226	0.195	0.245
食物	最後	愉快	晚餐	0.569	0.49	0.255	0.35	0.099	0.189	0.238
牛排	耶穌	相聚	晚餐	0.568	0.45	0.348	0.331	0.195	0.239	0.127
牛排	吃飽	月亮	晚餐	0.565	0.45	0.436	0.273	0.243	0.232	0.119
耶穌	相聚	餐桌	晚餐	0.565	0.348	0.331	0.474	0.127	0.22	0.241
豐盛	牛排	月亮	晚餐	0.559	0.458	0.45	0.273	0.249	0.143	0.232
相聚	吃飽	月亮	晚餐	0.558	0.331	0.436	0.273	0.161	0.203	0.119
餐桌	最後	享受	晚餐	0.553	0.474	0.255	0.298	0.105	0.205	0.163
蠟燭	餐桌	愉快	晚餐	0.553	0.268	0.474	0.35	0.22	0.103	0.216
餐桌	約會	享受	晚餐	0.55	0.474	0.391	0.298	0.236	0.205	0.171
豐盛	約會	月亮	晚餐	0.549	0.458	0.391	0.273	0.23	0.143	0.201
蠟燭	餐桌	享受	晚餐	0.547	0.268	0.474	0.298	0.22	0.068	0.205
豐盛	牛排	相聚	晚餐	0.545	0.458	0.45	0.331	0.249	0.207	0.239
吃飽	月亮	享受	晚餐	0.542	0.436	0.273	0.298	0.119	0.221	0.125
美味	最後	月亮	晚餐	0.541	0.492	0.255	0.273	0.122	0.245	0.112
吃飽	餐桌	享受	晚餐	0.541	0.436	0.474	0.298	0.24	0.221	0.205
食物	相聚	媽媽	晚餐	0.538	0.49	0.331	0.262	0.162	0.245	0.139
食物	團圓	享受	晚餐	0.537	0.49	0.279	0.298	0.177	0.183	0.169
食物	媽媽	愉快	晚餐	0.537	0.49	0.262	0.35	0.245	0.189	0.131
牛排	約會	享受	晚餐	0.536	0.45	0.391	0.298	0.222	0.21	0.171
牛排	最後	月亮	晚餐	0.535	0.45	0.255	0.273	0.1	0.232	0.112
