				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
墨汁	中國	練習	書法	0.738	0.353	0.38	0.452	0.136	0.121	0.19
國粹	工整	練習	書法	0.738	0.483	0.354	0.452	0.121	0.212	0.219
國寶	工整	練習	書法	0.734	0.367	0.354	0.452	0.076	0.146	0.219
墨汁	古人	練習	書法	0.727	0.353	0.358	0.452	0.214	0.121	0.101
墨水	國寶	練習	書法	0.727	0.319	0.367	0.452	0.117	0.15	0.146
中國	硯台	練習	書法	0.715	0.38	0.498	0.452	0.2	0.19	0.226
墨汁	國粹	練習	書法	0.714	0.353	0.483	0.452	0.242	0.121	0.212
國粹	文字	練習	書法	0.71	0.483	0.385	0.452	0.199	0.212	0.199
墨汁	國寶	練習	書法	0.709	0.353	0.367	0.452	0.197	0.121	0.146
文字	中國	硯台	書法	0.708	0.385	0.38	0.498	0.143	0.211	0.2
中國	硯台	工整	書法	0.708	0.38	0.498	0.354	0.2	0.075	0.249
文字	國寶	練習	書法	0.705	0.385	0.367	0.452	0.155	0.199	0.146
中國	工整	練習	書法	0.703	0.38	0.354	0.452	0.075	0.19	0.219
文字	硯台	練習	書法	0.698	0.385	0.498	0.452	0.211	0.199	0.226
國寶	古人	練習	書法	0.696	0.367	0.358	0.452	0.235	0.146	0.101
中國	比賽	工整	書法	0.686	0.38	0.441	0.354	0.236	0.075	0.178
文字	中國	練習	書法	0.685	0.385	0.38	0.452	0.143	0.199	0.19
國粹	墨水	練習	書法	0.683	0.483	0.319	0.452	0.21	0.212	0.15
中國	墨水	練習	書法	0.661	0.38	0.319	0.452	0.151	0.19	0.15
墨汁	比賽	古人	書法	0.638	0.353	0.441	0.358	0.165	0.214	0.136
墨汁	中國	比賽	書法	0.637	0.353	0.38	0.441	0.136	0.165	0.236
精髓	硯台	練習	書法	0.636	0.3	0.498	0.452	0.173	0.215	0.226
文字	氣質	硯台	書法	0.635	0.385	0.341	0.498	0.186	0.211	0.19
中國	精髓	硯台	書法	0.632	0.38	0.3	0.498	0.173	0.2	0.173
墨汁	氣質	古人	書法	0.631	0.353	0.341	0.358	0.053	0.214	0.155
古人	工整	練習	書法	0.626	0.358	0.354	0.452	0.219	0.101	0.219
比賽	古人	工整	書法	0.621	0.441	0.358	0.354	0.136	0.178	0.219
中國	墨水	比賽	書法	0.62	0.38	0.319	0.441	0.151	0.236	0.133
硯台	工整	練習	書法	0.611	0.498	0.354	0.452	0.249	0.226	0.219
中國	精髓	工整	書法	0.591	0.38	0.3	0.354	0.173	0.075	0.195
氣質	硯台	工整	書法	0.583	0.341	0.498	0.354	0.19	0.171	0.249
墨汁	精髓	練習	書法	0.573	0.353	0.3	0.452	0.196	0.121	0.215
中國	精髓	練習	書法	0.554	0.38	0.3	0.452	0.173	0.19	0.215
國寶	古人	工整	書法	0.55	0.367	0.358	0.354	0.235	0.076	0.219
墨汁	比賽	精髓	書法	0.543	0.353	0.441	0.3	0.165	0.196	0.19
墨水	比賽	精髓	書法	0.543	0.319	0.441	0.3	0.133	0.194	0.19
精髓	國寶	練習	書法	0.541	0.3	0.367	0.452	0.218	0.215	0.146
中國	精髓	筆墨	書法	0.537	0.38	0.3	0.495	0.173	0.221	0.245
精髓	硯台	工整	書法	0.534	0.3	0.498	0.354	0.173	0.195	0.249
精髓	國寶	工整	書法	0.533	0.3	0.367	0.354	0.218	0.195	0.076
比賽	精髓	工整	書法	0.532	0.441	0.3	0.354	0.19	0.178	0.195
墨汁	中國	精髓	書法	0.528	0.353	0.38	0.3	0.136	0.196	0.173
中國	比賽	精髓	書法	0.522	0.38	0.441	0.3	0.236	0.173	0.19
墨水	精髓	練習	書法	0.512	0.319	0.3	0.452	0.194	0.15	0.215
氣質	古人	工整	書法	0.509	0.341	0.358	0.354	0.155	0.171	0.219
中國	墨水	精髓	書法	0.481	0.38	0.319	0.3	0.151	0.173	0.194
精髓	工整	練習	書法	0.477	0.3	0.354	0.452	0.195	0.215	0.219
墨水	精髓	國寶	書法	0.458	0.319	0.3	0.367	0.194	0.117	0.218
墨汁	國寶	古人	書法	0.433	0.353	0.367	0.358	0.197	0.214	0.235
墨汁	精髓	國寶	書法	0.41	0.353	0.3	0.367	0.196	0.197	0.218
