				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
明亮	狼人	賞月	月亮	0.786	0.389	0.318	0.44	0.099	0.142	0.121
兔子	明亮	賞月	月亮	0.751	0.385	0.389	0.44	0.17	0.151	0.142
嫦娥	夜晚	圓	月亮	0.748	0.487	0.451	0.368	0.246	0.181	0.132
夜晚	圓	玉兔	月亮	0.735	0.451	0.368	0.428	0.132	0.196	0.185
嫦娥	圓	明亮	月亮	0.711	0.487	0.368	0.389	0.181	0.138	0.215
地球	明亮	賞月	月亮	0.699	0.446	0.389	0.44	0.247	0.187	0.142
圓	明亮	狼人	月亮	0.677	0.368	0.389	0.318	0.215	0.084	0.099
嫦娥	夜晚	黃色	月亮	0.676	0.487	0.451	0.259	0.246	0.096	0.18
明亮	狼人	月餅	月亮	0.675	0.389	0.318	0.35	0.099	0.126	0.157
中秋節	明亮	狼人	月亮	0.657	0.385	0.389	0.318	0.162	0.175	0.099
地球	明亮	月餅	月亮	0.652	0.446	0.389	0.35	0.247	0.161	0.126
黃色	地球	賞月	月亮	0.649	0.259	0.446	0.44	0.151	0.158	0.187
夜晚	圓	兔子	月亮	0.641	0.451	0.368	0.385	0.132	0.245	0.187
嫦娥	明亮	愛情	月亮	0.64	0.487	0.389	0.291	0.138	0.201	0.188
明亮	愛情	玉兔	月亮	0.637	0.389	0.291	0.428	0.188	0.167	0.116
明亮	狼人	玉兔	月亮	0.637	0.389	0.318	0.428	0.099	0.167	0.233
黃色	狼人	賞月	月亮	0.62	0.259	0.318	0.44	0.119	0.158	0.121
圓	明亮	玉兔	月亮	0.619	0.368	0.389	0.428	0.215	0.185	0.167
圓	狼人	玉兔	月亮	0.612	0.368	0.318	0.428	0.084	0.185	0.233
黃色	黑夜	賞月	月亮	0.608	0.259	0.487	0.44	0.209	0.158	0.212
中秋節	地球	明亮	月亮	0.606	0.385	0.446	0.389	0.206	0.162	0.247
中秋節	兔子	明亮	月亮	0.603	0.385	0.385	0.389	0.225	0.162	0.17
兔子	明亮	月餅	月亮	0.592	0.385	0.389	0.35	0.17	0.237	0.126
中秋	兔子	明亮	月亮	0.584	0.423	0.385	0.389	0.203	0.24	0.17
中秋	圓	狼人	月亮	0.581	0.423	0.368	0.318	0.234	0.211	0.084
中秋	明亮	狼人	月亮	0.58	0.423	0.389	0.318	0.24	0.211	0.099
圓	地球	明亮	月亮	0.571	0.368	0.446	0.389	0.171	0.215	0.247
圓	兔子	明亮	月亮	0.571	0.368	0.385	0.389	0.187	0.215	0.17
黃色	兔子	賞月	月亮	0.568	0.259	0.385	0.44	0.208	0.158	0.151
夜晚	黃色	玉兔	月亮	0.558	0.451	0.259	0.428	0.18	0.196	0.204
中秋	圓	兔子	月亮	0.552	0.423	0.368	0.385	0.234	0.203	0.187
夜晚	兔子	月餅	月亮	0.552	0.451	0.385	0.35	0.245	0.152	0.237
圓	愛情	玉兔	月亮	0.551	0.368	0.291	0.428	0.235	0.185	0.116
中秋	黃色	狼人	月亮	0.537	0.423	0.259	0.318	0.134	0.211	0.119
嫦娥	圓	愛情	月亮	0.53	0.487	0.368	0.291	0.181	0.201	0.235
中秋	黃色	兔子	月亮	0.523	0.423	0.259	0.385	0.134	0.203	0.208
兔子	明亮	愛情	月亮	0.506	0.385	0.389	0.291	0.17	0.201	0.188
明亮	狼人	愛情	月亮	0.505	0.389	0.318	0.291	0.099	0.188	0.206
中秋節	黃色	地球	月亮	0.505	0.385	0.259	0.446	0.229	0.206	0.151
中秋	兔子	愛情	月亮	0.504	0.423	0.385	0.291	0.203	0.191	0.201
中秋	圓	明亮	月亮	0.491	0.423	0.368	0.389	0.234	0.24	0.215
中秋	明亮	愛情	月亮	0.484	0.423	0.389	0.291	0.24	0.191	0.188
狼人	愛情	玉兔	月亮	0.481	0.318	0.291	0.428	0.206	0.233	0.116
圓	地球	愛情	月亮	0.478	0.368	0.446	0.291	0.171	0.235	0.221
地球	明亮	愛情	月亮	0.47	0.446	0.389	0.291	0.247	0.221	0.188
夜晚	黃色	兔子	月亮	0.462	0.451	0.259	0.385	0.18	0.245	0.208
圓	狼人	愛情	月亮	0.452	0.368	0.318	0.291	0.084	0.235	0.206
中秋節	黃色	黑夜	月亮	0.451	0.385	0.259	0.487	0.229	0.242	0.209
黃色	狼人	玉兔	月亮	0.449	0.259	0.318	0.428	0.119	0.204	0.233
中秋節	黃色	狼人	月亮	0.44	0.385	0.259	0.318	0.229	0.175	0.119
中秋	狼人	愛情	月亮	0.424	0.423	0.318	0.291	0.211	0.191	0.206
中秋	圓	愛情	月亮	0.422	0.423	0.368	0.291	0.234	0.191	0.235
圓	兔子	愛情	月亮	0.421	0.368	0.385	0.291	0.187	0.235	0.201
圓	明亮	愛情	月亮	0.411	0.368	0.389	0.291	0.215	0.235	0.188
中秋節	黃色	兔子	月亮	0.368	0.385	0.259	0.385	0.229	0.225	0.208
