				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
美麗	精品店	搭配	服飾	0.598	0.426	0.356	0.283	0.204	0.154	0.109
美麗	拍賣	大衣	服飾	0.57	0.426	0.348	0.36	0.246	0.128	0.189
美麗	鞋子	拍賣	服飾	0.569	0.426	0.451	0.348	0.185	0.246	0.225
流行	美麗	鞋子	服飾	0.568	0.309	0.426	0.451	0.2	0.234	0.185
流行	鞋子	端莊	服飾	0.551	0.309	0.451	0.399	0.234	0.187	0.188
打扮	品牌	拍賣	服飾	0.551	0.438	0.422	0.348	0.231	0.185	0.242
美麗	拍賣	搭配	服飾	0.539	0.426	0.348	0.283	0.246	0.154	0.118
流行	美麗	大衣	服飾	0.535	0.309	0.426	0.36	0.2	0.232	0.128
美麗	品牌	拍賣	服飾	0.533	0.426	0.422	0.348	0.176	0.246	0.242
流行	鞋子	拍賣	服飾	0.531	0.309	0.451	0.348	0.234	0.119	0.225
流行	美麗	拍賣	服飾	0.519	0.309	0.426	0.348	0.2	0.119	0.246
精品店	拍賣	搭配	服飾	0.514	0.356	0.348	0.283	0.246	0.109	0.118
流行	美麗	店面	服飾	0.506	0.309	0.426	0.351	0.2	0.207	0.174
美麗	名牌	搭配	服飾	0.501	0.426	0.352	0.283	0.227	0.154	0.179
美麗	拍賣	造型	服飾	0.5	0.426	0.348	0.374	0.246	0.208	0.194
打扮	品牌	昂貴	服飾	0.484	0.438	0.422	0.254	0.231	0.191	0.208
流行	拍賣	大衣	服飾	0.477	0.309	0.348	0.36	0.119	0.232	0.189
流行	精品店	端莊	服飾	0.473	0.309	0.356	0.399	0.243	0.187	0.162
流行	端莊	店面	服飾	0.468	0.309	0.399	0.351	0.187	0.207	0.198
美麗	拍賣	店面	服飾	0.457	0.426	0.348	0.351	0.246	0.174	0.249
拍賣	名牌	搭配	服飾	0.454	0.348	0.352	0.283	0.232	0.118	0.179
流行	美麗	精品店	服飾	0.445	0.309	0.426	0.356	0.2	0.243	0.204
美麗	精品店	拍賣	服飾	0.435	0.426	0.356	0.348	0.204	0.246	0.246
流行	拍賣	店面	服飾	0.434	0.309	0.348	0.351	0.119	0.207	0.249
美麗	拍賣	名牌	服飾	0.422	0.426	0.348	0.352	0.246	0.227	0.232
流行	精品店	拍賣	服飾	0.406	0.309	0.356	0.348	0.243	0.119	0.246
美麗	逛街	拍賣	服飾	0.364	0.426	0.277	0.348	0.206	0.246	0.235
