				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
柳丁	可樂	美容	果汁	0.801	0.438	0.467	0.394	0.178	0.188	0.132
柳丁	可樂	美味	果汁	0.723	0.438	0.467	0.429	0.178	0.201	0.234
維他命	甜	玻璃杯	果汁	0.712	0.369	0.388	0.468	0.171	0.183	0.158
健康	柳丁	可樂	果汁	0.711	0.342	0.438	0.467	0.156	0.202	0.178
營養	柳丁	玻璃杯	果汁	0.706	0.342	0.438	0.468	0.146	0.154	0.242
柳橙	液體	解渴	果汁	0.705	0.429	0.398	0.405	0.171	0.221	0.136
柳丁	美味	液體	果汁	0.692	0.438	0.429	0.398	0.201	0.18	0.192
營養	甜	玻璃杯	果汁	0.692	0.342	0.388	0.468	0.194	0.154	0.158
柳橙	液體	美容	果汁	0.682	0.429	0.398	0.394	0.171	0.144	0.224
柳丁	玻璃杯	可口	果汁	0.671	0.438	0.468	0.423	0.242	0.186	0.23
柳丁	液體	可口	果汁	0.662	0.438	0.398	0.423	0.18	0.186	0.231
柳橙	美容	清涼	果汁	0.659	0.429	0.394	0.295	0.144	0.119	0.195
維他命	玻璃杯	香甜	果汁	0.658	0.369	0.468	0.43	0.183	0.21	0.216
柳橙	顆粒	解渴	果汁	0.657	0.429	0.276	0.405	0.144	0.221	0.088
健康	柳丁	液體	果汁	0.654	0.342	0.438	0.398	0.156	0.187	0.18
柳橙	顆粒	美容	果汁	0.652	0.429	0.276	0.394	0.144	0.144	0.159
維他命	玻璃杯	可口	果汁	0.647	0.369	0.468	0.423	0.183	0.2	0.23
甜	玻璃杯	美容	果汁	0.644	0.388	0.468	0.394	0.158	0.205	0.243
柳丁	美味	玻璃杯	果汁	0.643	0.438	0.429	0.468	0.201	0.242	0.25
柳橙	美容	解渴	果汁	0.64	0.429	0.394	0.405	0.144	0.221	0.224
液體	甜蜜	解渴	果汁	0.637	0.398	0.359	0.405	0.197	0.136	0.192
柳丁	液體	美容	果汁	0.637	0.438	0.398	0.394	0.18	0.188	0.224
柳丁	美味	顆粒	果汁	0.635	0.438	0.429	0.276	0.201	0.176	0.132
玻璃杯	美容	香甜	果汁	0.632	0.468	0.394	0.43	0.243	0.216	0.2
營養	甜蜜	玻璃杯	果汁	0.632	0.342	0.359	0.468	0.144	0.154	0.238
柳丁	玻璃杯	美容	果汁	0.627	0.438	0.468	0.394	0.242	0.188	0.243
美味	維他命	玻璃杯	果汁	0.626	0.429	0.369	0.468	0.208	0.25	0.183
柳丁	玻璃杯	清涼	果汁	0.625	0.438	0.468	0.295	0.242	0.161	0.172
健康	柳丁	玻璃杯	果汁	0.62	0.342	0.438	0.468	0.156	0.229	0.242
健康	液體	解渴	果汁	0.615	0.342	0.398	0.405	0.187	0.207	0.136
顆粒	甜蜜	解渴	果汁	0.613	0.276	0.359	0.405	0.147	0.088	0.192
液體	美容	解渴	果汁	0.613	0.398	0.394	0.405	0.224	0.136	0.224
柳丁	維他命	玻璃杯	果汁	0.613	0.438	0.369	0.468	0.237	0.242	0.183
柳丁	維他命	可口	果汁	0.606	0.438	0.369	0.423	0.237	0.186	0.2
顆粒	美容	解渴	果汁	0.604	0.276	0.394	0.405	0.159	0.088	0.224
維他命	甜蜜	玻璃杯	果汁	0.604	0.369	0.359	0.468	0.171	0.183	0.238
新鮮	柳丁	玻璃杯	果汁	0.603	0.317	0.438	0.468	0.179	0.199	0.242
健康	顆粒	解渴	果汁	0.603	0.342	0.276	0.405	0.125	0.207	0.088
可樂	西瓜	美容	果汁	0.6	0.467	0.355	0.394	0.247	0.132	0.236
健康	柳丁	顆粒	果汁	0.599	0.342	0.438	0.276	0.156	0.125	0.176
新鮮	柳丁	美容	果汁	0.593	0.317	0.438	0.394	0.179	0.189	0.188
柳丁	美味	維他命	果汁	0.59	0.438	0.429	0.369	0.201	0.237	0.208
柳丁	顆粒	美容	果汁	0.585	0.438	0.276	0.394	0.176	0.188	0.159
柳丁	顆粒	可口	果汁	0.583	0.438	0.276	0.423	0.176	0.186	0.192
柳丁	美容	清涼	果汁	0.582	0.438	0.394	0.295	0.188	0.161	0.195
健康	檸檬	解渴	果汁	0.579	0.342	0.428	0.405	0.19	0.207	0.2
營養	甜蜜	解渴	果汁	0.577	0.342	0.359	0.405	0.144	0.193	0.192
健康	西瓜	液體	果汁	0.577	0.342	0.355	0.398	0.177	0.187	0.154
顆粒	甜	玻璃杯	果汁	0.575	0.276	0.388	0.468	0.16	0.239	0.158
液體	甜	美容	果汁	0.564	0.398	0.388	0.394	0.187	0.224	0.205
維他命	甜蜜	解渴	果汁	0.563	0.369	0.359	0.405	0.171	0.208	0.192
蘋果	美味	玻璃杯	果汁	0.562	0.325	0.429	0.468	0.193	0.217	0.25
液體	美容	香甜	果汁	0.557	0.398	0.394	0.43	0.224	0.241	0.2
美味	顆粒	玻璃杯	果汁	0.553	0.429	0.276	0.468	0.132	0.25	0.239
