				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
暴力	樹木	求學	校園	0.688	0.317	0.414	0.425	0.125	0.14	0.204
安全	樹木	求學	校園	0.663	0.3	0.414	0.425	0.132	0.14	0.204
教室	美麗	求學	校園	0.655	0.435	0.458	0.425	0.187	0.231	0.245
暴力	美麗	求學	校園	0.648	0.317	0.458	0.425	0.168	0.14	0.245
暴力	寧靜	同學	校園	0.637	0.317	0.389	0.454	0.186	0.099	0.238
教室	樹木	求學	校園	0.628	0.435	0.414	0.425	0.212	0.231	0.204
安全	美麗	求學	校園	0.619	0.3	0.458	0.425	0.179	0.14	0.245
暴力	草地	同學	校園	0.618	0.317	0.31	0.454	0.185	0.099	0.18
教室	可愛	求學	校園	0.618	0.435	0.395	0.425	0.165	0.231	0.242
草地	美麗	求學	校園	0.61	0.31	0.458	0.425	0.199	0.139	0.245
教室	演唱會	純樸	校園	0.596	0.435	0.361	0.327	0.18	0.147	0.199
安全	草地	同學	校園	0.59	0.3	0.31	0.454	0.208	0.086	0.18
安全	同學	腳踏車	校園	0.59	0.3	0.454	0.306	0.086	0.137	0.247
暴力	樹	求學	校園	0.59	0.317	0.313	0.425	0.087	0.14	0.239
暴力	草地	求學	校園	0.589	0.317	0.31	0.425	0.185	0.14	0.139
安全	樹	求學	校園	0.583	0.3	0.313	0.425	0.075	0.14	0.239
暴力	同學	腳踏車	校園	0.583	0.317	0.454	0.306	0.099	0.148	0.247
暴力	可愛	求學	校園	0.574	0.317	0.395	0.425	0.182	0.14	0.242
寧靜	安全	同學	校園	0.571	0.389	0.3	0.454	0.249	0.238	0.086
教室	樹	求學	校園	0.568	0.435	0.313	0.425	0.135	0.231	0.239
美女	安全	同學	校園	0.568	0.318	0.3	0.454	0.183	0.234	0.086
美女	安全	求學	校園	0.559	0.318	0.3	0.425	0.183	0.159	0.14
暴力	樹木	安靜	校園	0.558	0.317	0.414	0.355	0.125	0.158	0.245
安全	腳踏車	老師	校園	0.557	0.3	0.306	0.409	0.137	0.112	0.209
安全	草地	老師	校園	0.553	0.3	0.31	0.409	0.208	0.112	0.144
美女	樹木	求學	校園	0.552	0.318	0.414	0.425	0.241	0.159	0.204
暴力	安靜	求學	校園	0.551	0.317	0.355	0.425	0.158	0.14	0.249
教室	演唱會	樹	校園	0.548	0.435	0.361	0.313	0.18	0.135	0.247
安全	草地	求學	校園	0.548	0.3	0.31	0.425	0.208	0.14	0.139
安全	演唱會	樹	校園	0.544	0.3	0.361	0.313	0.108	0.075	0.247
寧靜	草地	同學	校園	0.543	0.389	0.31	0.454	0.193	0.238	0.18
美女	安靜	求學	校園	0.541	0.318	0.355	0.425	0.149	0.159	0.249
美女	寧靜	同學	校園	0.541	0.318	0.389	0.454	0.148	0.234	0.238
