				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
大火	大自然	小徑	森林	0.798	0.405	0.497	0.315	0.185	0.049	0.184
樹木	野狼	幽暗	森林	0.793	0.485	0.411	0.419	0.17	0.168	0.183
資源	松鼠	幽暗	森林	0.786	0.308	0.387	0.419	0.145	0.068	0.115
資源	野狼	幽暗	森林	0.781	0.308	0.411	0.419	0.105	0.068	0.183
樹木	泰山	幽暗	森林	0.774	0.485	0.325	0.419	0.171	0.168	0.116
大火	大自然	濃密	森林	0.771	0.405	0.497	0.366	0.185	0.155	0.158
清新	木材	野狼	森林	0.769	0.3	0.489	0.411	0.147	0.125	0.158
大火	大自然	樹	森林	0.762	0.405	0.497	0.297	0.185	0.08	0.172
大火	草叢	大自然	森林	0.76	0.405	0.404	0.497	0.157	0.185	0.204
大火	資源	幽暗	森林	0.759	0.405	0.308	0.419	0.088	0.216	0.068
木材	野狼	幽暗	森林	0.752	0.489	0.411	0.419	0.158	0.224	0.183
大火	樹	原始	森林	0.735	0.405	0.297	0.424	0.08	0.227	0.083
松鼠	木材	幽暗	森林	0.734	0.387	0.489	0.419	0.221	0.115	0.224
泰山	資源	幽暗	森林	0.733	0.325	0.308	0.419	0.135	0.116	0.068
大火	自然	樹	森林	0.728	0.405	0.369	0.297	0.184	0.08	0.078
草叢	原始	城堡	森林	0.727	0.404	0.424	0.419	0.136	0.221	0.162
火災	大自然	幽暗	森林	0.727	0.41	0.497	0.419	0.204	0.169	0.226
大火	樹	幽暗	森林	0.727	0.405	0.297	0.419	0.08	0.216	0.097
樹	原始	城堡	森林	0.726	0.297	0.424	0.419	0.083	0.168	0.162
大火	泰山	小徑	森林	0.722	0.405	0.325	0.315	0.165	0.049	0.108
火災	泰山	幽暗	森林	0.722	0.41	0.325	0.419	0.146	0.169	0.116
空氣	木材	野狼	森林	0.72	0.31	0.489	0.411	0.219	0.111	0.158
樹木	大火	幽暗	森林	0.719	0.485	0.405	0.419	0.205	0.168	0.216
大自然	樹	幽暗	森林	0.718	0.497	0.297	0.419	0.172	0.226	0.097
火災	松鼠	幽暗	森林	0.716	0.41	0.387	0.419	0.215	0.169	0.115
大火	原始	小徑	森林	0.715	0.405	0.424	0.315	0.227	0.049	0.152
大火	草叢	原始	森林	0.713	0.405	0.404	0.424	0.157	0.227	0.136
自然	樹	幽暗	森林	0.709	0.369	0.297	0.419	0.078	0.2	0.097
樹木	清新	野狼	森林	0.707	0.485	0.3	0.411	0.195	0.17	0.125
火災	野狼	幽暗	森林	0.706	0.41	0.411	0.419	0.181	0.169	0.183
大火	資源	大自然	森林	0.706	0.405	0.308	0.497	0.088	0.185	0.231
木材	野狼	濃密	森林	0.705	0.489	0.411	0.366	0.158	0.219	0.183
木材	幽暗	獅子	森林	0.705	0.489	0.419	0.28	0.224	0.159	0.099
火災	清新	野狼	森林	0.703	0.41	0.3	0.411	0.113	0.181	0.125
大火	原始	大樹	森林	0.701	0.405	0.424	0.362	0.227	0.137	0.125
樹木	大火	原始	森林	0.7	0.485	0.405	0.424	0.205	0.182	0.227
資源	大自然	幽暗	森林	0.699	0.308	0.497	0.419	0.231	0.068	0.226
大火	自然	草叢	森林	0.698	0.405	0.369	0.404	0.184	0.157	0.138
空氣	松鼠	幽暗	森林	0.697	0.31	0.387	0.419	0.143	0.161	0.115
原始	城堡	大樹	森林	0.696	0.424	0.419	0.362	0.162	0.125	0.221
樹	野狼	幽暗	森林	0.695	0.297	0.411	0.419	0.151	0.097	0.183
大火	自然	小徑	森林	0.695	0.405	0.369	0.315	0.184	0.049	0.16
綠意	原始	城堡	森林	0.694	0.363	0.424	0.419	0.179	0.171	0.162
大火	大自然	幽暗	森林	0.694	0.405	0.497	0.419	0.185	0.216	0.226
