				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
自然	樹	玫瑰	植物	0.634	0.42	0.301	0.384	0.078	0.2	0.193
自然	海芋	樹	植物	0.597	0.42	0.362	0.301	0.182	0.078	0.225
自然	觀賞	玫瑰	植物	0.587	0.42	0.348	0.384	0.195	0.2	0.169
自然	生長	玫瑰	植物	0.587	0.42	0.36	0.384	0.242	0.2	0.135
觀賞	呼吸	玫瑰	植物	0.541	0.348	0.345	0.384	0.156	0.169	0.211
生命	海芋	空氣	植物	0.533	0.366	0.362	0.3	0.208	0.187	0.101
自然	生長	海芋	植物	0.508	0.42	0.36	0.362	0.242	0.182	0.21
呼吸	樹	玫瑰	植物	0.503	0.345	0.301	0.384	0.124	0.211	0.193
生長	呼吸	玫瑰	植物	0.499	0.36	0.345	0.384	0.244	0.135	0.211
生命	花	空氣	植物	0.49	0.366	0.251	0.3	0.231	0.187	0.01
綠色	花	自然	植物	0.486	0.335	0.251	0.42	0.095	0.242	0.183
花	生長	森林	植物	0.471	0.251	0.36	0.44	0.161	0.182	0.236
綠色	自然	玫瑰	植物	0.47	0.335	0.42	0.384	0.242	0.227	0.2
綠色	花	呼吸	植物	0.469	0.335	0.251	0.345	0.095	0.216	0.152
花	自然	樹	植物	0.469	0.251	0.42	0.301	0.183	0.241	0.078
生命	生長	海芋	植物	0.45	0.366	0.36	0.362	0.221	0.208	0.21
生命	觀賞	空氣	植物	0.448	0.366	0.348	0.3	0.145	0.187	0.234
花	自然	生長	植物	0.444	0.251	0.42	0.36	0.183	0.161	0.242
花	觀賞	空氣	植物	0.412	0.251	0.348	0.3	0.243	0.01	0.234
綠色	呼吸	玫瑰	植物	0.411	0.335	0.345	0.384	0.216	0.227	0.211
花	觀賞	森林	植物	0.405	0.251	0.348	0.44	0.243	0.182	0.209
花	生長	呼吸	植物	0.399	0.251	0.36	0.345	0.161	0.152	0.244
花	自然	觀賞	植物	0.397	0.251	0.42	0.348	0.183	0.243	0.195
觀賞	空氣	玫瑰	植物	0.394	0.348	0.3	0.384	0.234	0.169	0.235
花	觀賞	呼吸	植物	0.393	0.251	0.348	0.345	0.243	0.152	0.156
綠色	生命	花	植物	0.389	0.335	0.366	0.251	0.238	0.095	0.231
花	呼吸	樹	植物	0.38	0.251	0.345	0.301	0.152	0.241	0.124
生命	花	生長	植物	0.365	0.366	0.251	0.36	0.231	0.221	0.161
生命	海芋	樹	植物	0.363	0.366	0.362	0.301	0.208	0.233	0.225
生命	花	觀賞	植物	0.347	0.366	0.251	0.348	0.231	0.145	0.243
生命	花	樹	植物	0.213	0.366	0.251	0.301	0.231	0.233	0.241
