				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
玩具	比例	標本	模型	0.616	0.481	0.34	0.302	0.141	0.232	0.133
玩具	比例	樣本	模型	0.592	0.481	0.34	0.328	0.141	0.171	0.244
玩具	比例	假象	模型	0.586	0.481	0.34	0.27	0.141	0.226	0.138
玩具	組合	假象	模型	0.542	0.481	0.278	0.27	0.14	0.226	0.121
比例	標本	假象	模型	0.529	0.34	0.302	0.27	0.133	0.138	0.112
汽車	比例	假象	模型	0.526	0.272	0.34	0.27	0.107	0.112	0.138
比例	假象	拼圖	模型	0.522	0.34	0.27	0.348	0.138	0.136	0.163
比例	假象	塑膠	模型	0.515	0.34	0.27	0.269	0.138	0.066	0.161
比例	有趣	塑膠	模型	0.514	0.34	0.291	0.269	0.224	0.066	0.096
比例	標本	房屋	模型	0.505	0.34	0.302	0.318	0.133	0.202	0.119
玩具	樣本	假象	模型	0.504	0.481	0.328	0.27	0.171	0.226	0.178
標本	房屋	有趣	模型	0.501	0.302	0.318	0.291	0.119	0.124	0.166
玩具	標本	假象	模型	0.482	0.481	0.302	0.27	0.232	0.226	0.112
汽車	比例	有趣	模型	0.475	0.272	0.34	0.291	0.107	0.097	0.224
比例	房屋	拼圖	模型	0.472	0.34	0.318	0.348	0.202	0.136	0.197
比例	房屋	塑膠	模型	0.468	0.34	0.318	0.269	0.202	0.066	0.192
飛機	比例	假象	模型	0.459	0.269	0.34	0.27	0.119	0.164	0.138
機器人	比例	假象	模型	0.456	0.257	0.34	0.27	0.116	0.157	0.138
樣本	房屋	有趣	模型	0.456	0.328	0.318	0.291	0.2	0.115	0.166
比例	標本	有趣	模型	0.45	0.34	0.302	0.291	0.133	0.224	0.124
飛機	比例	有趣	模型	0.446	0.269	0.34	0.291	0.119	0.11	0.224
機器人	比例	房屋	模型	0.437	0.257	0.34	0.318	0.116	0.16	0.202
標本	假象	房屋	模型	0.427	0.302	0.27	0.318	0.112	0.119	0.231
房屋	有趣	塑膠	模型	0.425	0.318	0.291	0.269	0.166	0.192	0.096
機器人	比例	標本	模型	0.411	0.257	0.34	0.302	0.116	0.239	0.133
機器人	比例	精緻	模型	0.388	0.257	0.34	0.289	0.116	0.139	0.243
機器人	比例	有趣	模型	0.381	0.257	0.34	0.291	0.116	0.166	0.224
比例	樣本	假象	模型	0.378	0.34	0.328	0.27	0.244	0.138	0.178
比例	樣本	有趣	模型	0.375	0.34	0.328	0.291	0.244	0.224	0.115
機器人	房屋	有趣	模型	0.374	0.257	0.318	0.291	0.16	0.166	0.166
比例	精緻	塑膠	模型	0.371	0.34	0.289	0.269	0.243	0.066	0.218
機器人	標本	房屋	模型	0.359	0.257	0.302	0.318	0.239	0.16	0.119
比例	假象	房屋	模型	0.357	0.34	0.27	0.318	0.138	0.202	0.231
比例	房屋	有趣	模型	0.357	0.34	0.318	0.291	0.202	0.224	0.166
假象	房屋	拼圖	模型	0.346	0.27	0.318	0.348	0.231	0.163	0.197
汽車	比例	精緻	模型	0.341	0.272	0.34	0.289	0.107	0.21	0.243
比例	樣本	房屋	模型	0.339	0.34	0.328	0.318	0.244	0.202	0.2
組合	假象	房屋	模型	0.333	0.278	0.27	0.318	0.121	0.181	0.231
組合	房屋	有趣	模型	0.332	0.278	0.318	0.291	0.181	0.208	0.166
機器人	精緻	房屋	模型	0.329	0.257	0.289	0.318	0.139	0.16	0.236
飛機	比例	精緻	模型	0.328	0.269	0.34	0.289	0.119	0.208	0.243
機器人	精緻	假象	模型	0.325	0.257	0.289	0.27	0.139	0.157	0.196
比例	精緻	假象	模型	0.322	0.34	0.289	0.27	0.243	0.138	0.196
機器人	標本	假象	模型	0.321	0.257	0.302	0.27	0.239	0.157	0.112
機器人	標本	有趣	模型	0.321	0.257	0.302	0.291	0.239	0.166	0.124
汽車	精緻	假象	模型	0.314	0.272	0.289	0.27	0.21	0.112	0.196
樣本	假象	房屋	模型	0.307	0.328	0.27	0.318	0.178	0.2	0.231
精緻	樣本	假象	模型	0.3	0.289	0.328	0.27	0.213	0.196	0.178
機器人	組合	假象	模型	0.3	0.257	0.278	0.27	0.228	0.157	0.121
機器人	假象	房屋	模型	0.297	0.257	0.27	0.318	0.157	0.16	0.231
精緻	樣本	房屋	模型	0.285	0.289	0.328	0.318	0.213	0.236	0.2
機器人	組合	房屋	模型	0.285	0.257	0.278	0.318	0.228	0.16	0.181
假象	房屋	塑膠	模型	0.274	0.27	0.318	0.269	0.231	0.161	0.192
比例	精緻	房屋	模型	0.265	0.34	0.289	0.318	0.243	0.202	0.236
飛機	精緻	假象	模型	0.26	0.269	0.289	0.27	0.208	0.164	0.196
比例	精緻	樣本	模型	0.255	0.34	0.289	0.328	0.243	0.244	0.213
精緻	假象	塑膠	模型	0.255	0.289	0.27	0.269	0.196	0.218	0.161
精緻	房屋	塑膠	模型	0.231	0.289	0.318	0.269	0.236	0.218	0.192
機器人	組合	有趣	模型	0.225	0.257	0.278	0.291	0.228	0.166	0.208
精緻	假象	房屋	模型	0.214	0.289	0.27	0.318	0.196	0.236	0.231
