				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
吵雜	自動	工人	機器	0.679	0.256	0.482	0.334	0.123	0.109	0.161
人工	生鏽	電力	機器	0.666	0.445	0.312	0.354	0.064	0.231	0.149
運轉	人工	工具	機器	0.658	0.451	0.445	0.312	0.167	0.189	0.193
吵雜	自動	零件	機器	0.655	0.256	0.482	0.354	0.123	0.158	0.156
吵雜	生產	人工	機器	0.628	0.256	0.433	0.445	0.156	0.127	0.222
運作	人工	機油	機器	0.609	0.402	0.445	0.356	0.201	0.217	0.176
人工	生鏽	工具	機器	0.608	0.445	0.312	0.312	0.064	0.193	0.203
吵雜	人工	電池	機器	0.601	0.256	0.445	0.393	0.127	0.212	0.153
自動	工人	噪音	機器	0.599	0.482	0.334	0.321	0.161	0.16	0.217
人工	零件	進步	機器	0.597	0.445	0.354	0.322	0.194	0.196	0.134
人工	進步	機油	機器	0.596	0.445	0.322	0.356	0.196	0.176	0.156
現代	操作	機油	機器	0.594	0.385	0.31	0.356	0.14	0.143	0.176
生產	人工	機油	機器	0.589	0.433	0.445	0.356	0.222	0.247	0.176
工作	現代	機油	機器	0.583	0.253	0.385	0.356	0.122	0.147	0.143
人工	工具	電池	機器	0.575	0.445	0.312	0.393	0.193	0.153	0.229
吵雜	人工	生鏽	機器	0.575	0.256	0.445	0.312	0.127	0.245	0.064
吵雜	人工	零件	機器	0.574	0.256	0.445	0.354	0.127	0.158	0.194
吵雜	人工	工具	機器	0.573	0.256	0.445	0.312	0.127	0.119	0.193
吵雜	自動	工具	機器	0.566	0.256	0.482	0.312	0.123	0.119	0.242
自動	生鏽	工人	機器	0.566	0.482	0.312	0.334	0.183	0.161	0.218
吵雜	現代	零件	機器	0.565	0.256	0.385	0.354	0.144	0.158	0.127
運作	人工	零件	機器	0.564	0.402	0.445	0.354	0.201	0.242	0.194
生產	人工	噪音	機器	0.561	0.433	0.445	0.321	0.222	0.181	0.235
人工	工具	機油	機器	0.561	0.445	0.312	0.356	0.193	0.176	0.183
吵雜	人工	機油	機器	0.554	0.256	0.445	0.356	0.127	0.199	0.176
故障	吵雜	現代	機器	0.545	0.317	0.256	0.385	0.164	0.104	0.144
吵雜	人工	進步	機器	0.545	0.256	0.445	0.322	0.127	0.154	0.196
自動	生鏽	效率	機器	0.534	0.482	0.312	0.3	0.183	0.174	0.203
人工	噪音	電池	機器	0.532	0.445	0.321	0.393	0.235	0.153	0.239
工業	吵雜	操作	機器	0.531	0.494	0.256	0.31	0.189	0.172	0.168
運作	工人	機油	機器	0.531	0.402	0.334	0.356	0.151	0.217	0.194
生產	人工	工具	機器	0.526	0.433	0.445	0.312	0.222	0.248	0.193
故障	工業	吵雜	機器	0.524	0.317	0.494	0.256	0.19	0.164	0.189
工作	人工	生鏽	機器	0.524	0.253	0.445	0.312	0.237	0.184	0.064
吵雜	人工	電力	機器	0.521	0.256	0.445	0.354	0.127	0.175	0.231
運作	人工	工具	機器	0.518	0.402	0.445	0.312	0.201	0.247	0.193
運轉	工人	工具	機器	0.517	0.451	0.334	0.312	0.16	0.189	0.231
工業	吵雜	工具	機器	0.515	0.494	0.256	0.312	0.189	0.238	0.119
自動	工具	噪音	機器	0.514	0.482	0.312	0.321	0.242	0.16	0.199
吵雜	現代	機油	機器	0.511	0.256	0.385	0.356	0.144	0.199	0.143
吵雜	自動	效率	機器	0.51	0.256	0.482	0.3	0.123	0.231	0.174
現代	工具	機油	機器	0.507	0.385	0.312	0.356	0.221	0.143	0.183
工作	自動	生鏽	機器	0.506	0.253	0.482	0.312	0.174	0.184	0.183
人工	工具	電力	機器	0.502	0.445	0.312	0.354	0.193	0.231	0.185
工業	操作	生鏽	機器	0.5	0.494	0.31	0.312	0.172	0.25	0.194
吵雜	現代	操作	機器	0.499	0.256	0.385	0.31	0.144	0.168	0.14
吵雜	自動	生鏽	機器	0.499	0.256	0.482	0.312	0.123	0.245	0.183
自動	工人	工具	機器	0.494	0.482	0.334	0.312	0.161	0.242	0.231
工作	人工	機油	機器	0.494	0.253	0.445	0.356	0.237	0.147	0.176
運作	人工	噪音	機器	0.492	0.402	0.445	0.321	0.201	0.24	0.235
人工	工具	進步	機器	0.488	0.445	0.312	0.322	0.193	0.196	0.202
吵雜	零件	進步	機器	0.485	0.256	0.354	0.322	0.158	0.154	0.134
工作	人工	電池	機器	0.484	0.253	0.445	0.393	0.237	0.216	0.153
吵雜	工人	電池	機器	0.478	0.256	0.334	0.393	0.109	0.212	0.184
吵雜	生產	工具	機器	0.477	0.256	0.433	0.312	0.156	0.119	0.248
工業	操作	噪音	機器	0.477	0.494	0.31	0.321	0.172	0.24	0.236
自動	生鏽	工具	機器	0.477	0.482	0.312	0.312	0.183	0.242	0.203
現代	操作	噪音	機器	0.475	0.385	0.31	0.321	0.14	0.166	0.236
工作	吵雜	自動	機器	0.47	0.253	0.256	0.482	0.224	0.174	0.123
現代	效率	機油	機器	0.469	0.385	0.3	0.356	0.223	0.143	0.206
吵雜	現代	工具	機器	0.469	0.256	0.385	0.312	0.144	0.119	0.221
人工	電力	噪音	機器	0.468	0.445	0.354	0.321	0.231	0.235	0.186
吵雜	工人	電動	機器	0.468	0.256	0.334	0.354	0.109	0.171	0.196
人工	噪音	進步	機器	0.465	0.445	0.321	0.322	0.235	0.196	0.192
工人	進步	機油	機器	0.457	0.334	0.322	0.356	0.206	0.194	0.156
現代	操作	電池	機器	0.457	0.385	0.31	0.393	0.14	0.249	0.243
操作	進步	機油	機器	0.454	0.31	0.322	0.356	0.203	0.176	0.156
工業	生鏽	效率	機器	0.451	0.494	0.312	0.3	0.25	0.201	0.203
人工	工具	噪音	機器	0.451	0.445	0.312	0.321	0.193	0.235	0.199
現代	操作	生鏽	機器	0.451	0.385	0.31	0.312	0.14	0.222	0.194
工具	進步	機油	機器	0.449	0.312	0.322	0.356	0.202	0.183	0.156
運作	工人	噪音	機器	0.449	0.402	0.334	0.321	0.151	0.24	0.217
工業	工具	噪音	機器	0.449	0.494	0.312	0.321	0.238	0.24	0.199
故障	吵雜	生產	機器	0.447	0.317	0.256	0.433	0.164	0.239	0.156
現代	噪音	電池	機器	0.446	0.385	0.321	0.393	0.166	0.249	0.239
工作	現代	電池	機器	0.444	0.253	0.385	0.393	0.122	0.216	0.249
吵雜	工人	機油	機器	0.444	0.256	0.334	0.356	0.109	0.199	0.194
吵雜	生產	機油	機器	0.443	0.256	0.433	0.356	0.156	0.199	0.247
吵雜	工人	進步	機器	0.443	0.256	0.334	0.322	0.109	0.154	0.206
吵雜	工人	工具	機器	0.443	0.256	0.334	0.312	0.109	0.119	0.231
吵雜	工具	電力	機器	0.442	0.256	0.312	0.354	0.119	0.175	0.185
