				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
跑道	旅遊	別離	機場	0.768	0.495	0.44	0.297	0.201	0.075	0.19
塔台	旅遊	別離	機場	0.758	0.449	0.44	0.297	0.171	0.069	0.19
跑道	旅遊	吵鬧	機場	0.7	0.495	0.44	0.303	0.201	0.116	0.223
塔台	旅遊	吵鬧	機場	0.672	0.449	0.44	0.303	0.171	0.127	0.223
跑道	關閉	行李	機場	0.668	0.495	0.339	0.387	0.148	0.237	0.168
跑道	行李	別離	機場	0.652	0.495	0.387	0.297	0.237	0.075	0.216
送行	塔台	旅遊	機場	0.648	0.279	0.449	0.44	0.171	0.178	0.171
送行	塔台	關閉	機場	0.634	0.279	0.449	0.339	0.171	0.144	0.118
離別	跑道	行李	機場	0.627	0.35	0.495	0.387	0.137	0.232	0.237
送行	跑道	旅遊	機場	0.612	0.279	0.495	0.44	0.223	0.178	0.201
旅遊	吵鬧	降落	機場	0.603	0.44	0.303	0.407	0.223	0.17	0.154
送行	跑道	關閉	機場	0.597	0.279	0.495	0.339	0.223	0.144	0.148
跑道	吵鬧	行李	機場	0.59	0.495	0.303	0.387	0.116	0.237	0.242
旅遊	降落	別離	機場	0.577	0.44	0.407	0.297	0.17	0.19	0.207
出國	送行	跑道	機場	0.547	0.365	0.279	0.495	0.232	0.137	0.223
出國	送行	塔台	機場	0.534	0.365	0.279	0.449	0.232	0.155	0.171
送行	跑道	吵鬧	機場	0.497	0.279	0.495	0.303	0.223	0.241	0.116
送行	塔台	吵鬧	機場	0.491	0.279	0.449	0.303	0.171	0.241	0.127
送行	旅遊	吵鬧	機場	0.38	0.279	0.44	0.303	0.178	0.241	0.223
